scene,signal,n_errors,aurc,ci_lo,ci_hi,frac_beats_baseline,seed_std
barotse,baseline,97,0.06657921499390697,0.04380962814948057,0.09481275326898483,0.0,0.0
barotse,E_case,97,0.023502565210671643,0.011521751200498961,0.03816795431087782,1.0,0.0
barotse,tile-phase,97,0.055499661554532266,0.03161029485235031,0.07984658743020896,0.981,0.0
barotse,E_dist,97,0.028942336953582955,0.02021747990177123,0.03993123522009989,1.0,0.0
barotse,control,97,0.038420413241965136,0.024995236744058433,0.05408931682798964,0.984,0.0
cuando_20,baseline,49,0.003492307494351499,0.0021716212495050385,0.0051669692378567885,0.0,4.336808689942018e-19
cuando_20,E_case,49,0.0074817206879762,0.004548332683420576,0.011178763025086814,0.0,8.673617379884035e-19
cuando_20,tile-phase,49,0.004329901936241652,0.0026046279046560566,0.00663149835456373,0.058,0.0
cuando_20,E_dist,49,0.0038801404351342735,0.00237718042525165,0.005943534733597883,0.248,4.336808689942018e-19
cuando_20,control,49,0.009235296809769557,0.0019258289185537598,0.02363352952372748,0.292,0.0
cuando_50,baseline,168,0.053628186579084136,0.041690974534620215,0.06696413604043966,0.0,0.0
cuando_50,E_case,168,0.0794482343208642,0.05567527328972437,0.10269718902647638,0.003,0.0
cuando_50,tile-phase,168,0.041173231350770806,0.03220182527120135,0.05121290605301413,1.0,0.0
cuando_50,E_dist,168,0.018887044728313415,0.013884008157164512,0.024576183810411347,1.0,0.0
cuando_50,control,168,0.03158526610926906,0.021607254451342876,0.043394064892118,0.998,0.0
cuando_80,baseline,61,0.007191473052422914,0.004163605416130689,0.010840665329307367,0.0,0.0
cuando_80,E_case,61,0.015532406947478216,0.00935107583911087,0.023168738459486544,0.0,0.0
cuando_80,tile-phase,61,0.0074685843383068065,0.005058100380723392,0.0103655983185256,0.395,0.0
cuando_80,E_dist,61,0.009248947182083089,0.0055274849924769765,0.013725987694385253,0.173,0.0
cuando_80,control,61,0.009273066998781571,0.004194547714570819,0.018260959660994266,0.329,0.0
delta,baseline,29,0.02575075437536097,0.013103494742097333,0.04344468849513256,0.0,0.0
delta,E_case,29,0.010348685715357239,0.0040074178801699405,0.018666994649261935,0.997,0.0
delta,tile-phase,29,0.007599244526857769,0.002536635049452958,0.015001276594566203,1.0,0.0
delta,E_dist,29,0.001397559960222627,0.00048363087465992774,0.003057731757676657,1.0,0.0
delta,control,29,0.00047076790111707064,0.00022098826825255296,0.0008488112631687264,1.0,5.421010862427522e-20
kafue,baseline,11,0.00023524608744432917,4.986633257069477e-05,0.0005129973503114671,0.0,2.710505431213761e-20
kafue,E_case,11,8.162981792789058e-05,1.4323786802404226e-05,0.0001980347487991963,0.985,0.0
kafue,tile-phase,11,0.0001406486019092613,3.641041114454814e-05,0.00030328470738902574,0.855,0.0
kafue,E_dist,11,0.00013094701982492048,3.252977296163693e-05,0.00028802919527003135,0.879,0.0
kafue,control,11,0.01283400246810696,0.004242989301884508,0.023826112251011437,0.0,1.734723475976807e-18
kafue_20,baseline,77,0.01641161588345983,0.010929469616175719,0.022943876721408837,0.0,0.0
kafue_20,E_case,77,0.024417560112584797,0.016990960257206755,0.03320132736229292,0.0,0.0
kafue_20,tile-phase,77,0.01804101438451267,0.012089171916369854,0.0248929615110875,0.271,0.0
kafue_20,E_dist,77,0.040710484251154505,0.02459827089161994,0.05853643226634632,0.0,0.0
kafue_20,control,77,0.028713855305939937,0.01747383462886474,0.04204686746792131,0.009,3.469446951953614e-18
kafue_50,baseline,48,0.027150550591111194,0.012902735035986882,0.04270475623029085,0.0,0.0
kafue_50,E_case,48,0.027451975544882955,0.012885181710706533,0.0434200955358595,0.406,0.0
kafue_50,tile-phase,48,0.020424193872869416,0.007532346836330504,0.03694177064395771,0.812,0.0
kafue_50,E_dist,48,0.008852795331344657,0.005272533001903302,0.012976359033417878,0.999,0.0
kafue_50,control,48,0.00994644006941406,0.0018677678348528993,0.023503925585208422,0.959,0.0
kafue_80,baseline,38,0.009520101676199298,0.004727170922055139,0.020706779546478888,0.0,0.0
kafue_80,E_case,38,0.006844619361000698,0.0018887694517270878,0.013667294902424475,0.965,0.0
kafue_80,tile-phase,38,0.002377029818970799,0.0013702525281531527,0.0036584413071816383,1.0,0.0
kafue_80,E_dist,38,0.01381670730697341,0.007863545487184582,0.021248063729262877,0.32,1.734723475976807e-18
kafue_80,control,38,0.0014200048619648215,0.0007872362283235919,0.0022858671511919292,1.0,0.0
kazungula,baseline,18,0.000890405770069996,0.0003077062117113496,0.001721943995605223,0.0,0.0
kazungula,E_case,18,0.0008580143181890274,0.0003446847757300269,0.001515474926712067,0.555,0.0
kazungula,tile-phase,18,0.0008086360522106669,0.00028824500908264736,0.0014763196483151982,0.62,0.0
kazungula,E_dist,18,0.003652694153187016,0.0008594189282302512,0.007955811504417104,0.005,4.336808689942018e-19
kazungula,control,18,0.001606961578322984,0.0006072013811113519,0.002943840219334301,0.079,2.168404344971009e-19
luangwa,baseline,8,0.00016184099814487964,3.675136162766549e-05,0.0003653251038090569,0.0,0.0
luangwa,E_case,8,0.0017369561419741315,0.0001710373246396536,0.004069118598650832,0.0,2.168404344971009e-19
luangwa,tile-phase,8,7.198406020510751e-05,1.7242330312873897e-05,0.00017232400165857878,0.96,0.0
luangwa,E_dist,8,0.00017123760649382836,3.555492512160632e-05,0.0004069041628339451,0.454,0.0
luangwa,control,8,0.006537455839965561,0.0014869638690998275,0.013577775174267752,0.0,8.673617379884035e-19
luangwa_conf,baseline,52,0.009615098851418327,0.004875022929982187,0.016922960206060225,0.0,0.0
luangwa_conf,E_case,52,0.018917617049684643,0.009892687207831853,0.029699330312824346,0.002,0.0
luangwa_conf,tile-phase,52,0.008689399313715996,0.0047410873189738445,0.013983185970402882,0.826,0.0
luangwa_conf,E_dist,52,0.010798694503540728,0.006195440400652278,0.017450977713142343,0.336,0.0
luangwa_conf,control,52,0.059688056632492874,0.03876194538959154,0.08301880592060548,0.0,6.938893903907228e-18
okavango_50,baseline,96,0.11808248445018323,0.10213057558828056,0.16435476556574685,0.0,1.3877787807814457e-17
okavango_50,E_case,96,0.16197871484673715,0.12548415432158982,0.19895889386115473,0.003,0.0
okavango_50,tile-phase,96,0.1639583911780276,0.1079626166615433,0.1801466297769037,0.144,0.0
okavango_50,E_dist,96,0.13386111782713647,0.10095892109053343,0.17023669344410874,0.449,0.0
okavango_50,control,96,0.1228918754877247,0.09041724490692678,0.15798139035158598,0.777,0.0
okavango_80,baseline,76,0.055511304497257295,0.04044608311526225,0.08466549793455928,0.0,0.0
okavango_80,E_case,76,0.0577529939945964,0.03541981554194748,0.08295927460168381,0.653,0.0
okavango_80,tile-phase,76,0.045624350589754975,0.026725683860279518,0.07186248929234379,0.977,0.0
okavango_80,E_dist,76,0.010479235250442833,0.006426551157243792,0.015339445260943909,1.0,0.0
okavango_80,control,76,0.003742444420713435,0.0024961177885468797,0.005417592693596217,1.0,0.0
okavango_sep,baseline,13,0.0005135133976193679,0.00018338277946100415,0.0009761863253521769,0.0,0.0
okavango_sep,E_case,13,0.0002863546973822396,6.571987074927168e-05,0.0006267579298088052,0.988,0.0
okavango_sep,tile-phase,13,0.00062679058721794,0.00020261779864078503,0.0011892678840739936,0.254,0.0
okavango_sep,E_dist,13,0.0007389372401919107,0.000197211856300221,0.001503244732470948,0.241,0.0
okavango_sep,control,13,0.016262418471686503,0.004461752859440519,0.03235415495579136,0.0,0.0
rovuma_20,baseline,39,0.005438000218109157,0.0024438865899529013,0.012037107851978713,0.0,0.0
rovuma_20,E_case,39,0.009504031217505236,0.003232717735671381,0.019852004094815825,0.188,0.0
rovuma_20,tile-phase,39,0.007576416602206896,0.00250307390020024,0.017266855487079468,0.168,0.0
rovuma_20,E_dist,39,0.010446882665537898,0.004726120450520215,0.018731398858640252,0.11,0.0
rovuma_20,control,39,0.007329326273335248,0.0028773564783863906,0.013989607153318626,0.356,8.673617379884035e-19
rovuma_50,baseline,74,0.00987482581920929,0.006323148086701764,0.01786791253346673,0.0,0.0
rovuma_50,E_case,74,0.009138636281245288,0.0062235957928771036,0.012579245382661836,0.784,0.0
rovuma_50,tile-phase,74,0.009735199138391827,0.006914155694940367,0.013056815555696712,0.667,0.0
rovuma_50,E_dist,74,0.01521823146507256,0.010465791251229437,0.02019848637440467,0.093,1.734723475976807e-18
rovuma_50,control,74,0.015957103767208505,0.010606552528377588,0.02242927615360832,0.09,0.0
rovuma_80,baseline,18,0.001524572296540396,0.0003526487036905767,0.0033541215317939898,0.0,0.0
rovuma_80,E_case,18,0.00302860922596938,0.0002634498831618136,0.008037763848231504,0.228,0.0
rovuma_80,tile-phase,18,0.0010203815241139154,0.00032705108974242245,0.00207008961291881,0.927,0.0
rovuma_80,E_dist,18,0.0014470357633945155,0.0005994323638469176,0.0025505324771348597,0.538,0.0
rovuma_80,control,18,0.0006240390818235957,0.0002840179592368899,0.001105077921067762,0.944,0.0
save_20,baseline,25,0.016201234457011496,0.006487481681487802,0.03234063752641235,0.0,0.0
save_20,E_case,25,0.06194531612410448,0.03294929616374322,0.08985356607892941,0.0,0.0
save_20,tile-phase,25,0.0007017800440230638,0.0003356631544986423,0.0012136424742449296,1.0,0.0
save_20,E_dist,25,0.0004674858521315792,0.00020381781701594407,0.0008456477717446373,1.0,5.421010862427522e-20
save_20,control,25,0.004027876678942452,0.0001572788136458992,0.01207836657833845,0.965,0.0
save_50,baseline,76,0.015037461347837901,0.00923891138902105,0.021875609259316964,0.0,1.734723475976807e-18
save_50,E_case,76,0.040947477615643005,0.024914123940569067,0.05873247664698067,0.0,0.0
save_50,tile-phase,76,0.015301925301448024,0.009652120220378917,0.02194357666003561,0.285,0.0
save_50,E_dist,76,0.016296371554774723,0.01130703512101728,0.021568053114190442,0.273,0.0
save_50,control,76,0.06760289687327292,0.0427371751053913,0.09579897845489967,0.0,0.0
save_80,baseline,23,0.006976981394996912,0.0028934916747658237,0.014558071136928506,0.0,0.0
save_80,E_case,23,0.02915814336844791,0.007825581030566344,0.04995989071182567,0.004,0.0
save_80,tile-phase,23,0.0012589098306782802,0.00048801008541521005,0.0021812923962385546,1.0,0.0
save_80,E_dist,23,0.000648634024832897,0.00026354546821203534,0.0011428780033938693,1.0,0.0
save_80,control,23,0.0004847540135742841,0.00017025076006258543,0.0009046209520881639,1.0,5.421010862427522e-20
shire_20,baseline,303,0.1509473118871667,0.15359990137858637,0.2118125249486749,0.0,0.0
shire_20,E_case,303,0.16070356616744913,0.12861350243927724,0.19695273251376527,0.961,0.0
shire_20,tile-phase,303,0.208264630998329,0.18106888827836823,0.25539371861256444,0.001,0.0
shire_20,E_dist,303,0.11344396358106804,0.09606207843746556,0.13298715344349935,1.0,0.0
shire_20,control,303,0.25579379582836426,0.2185748149282456,0.2950855464783073,0.0,0.0
shire_50,baseline,123,0.0861344736637874,0.06606533961209339,0.1234341777346251,0.0,0.0
shire_50,E_case,123,0.09999778042549316,0.06872078675166285,0.13340849363967355,0.238,0.0
shire_50,tile-phase,123,0.08330277769450864,0.06291056202571298,0.1222310151358032,0.622,0.0
shire_50,E_dist,123,0.06294347186208724,0.040243814046798075,0.08961421509555159,1.0,0.0
shire_50,control,123,0.05841046852150478,0.033064120497044096,0.08336006039912826,1.0,0.0
shire_80,baseline,188,0.29574299005315646,0.25881008335471856,0.3410255845131214,0.0,0.0
shire_80,E_case,188,0.2942511751900035,0.25233458978754786,0.3383791496087446,0.702,0.0
shire_80,tile-phase,188,0.289389511843532,0.24042925275218713,0.3226242622349212,0.992,0.0
shire_80,E_dist,188,0.21716866068677199,0.17925252543220824,0.25808467863202245,1.0,0.0
shire_80,control,188,0.14870434428198337,0.11302807050679234,0.18498950133799463,1.0,0.0
shire_liwonde,baseline,17,0.03681235144883183,0.006876327938298807,0.028129283287186287,0.0,0.0
shire_liwonde,E_case,17,0.035677107726074596,0.01206424207309585,0.05987591966174214,0.016,0.0
shire_liwonde,tile-phase,17,0.022584118641862716,0.0027128796014314507,0.04208862052395699,0.254,0.0
shire_liwonde,E_dist,17,0.0013014206417523476,0.00024393200423392192,0.002817437570886372,1.0,0.0
shire_liwonde,control,17,0.0005603504987707703,0.00011493441509850664,0.0012888778170886484,1.0,0.0
vicfalls_up,baseline,23,0.0007939770175408023,0.0003696847030873988,0.0013831288245594133,0.0,0.0
vicfalls_up,E_case,23,0.0005566661039432155,0.00021996583148847475,0.0010703891865326614,0.962,0.0
vicfalls_up,tile-phase,23,0.0011161265652477677,0.0005347203978965223,0.0019011017892228421,0.07,0.0
vicfalls_up,E_dist,23,0.0012324666571623545,0.0005785517300644925,0.0020416770773087982,0.047,0.0
vicfalls_up,control,23,0.041239176223723015,0.02295965824195507,0.06304270075467033,0.0,0.0
zambezi_20,baseline,51,0.015264228047323549,0.008074515518239615,0.0237234534764763,0.0,0.0
zambezi_20,E_case,51,0.011767215225544483,0.006419884829969722,0.018067514652838703,0.844,0.0
zambezi_20,tile-phase,51,0.0240114502044371,0.01279566348434416,0.032659121997002265,0.0,0.0
zambezi_20,E_dist,51,0.01677513169714324,0.009728229710642319,0.02581452588848888,0.244,0.0
zambezi_20,control,51,0.005910816770665386,0.0034042129225564997,0.009159496835701999,1.0,0.0
zambezi_50,baseline,16,0.0003060405222502061,0.00010860359829082509,0.0006297582969330246,0.0,0.0
zambezi_50,E_case,16,0.00027824481510377834,0.00010454523526325882,0.0005921409738683302,0.684,0.0
zambezi_50,tile-phase,16,0.00030066883764439387,0.00011656720604712756,0.0006092025739456922,0.521,0.0
zambezi_50,E_dist,16,0.0037262548272585906,0.0010097437756399921,0.00713595419784906,0.0,0.0
zambezi_50,control,16,0.000505177405192745,0.00020329627229359292,0.0009625851310904324,0.03,0.0
zambezi_80,baseline,47,0.0035055782697734736,0.002066246195881408,0.005144415033472346,0.0,4.336808689942018e-19
zambezi_80,E_case,47,0.014767266497474,0.009645923876049452,0.020834257764655882,0.0,1.734723475976807e-18
zambezi_80,tile-phase,47,0.002768534227282368,0.0015686760151478402,0.004192941596459193,0.908,0.0
zambezi_80,E_dist,47,0.008492204888860693,0.004485468432899018,0.012840477478794273,0.0,0.0
zambezi_80,control,47,0.03259699309108903,0.017077842067091772,0.0505947295077497,0.0,0.0
