scene,n_errors,baseline,tile-phase (aligned),pred-gradient,pred-boundary,spearman_tile_vs_grad
barotse,97,0.06190,0.00806,0.01218,0.00296,0.844
cuando_20,49,0.00231,0.00130,0.00791,0.00296,0.894
cuando_50,168,0.03929,0.01331,0.03099,0.01415,0.872
cuando_80,61,0.00535,0.00319,0.00926,0.00481,0.908
delta,29,0.02533,0.00044,0.00455,0.00000,0.876
kafue,11,0.00017,0.00004,0.00018,0.00000,0.875
kafue_20,77,0.01347,0.00489,0.01249,0.00683,0.897
kafue_50,48,0.02601,0.00158,0.00687,0.00191,0.883
kafue_80,38,0.00880,0.00128,0.00150,0.00145,0.922
kazungula,18,0.00073,0.00041,0.00114,0.00032,0.899
luangwa,8,0.00013,0.00001,0.00016,0.00000,0.885
luangwa_conf,52,0.00828,0.00582,0.00674,0.00555,0.909
okavango_50,96,0.11350,0.12252,0.12707,0.04297,0.899
okavango_80,76,0.05265,0.00328,0.00607,0.00221,0.886
okavango_sep,13,0.00043,0.00021,0.00032,0.00001,0.931
rovuma_20,39,0.00468,0.00139,0.00216,0.00144,0.899
rovuma_50,74,0.00716,0.00529,0.01011,0.00660,0.948
rovuma_80,18,0.00136,0.00088,0.00247,0.00182,0.910
save_20,25,0.01589,0.00016,0.00116,0.00001,0.845
save_50,76,0.01218,0.00876,0.00909,0.05807,0.898
save_80,23,0.00671,0.00030,0.00108,0.00005,0.914
shire_20,303,0.10193,0.12763,0.13788,0.08290,0.916
shire_50,123,0.07855,0.05153,0.05546,0.01638,0.856
shire_80,188,0.27766,0.17207,0.15732,0.07945,0.899
shire_liwonde,17,0.03667,0.02506,0.01164,0.04386,0.876
vicfalls_up,23,0.00053,0.00052,0.00172,0.00311,0.921
zambezi_20,51,0.01398,0.00489,0.00511,0.00345,0.937
zambezi_50,16,0.00018,0.00018,0.00057,0.00026,0.887
zambezi_80,47,0.00241,0.00036,0.00604,0.00001,0.907
