scene,n_errors,centerline_patches,geo_flags,geo_flag_precision_vs_worldcover,baseline,boundary,geo,boundary+geo
cuando_20,49,92,57,0.105,0.00231,0.00296,0.03374,0.00254
cuando_80,61,109,61,0.131,0.00535,0.00481,0.03323,0.00459
delta,29,0,0,nan,0.02533,0.00000,0.03629,0.00000
kafue_20,77,63,0,nan,0.01347,0.00683,0.03897,0.00683
kafue_50,48,60,17,0.118,0.02601,0.00191,0.03193,0.00115
kazungula,18,50,2,1.000,0.00073,0.00032,0.00638,0.00032
luangwa_conf,52,46,1,1.000,0.00828,0.00555,0.02163,0.00555
okavango_50,96,42,0,nan,0.11350,0.04297,0.08127,0.04297
okavango_80,76,59,7,0.000,0.05265,0.00221,0.06179,0.00253
okavango_sep,13,0,0,nan,0.00043,0.00001,0.01248,0.00001
rovuma_20,39,54,6,0.667,0.00468,0.00144,0.03729,0.00137
rovuma_50,74,42,12,0.250,0.00716,0.00660,0.02257,0.00676
save_20,25,43,20,0.000,0.01589,0.00001,0.02506,0.00049
save_50,76,52,47,0.489,0.01218,0.05807,0.05414,0.03771
save_80,23,48,34,0.000,0.00671,0.00005,0.01353,0.00079
shire_20,303,76,25,0.000,0.10193,0.08290,0.10130,0.09340
shire_50,123,80,8,0.000,0.07855,0.01638,0.10703,0.01686
shire_80,188,116,50,0.000,0.27766,0.07945,0.19639,0.08856
shire_liwonde,17,0,0,nan,0.03667,0.04386,0.06850,0.04386
vicfalls_up,23,0,0,nan,0.00053,0.00311,0.02389,0.00311
zambezi_20,51,44,0,nan,0.01398,0.00345,0.04666,0.00345
zambezi_50,16,55,0,nan,0.00018,0.00026,0.01992,0.00026
zambezi_80,47,73,51,0.000,0.00241,0.00001,0.02987,0.00233
