window,task,label,pred,error,baseline_neg_margin,boundary,tile_phase,top1_prob,label_quantile_in_window,other_patches_mean_boundary
spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e_point_10,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,2,4,1,-0.35130,0.875,0.29540,0.5655,0.960,0.383
spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e_point_12,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,0,2,1,-0.28088,0.000,0.32313,0.5697,0.294,0.143
spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e_point_19,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,0,0,0,-4.55371,0.750,0.01331,0.9895,0.921,0.270
spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e_point_2,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,5,5,0,-2.56115,0.125,0.22210,0.9283,0.405,0.264
spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e_point_20,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,2,2,0,-6.71050,0.000,0.00209,0.9980,0.500,0.000
spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e_point_21,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,4,4,0,-2.46961,0.000,0.29157,0.8722,0.325,0.107
spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e_point_23,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,2,2,0,-6.06234,0.000,0.00234,0.9973,0.325,0.083
spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e_point_26,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,8,8,0,-21.84906,0.000,0.00000,1.0000,0.095,0.417
spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e_point_28,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,2,2,0,-5.30109,0.000,0.00339,0.9949,0.278,0.167
spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e_point_29,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,0,0,0,-8.40645,0.125,0.00053,0.9998,0.270,0.304
spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e_point_3,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,0,0,0,-6.82964,0.000,0.00757,0.9989,0.032,0.468
spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e_point_6,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,0,2,1,-2.11696,0.000,0.08268,0.8923,0.175,0.202
spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e_point_8,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,4,4,0,-2.74493,0.125,0.46717,0.9131,0.357,0.248
spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f_point_10,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,2,2,0,-12.11059,0.250,0.00089,1.0000,0.556,0.286
spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f_point_22,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,4,4,0,-6.82830,0.000,0.00585,0.9988,0.095,0.306
