scene,n_errors,baseline,tile-phase (aligned),control,depth-probe disagreement,decision settling (logit-lens),representation drift,band-set disagreement,attention entropy,E_case |Nano-Base|
barotse,97,0.06374,0.00806,0.03374,0.02421,0.11882,0.14123,0.03024,0.07951,0.01882
cuando_20,49,0.00231,0.00130,0.00805,0.00232,0.02197,0.04389,0.00209,0.09881,0.00629
cuando_50,168,0.03929,0.01331,0.01724,0.02996,0.20488,0.08209,0.01552,0.28092,0.06511
cuando_80,61,0.00535,0.00319,0.00743,0.01583,0.05474,0.04288,0.00695,0.10427,0.01369
delta,29,0.02298,0.00044,0.00005,0.01782,0.03763,0.02297,0.00440,0.07833,0.00993
kafue_20,77,0.01349,0.00489,0.02578,0.00710,0.05244,0.07750,0.01215,0.09922,0.02148
kafue_50,48,0.02297,0.00158,0.00881,0.01808,0.08200,0.06819,0.00535,0.06133,0.02631
kafue_80,38,0.01206,0.00128,0.00070,0.00862,0.02868,0.07513,0.00292,0.07816,0.00613
kazungula,18,0.00073,0.00041,0.00144,0.00106,0.00205,0.01682,0.00113,0.02336,0.00069
luangwa_conf,52,0.00895,0.00582,0.05835,0.01111,0.01498,0.03866,0.00829,0.06858,0.01758
okavango_50,96,0.14061,0.11288,0.11831,0.13400,0.17717,0.08726,0.12968,0.08179,0.15666
okavango_80,76,0.05429,0.00328,0.00088,0.03099,0.10789,0.08962,0.00894,0.13720,0.05489
okavango_sep,13,0.00043,0.00021,0.01618,0.00022,0.00453,0.01836,0.00013,0.01116,0.00020
rovuma_20,39,0.00452,0.00139,0.00658,0.00504,0.02257,0.03153,0.00278,0.04936,0.00875
rovuma_50,74,0.00642,0.00529,0.01325,0.00779,0.01781,0.05772,0.00530,0.10069,0.00643
rovuma_80,18,0.00144,0.00088,0.00046,0.00053,0.00809,0.03152,0.00050,0.01341,0.00286
save_20,25,0.02048,0.00016,0.00372,0.00798,0.05128,0.04947,0.00810,0.08721,0.06163
save_50,76,0.01119,0.00876,0.06474,0.01253,0.03829,0.07754,0.01086,0.11385,0.03809
save_80,23,0.00665,0.00030,0.00022,0.00279,0.02723,0.02840,0.00271,0.07469,0.02889
shire_20,303,0.10818,0.12876,0.20677,0.07176,0.16602,0.16200,0.11178,0.09194,0.11145
shire_50,123,0.09322,0.05607,0.05083,0.06670,0.12287,0.12721,0.07002,0.20336,0.09242
shire_80,188,0.28364,0.17005,0.13062,0.24361,0.34544,0.24281,0.20436,0.21658,0.27658
shire_liwonde,17,0.03331,0.02506,0.00041,0.03222,0.04354,0.07874,0.02193,0.07388,0.03553
vicfalls_up,23,0.00053,0.00052,0.04097,0.00020,0.00368,0.05066,0.00061,0.04571,0.00029
zambezi_20,51,0.01175,0.00489,0.00463,0.00735,0.02756,0.06196,0.00635,0.07003,0.01048
zambezi_50,16,0.00018,0.00018,0.00037,0.00016,0.00136,0.02193,0.00028,0.00758,0.00015
zambezi_80,47,0.00241,0.00036,0.03150,0.00693,0.02890,0.05229,0.00289,0.06940,0.01368
