scene,v1_acc,v1_2_acc,v1_tilephase_mean,v1_2_tilephase_mean
barotse,0.9053,0.8447,0.05295,0.09807
cuando_20,0.9521,0.9189,0.04472,0.05609
cuando_50,0.8359,0.8711,0.07388,0.08172
cuando_80,0.9404,0.7510,0.04880,0.12965
delta,0.9717,0.9307,0.02106,0.04561
itezhitezhi,1.0000,1.0000,0.00109,0.00006
kafue_20,0.9248,0.9590,0.07131,0.05803
kafue_50,0.9531,0.9307,0.03199,0.04854
kafue_80,0.9629,0.9639,0.02607,0.02640
kazungula,0.9824,0.9814,0.02523,0.02253
luangwa_conf,0.9492,0.9521,0.02699,0.02845
okavango,0.9990,0.9980,0.00257,0.00401
okavango_50,0.9062,0.9111,0.03673,0.04330
okavango_80,0.9258,0.8906,0.03593,0.05018
okavango_sep,0.9873,0.8301,0.01572,0.08167
rovuma_20,0.9619,0.9180,0.03474,0.05769
rovuma_50,0.9277,0.9287,0.05447,0.05378
rovuma_80,0.9824,0.9775,0.02413,0.02667
save_20,0.9756,0.9580,0.01431,0.02636
save_50,0.9258,0.9316,0.02172,0.04014
save_80,0.9775,0.9580,0.01695,0.02676
shire,1.0000,0.9980,0.00084,0.00340
shire_20,0.7041,0.7910,0.07321,0.07895
shire_50,0.8799,0.7949,0.06660,0.11933
shire_80,0.8164,0.8008,0.04946,0.05172
shire_liwonde,0.9834,0.9756,0.00280,0.00792
tete,0.9941,0.9961,0.00695,0.00601
vicfalls_up,0.9775,0.9863,0.01996,0.01040
zambezi_20,0.9502,0.9531,0.03588,0.03774
zambezi_50,0.9844,0.9854,0.02357,0.02666
zambezi_80,0.9541,0.8896,0.03932,0.06955
