site,lon,lat,tile,size_px,nodata_fraction,lc_full_legend_disagreement,lc_boundary_window_fraction,lc_class_share,water_error_rate,water_n_windows,water_share_windows,water_aurc_boundary,water_aurc_random,water_aurc_oracle,water_boundary_share_errors,water_boundary_share_correct,water_capture@0.01,water_precision@0.01,water_capture@0.05,water_precision@0.05,water_capture@0.1,water_precision@0.1,change_flagged_fraction,change_prob_distinct_values,change_prob_share_at_0,change_prob_share_at_255,change_prob_share_ambiguous_0.25_0.75,change_conf_boundary_mean,change_conf_interior_mean,change_low_conf_share_boundary,change_low_conf_share_interior,change_flagged_mask_boundary_window_fraction,change_top_transitions,pre_category_share_flagged,pre_score_distinct_flagged,pre_score_share_at_255_flagged,pre_score_median_flagged,post_category_share_flagged,post_score_distinct_flagged,post_score_share_at_255_flagged,post_score_median_flagged,pre_score_share_at_255_all
kazungula,25.263,-17.788,EPSG:32735_0_-819200.tif,512,0.0,0.5084991455078125,0.48028564453125,"{""bare"": 0.002, ""crops"": 0.016, ""grassland"": 0.399, ""shrub"": 0.06, ""tree"": 0.235, ""urban/built-up"": 0.052, ""water"": 0.151, ""wetland (herbaceous)"": 0.086}",0.015625,16384,0.1490478515625,0.0012995488179632292,0.015625,0.00012318793686793796,0.9453125,0.08010912698412699,0.28125,0.43902439024390244,0.87890625,0.27472527472527475,0.9453125,0.14774114774114774,0.068115234375,256,0.8149032592773438,0.024127960205078125,0.02165985107421875,0.8734382014656878,0.9944683828511456,0.014833924540470816,0.0007528419784687194,0.18927001953125,"{""tree -> grassland"": 0.29, ""tree -> urban/built-up"": 0.219, ""grassland -> urban/built-up"": 0.133, ""grassland -> grassland"": 0.12, ""shrub -> grassland"": 0.039}","{""none"": 0.579, ""deforestation"": 0.417, ""urban_erosion"": 0.004, ""wetland_loss"": 0.0}",171,0.24439964157706093,0.9686274509803922,"{""none"": 0.626, ""new_building"": 0.272, ""new_road"": 0.027, ""new_infrastructure"": 0.008, ""new_crop_field"": 0.027, ""site_clearing"": 0.007, ""water_expand"": 0.001, ""mining"": 0.019, ""new_crop_structure"": 0.001, ""settlement"": 0.01}",196,0.3378136200716846,0.9764705882352941,0.90155029296875
kasane_chobe,25.15,-17.82,EPSG:32735_0_-819200.tif,512,0.0,0.3447608947753906,0.36602783203125,"{""bare"": 0.001, ""crops"": 0.0, ""grassland"": 0.222, ""shrub"": 0.461, ""tree"": 0.123, ""urban/built-up"": 0.027, ""water"": 0.054, ""wetland (herbaceous)"": 0.112}",0.01446533203125,16384,0.0521240234375,0.002103592812438548,0.01446533203125,0.00010557250227082392,0.8818565400843882,0.05710039016535579,0.2869198312236287,0.4146341463414634,0.8185654008438819,0.23687423687423687,0.8818565400843882,0.12759462759462759,0.024745941162109375,256,0.93194580078125,0.011318206787109375,0.007045745849609375,0.879905324875048,0.9980555832069875,0.026470588235294117,0.00013017443374121324,0.062255859375,"{""tree -> urban/built-up"": 0.205, ""grassland -> urban/built-up"": 0.192, ""grassland -> bare"": 0.121, ""tree -> bare"": 0.112, ""shrub -> bare"": 0.107}","{""none"": 0.789, ""deforestation"": 0.205, ""wetland_loss"": 0.005}",130,0.23107753969477415,0.9607843137254902,"{""none"": 0.408, ""new_building"": 0.312, ""new_road"": 0.058, ""new_infrastructure"": 0.023, ""new_crop_field"": 0.073, ""site_clearing"": 0.004, ""water_expand"": 0.01, ""mining"": 0.099, ""settlement"": 0.014}",188,0.24510559580699862,0.9450980392156862,0.9721565246582031
ngoma_chobe,24.45,-17.92,EPSG:32735_0_-819200.tif,512,0.0,0.5460968017578125,0.43414306640625,"{""crops"": 0.002, ""grassland"": 0.332, ""shrub"": 0.359, ""tree"": 0.307}",0.0,16384,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031841278076171875,256,0.8774032592773438,0.010471343994140625,0.01291656494140625,0.8687916300848698,0.9954391668966179,0.028059701492537312,0.0007478414576109865,0.10223388671875,"{""tree -> crops"": 0.384, ""grassland -> crops"": 0.222, ""tree -> grassland"": 0.173, ""shrub -> crops"": 0.111, ""shrub -> grassland"": 0.06}","{""none"": 0.663, ""deforestation"": 0.337}",128,0.4795734994608841,0.996078431372549,"{""none"": 0.518, ""new_building"": 0.004, ""new_road"": 0.0, ""new_crop_field"": 0.478}",133,0.3822930394153588,0.9921568627450981,0.9690132141113281
linyanti,23.9,-18.3,EPSG:32734_65536_-819200.tif,512,0.0,0.4407958984375,0.43115234375,"{""crops"": 0.0, ""grassland"": 0.227, ""shrub"": 0.257, ""tree"": 0.237, ""water"": 0.008, ""wetland (herbaceous)"": 0.27}",0.00396728515625,16384,0.00738525390625,7.657011767718585e-05,0.00396728515625,8.001172997886214e-06,0.9846153846153847,0.013419939947300693,0.9076923076923077,0.3597560975609756,0.9846153846153847,0.07814407814407814,0.9846153846153847,0.03907203907203907,0.014469146728515625,256,0.8372840881347656,0.003787994384765625,0.010986328125,0.7856881572930955,0.9921028174923754,0.13031550068587106,0.0017885659533695304,0.04449462890625,"{""water -> wetland (herbaceous)"": 0.302, ""wetland (herbaceous) -> grassland"": 0.136, ""grassland -> crops"": 0.124, ""water -> grassland"": 0.099, ""wetland (herbaceous) -> crops"": 0.094}","{""none"": 0.996, ""deforestation"": 0.004}",80,0.6337991036119167,1.0,"{""none"": 0.956, ""new_road"": 0.01, ""new_crop_field"": 0.008, ""water_expand"": 0.003, ""mining"": 0.023}",145,0.8064856314263116,1.0,0.9745407104492188
savuti,24.05,-18.57,EPSG:32735_0_-819200.tif,512,0.0,0.6778488159179688,0.3736572265625,"{""bare"": 0.001, ""grassland"": 0.496, ""shrub"": 0.036, ""tree"": 0.468, ""urban/built-up"": 0.0}",0.0,16384,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00415802001953125,255,0.90618896484375,0.00045013427734375,0.003353118896484375,0.8641771134683381,0.9962501631039877,0.02622950819672131,0.0006219292244542571,0.01861572265625,"{""tree -> crops"": 0.443, ""grassland -> crops"": 0.325, ""tree -> urban/built-up"": 0.118, ""grassland -> bare"": 0.087, ""tree -> bare"": 0.018}","{""none"": 0.911, ""deforestation"": 0.089}",103,0.5458715596330275,1.0,"{""none"": 0.561, ""new_infrastructure"": 0.049, ""new_crop_field"": 0.319, ""mining"": 0.072}",119,0.3798165137614679,0.9921568627450981,0.990875244140625
mababe,24.1,-18.9,EPSG:32735_0_-819200.tif,512,0.0,0.5438728332519531,0.24505615234375,"{""grassland"": 0.483, ""shrub"": 0.514, ""tree"": 0.003}",0.0,16384,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000118255615234375,134,0.7062034606933594,0.0,0.00077056884765625,0.8112745098039216,0.9930008980691514,0.1111111111111111,0.00024427480916030533,0.00054931640625,"{""grassland -> grassland"": 0.677, ""shrub -> grassland"": 0.323}","{""none"": 0.935, ""deforestation"": 0.065}",14,0.16129032258064516,0.9803921568627451,"{""none"": 1.0}",1,1.0,1.0,0.9096565246582031
kachikau,24.75,-18.17,EPSG:32735_0_-819200.tif,512,0.0,0.045360565185546875,0.01287841796875,"{""grassland"": 0.004, ""shrub"": 0.995, ""tree"": 0.001}",0.0,16384,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00182342529296875,247,0.9531440734863281,0.0,0.002101898193359375,0.80281162464986,0.9978481949292891,0.08571428571428572,0.00036936715094804237,0.008544921875,"{""shrub -> bare"": 0.973, ""tree -> bare"": 0.027}","{""none"": 0.933, ""deforestation"": 0.067}",57,0.5878661087866108,1.0,"{""none"": 0.906, ""new_road"": 0.01, ""new_crop_field"": 0.084}",48,0.3786610878661088,0.996078431372549,0.9961280822753906
barotse_mongu,23.13,-15.25,EPSG:32734_65536_-851968.tif,512,0.0,0.3681907653808594,0.34893798828125,"{""bare"": 0.001, ""crops"": 0.045, ""grassland"": 0.292, ""shrub"": 0.0, ""tree"": 0.276, ""urban/built-up"": 0.035, ""water"": 0.003, ""wetland (herbaceous)"": 0.348}",0.00177001953125,16384,0.00286865234375,6.399608840405975e-05,0.00177001953125,1.6214252348065838e-06,0.9655172413793104,0.005074900642005503,0.9655172413793104,0.17073170731707318,0.9655172413793104,0.03418803418803419,1.0,0.017704517704517704,0.02993011474609375,256,0.86529541015625,0.007579803466796875,0.01496124267578125,0.8675636211931581,0.9933499019273124,0.023001725129384705,0.0014339364970979856,0.10614013671875,"{""grassland -> crops"": 0.329, ""tree -> grassland"": 0.146, ""tree -> bare"": 0.145, ""tree -> urban/built-up"": 0.126, ""grassland -> bare"": 0.101}","{""none"": 0.663, ""deforestation"": 0.329, ""flooding"": 0.007}",139,0.4200866683660464,0.996078431372549,"{""none"": 0.566, ""new_building"": 0.179, ""new_road"": 0.002, ""new_infrastructure"": 0.003, ""new_crop_field"": 0.124, ""site_clearing"": 0.096, ""water_expand"": 0.001, ""mining"": 0.021, ""new_crop_structure"": 0.0, ""settlement"": 0.009}",183,0.23158297221514149,0.9568627450980393,0.9335479736328125
katima,24.27,-17.5,EPSG:32735_0_-819200.tif,512,0.0,0.470001220703125,0.42529296875,"{""bare"": 0.003, ""crops"": 0.005, ""grassland"": 0.172, ""shrub"": 0.026, ""tree"": 0.632, ""urban/built-up"": 0.064, ""water"": 0.089, ""wetland (herbaceous)"": 0.01}",0.024169921875,16384,0.08697509765625,0.008493035125038483,0.024169921875,0.00029521229735086723,0.6893939393939394,0.058543907930948214,0.2196969696969697,0.5304878048780488,0.6111111111111112,0.2954822954822955,0.6893939393939394,0.16666666666666666,0.13687896728515625,256,0.6943244934082031,0.06182098388671875,0.03668975830078125,0.8723095627139745,0.9885948173345503,0.019642857142857142,0.0020275035260930887,0.3076171875,"{""tree -> urban/built-up"": 0.335, ""tree -> crops"": 0.202, ""tree -> grassland"": 0.184, ""tree -> bare"": 0.127, ""grassland -> urban/built-up"": 0.049}","{""none"": 0.275, ""deforestation"": 0.723, ""water_contract"": 0.001, ""wildfire"": 0.001, ""flooding"": 0.0}",148,0.5378184047711945,1.0,"{""none"": 0.411, ""new_building"": 0.289, ""new_road"": 0.049, ""new_infrastructure"": 0.029, ""new_crop_field"": 0.141, ""site_clearing"": 0.03, ""water_expand"": 0.001, ""mining"": 0.027, ""new_crop_structure"": 0.02, ""settlement"": 0.002}",195,0.34412797502926257,0.9803921568627451,0.833984375
zambezi_sesheke,24.3,-17.47,EPSG:32735_0_-819200.tif,512,0.0,0.5441551208496094,0.4295654296875,"{""bare"": 0.0, ""crops"": 0.001, ""grassland"": 0.378, ""shrub"": 0.002, ""tree"": 0.5, ""urban/built-up"": 0.032, ""water"": 0.081, ""wetland (herbaceous)"": 0.006}",0.0118408203125,16384,0.07965087890625,0.0013950077137116197,0.0118408203125,7.074219887036636e-05,0.9020618556701031,0.042680667078443486,0.3865979381443299,0.4573170731707317,0.8762886597938144,0.20757020757020758,0.9020618556701031,0.10683760683760683,0.12500762939453125,256,0.6011276245117188,0.0413360595703125,0.047267913818359375,0.8546923312387575,0.9803045612141702,0.027714436063848446,0.0048675465693157356,0.34796142578125,"{""tree -> crops"": 0.424, ""tree -> urban/built-up"": 0.154, ""tree -> grassland"": 0.129, ""grassland -> crops"": 0.122, ""grassland -> urban/built-up"": 0.107}","{""none"": 0.463, ""deforestation"": 0.537}",151,0.35978028684772656,0.9882352941176471,"{""none"": 0.322, ""new_building"": 0.2, ""new_road"": 0.013, ""new_infrastructure"": 0.003, ""new_crop_field"": 0.44, ""site_clearing"": 0.006, ""water_expand"": 0.002, ""new_crop_structure"": 0.009, ""settlement"": 0.006}",192,0.40991760756789747,0.9921568627450981,0.8037872314453125
