crop,window,task,label,pred,error,class_name,logit_margin,top1_prob,boundary,tile_phase,tile_phase_flip,probe_pred,probe_error,probe_disagree,control_ndvi_tstd,grid
16,task_055ad16b-3997-460b-a185-a9a68239f82e_point_10,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,2,4,1,shrubland/savanna,0.3749537467956543,0.456072598695755,0.625,0.0806213766336441,0.0,4,1,0,0.27178746461868286,4
16,task_055ad16b-3997-460b-a185-a9a68239f82e_point_12,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,0,0,0,woodland forest,3.2783241271972656,0.963376522064209,0.875,0.015237713232636452,0.0,2,1,1,0.22212357819080353,4
16,task_055ad16b-3997-460b-a185-a9a68239f82e_point_19,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,0,0,0,woodland forest,8.47978687286377,0.9997759461402893,0.5,6.014539030729793e-05,0.0,0,0,0,0.27968600392341614,4
16,task_055ad16b-3997-460b-a185-a9a68239f82e_point_2,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,5,5,0,agriculture/settlement,10.474449157714844,0.9999411106109619,0.0,1.1224363333894871e-05,0.0,5,0,0,0.21281585097312927,4
16,task_055ad16b-3997-460b-a185-a9a68239f82e_point_20,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,2,2,0,shrubland/savanna,9.720292091369629,0.999931812286377,0.0,1.5053566130518448e-05,0.0,2,0,0,0.1856621950864792,4
16,task_055ad16b-3997-460b-a185-a9a68239f82e_point_21,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,4,4,0,grassland/barren,4.081546306610107,0.9819965362548828,0.0,0.004243988078087568,0.0,4,0,0,0.15547697246074677,4
16,task_055ad16b-3997-460b-a185-a9a68239f82e_point_23,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,2,2,0,shrubland/savanna,4.871454238891602,0.9912893772125244,0.0,0.004805027041584253,0.0,2,0,0,0.194465771317482,4
16,task_055ad16b-3997-460b-a185-a9a68239f82e_point_26,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,8,8,0,urban/dense dev.,15.04446029663086,0.9999992847442627,0.0,1.5769906269724743e-07,0.0,8,0,0,0.09321276843547821,4
16,task_055ad16b-3997-460b-a185-a9a68239f82e_point_28,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,2,2,0,shrubland/savanna,3.148714065551758,0.9585890769958496,0.25,0.01302211731672287,0.0,2,0,0,0.22865454852581024,4
16,task_055ad16b-3997-460b-a185-a9a68239f82e_point_29,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,0,0,0,woodland forest,12.871816635131836,0.9999934434890747,0.125,8.28054169232928e-07,0.0,0,0,0,0.26769548654556274,4
16,task_055ad16b-3997-460b-a185-a9a68239f82e_point_3,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,0,0,0,woodland forest,12.225730895996094,0.9999864101409912,0.0,6.207187652762514e-06,0.0,0,0,0,0.2667176425457001,4
16,task_055ad16b-3997-460b-a185-a9a68239f82e_point_6,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,0,2,1,woodland forest,0.7947707176208496,0.6887689232826233,0.375,0.06751815229654312,0.0,2,1,0,0.2469857782125473,4
16,task_055ad16b-3997-460b-a185-a9a68239f82e_point_8,spatial_split\task_055ad16b-3997-460b-a185-a9a68239f82e,4,2,1,grassland/barren,4.216862678527832,0.9730682373046875,0.0,0.03991890698671341,0.0,4,0,1,0.1292259395122528,4
16,task_17f1e062-6db2-427b-ae38-87a6d575731f_point_10,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,2,2,0,shrubland/savanna,11.546728134155273,0.9999889135360718,0.0,3.767371936191921e-06,0.0,2,0,0,0.1485913097858429,4
16,task_17f1e062-6db2-427b-ae38-87a6d575731f_point_22,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,4,4,0,grassland/barren,11.765869140625,0.9999905824661255,0.25,1.5312710957005038e-06,0.0,4,0,0,0.13676699995994568,4
16,task_17f1e062-6db2-427b-ae38-87a6d575731f_point_23,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,5,5,0,agriculture/settlement,6.839385986328125,0.9988934397697449,0.125,0.0013429360697045922,0.0,5,0,0,0.1976190060377121,4
16,task_17f1e062-6db2-427b-ae38-87a6d575731f_point_29,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,2,2,0,shrubland/savanna,12.05635929107666,0.9999921321868896,0.125,2.9430452741507906e-06,0.0,2,0,0,0.1774938404560089,4
16,task_17f1e062-6db2-427b-ae38-87a6d575731f_point_30,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,5,5,0,agriculture/settlement,8.611136436462402,0.9998127818107605,0.0,5.7273402489954606e-05,0.0,5,0,0,0.19797074794769287,4
16,task_17f1e062-6db2-427b-ae38-87a6d575731f_point_33,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,5,5,0,agriculture/settlement,6.125263214111328,0.9977976083755493,0.0,0.0006209055427461863,0.0,5,0,0,0.23307755589485168,4
16,task_17f1e062-6db2-427b-ae38-87a6d575731f_point_35,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,2,2,0,shrubland/savanna,7.112699508666992,0.9991748929023743,0.125,0.0003045608173124492,0.0,2,0,0,0.19842053949832916,4
16,task_17f1e062-6db2-427b-ae38-87a6d575731f_point_39,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,4,4,0,grassland/barren,7.681865692138672,0.9992212057113647,0.125,0.0002335360914003104,0.0,4,0,0,0.10277460515499115,4
16,task_17f1e062-6db2-427b-ae38-87a6d575731f_point_40,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,5,5,0,agriculture/settlement,0.3316917419433594,0.5820909142494202,0.25,0.05978667736053467,0.0,5,0,0,0.25741538405418396,4
16,task_17f1e062-6db2-427b-ae38-87a6d575731f_point_45,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,5,5,0,agriculture/settlement,10.5821533203125,0.9999622106552124,0.0,1.6135363694047555e-05,0.0,5,0,0,0.28345996141433716,4
16,task_17f1e062-6db2-427b-ae38-87a6d575731f_point_47,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,4,4,0,grassland/barren,6.131742477416992,0.9977268576622009,0.0,0.000869655457790941,0.0,4,0,0,0.25616246461868286,4
16,task_17f1e062-6db2-427b-ae38-87a6d575731f_point_48,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,2,2,0,shrubland/savanna,6.963509559631348,0.9988628625869751,0.0,0.0003715275670401752,0.0,2,0,0,0.2006271779537201,4
16,task_17f1e062-6db2-427b-ae38-87a6d575731f_point_8,spatial_split\task_17f1e062-6db2-427b-ae38-87a6d575731f,2,2,0,shrubland/savanna,11.165529251098633,0.9999735355377197,0.0,3.7889992654527305e-06,0.0,2,0,0,0.20028409361839294,4
