window,map,axis,rank,period_px,whitened_power,p_bonferroni,matches,harmonic_of,n_bins,n_strips
chobe_east,class_boundary,col,1,8.787418655097614,143.13239241354816,9.284518563879047e-60,2 patches 8 px,window 32 px (h=4);window 64 px (h=8);window 128 px (h=16);window 256 px (h=32),1347,1
chobe_east,class_boundary,col,2,5.862518089725037,112.57519487919787,1.7321346938679146e-46,,window 32 px (h=6);window 64 px (h=12);window 128 px (h=24);window 256 px (h=48),1347,1
chobe_east,class_boundary,col,3,6.59771986970684,84.45323676629016,2.8300420548556642e-34,,window 128 px (h=21);window 256 px (h=42);window 256 px (h=43),1347,1
chobe_east,class_boundary,col,4,7.529739776951673,72.39815748326077,4.8668425995094926e-29,,window 128 px (h=19);window 256 px (h=37);window 256 px (h=38),1347,1
chobe_east,class_boundary,col,5,17.61304347826087,70.24098127379501,4.208206327561787e-28,,window 32 px (h=2);window 64 px (h=4);window 128 px (h=8);window 256 px (h=16);window 512 px (h=32),1347,1
chobe_east,class_boundary,col,6,4.393709327548807,68.67796634145881,2.0086570125372902e-27,encoder patch 4 px,2 patches 8 px (h=2);window 32 px (h=8);window 64 px (h=16);window 128 px (h=32),1347,1
chobe_east,class_boundary,col,7,26.477124183006534,58.87960584166841,3.616426825556317e-23,,window 512 px (h=21),1347,1
chobe_east,class_boundary,col,8,4.055055055055055,46.980281287912625,5.322193670226004e-18,,window 128 px (h=35),1347,1
chobe_east,class_boundary,row,1,17.68122270742358,145.6914127574308,7.179074143776108e-61,,window 32 px (h=2);window 64 px (h=4);window 128 px (h=8);window 256 px (h=16);window 512 px (h=32),1346,1
chobe_east,class_boundary,row,2,8.84061135371179,134.50798882846257,5.163780103096954e-56,2 patches 8 px,window 32 px (h=4);window 64 px (h=8);window 128 px (h=16);window 256 px (h=32),1346,1
chobe_east,class_boundary,row,3,5.893740902474527,97.64945406088022,5.2532249756497495e-40,,window 32 px (h=6);window 64 px (h=12);window 128 px (h=24);window 256 px (h=47);window 256 px (h=48),1346,1
chobe_east,class_boundary,row,4,10.62729658792651,87.12480250759249,1.955348146049625e-35,,window 128 px (h=13);window 256 px (h=26);window 256 px (h=27),1346,1
chobe_east,class_boundary,row,5,6.637704918032788,85.77083150333364,7.572621143880697e-35,,window 128 px (h=21);window 256 px (h=42);window 256 px (h=43),1346,1
chobe_east,class_boundary,row,6,3.5393356643356646,85.4661403534991,1.0270034790266345e-34,,window 32 px (h=10);window 64 px (h=20);window 128 px (h=39);window 128 px (h=40),1346,1
chobe_east,class_boundary,row,7,26.638157894736842,64.05307481119425,2.0471427160472252e-25,,window 512 px (h=21),1346,1
chobe_east,class_boundary,row,8,4.425136612021857,54.755930727677985,2.2327828793162194e-21,encoder patch 4 px,2 patches 8 px (h=2);window 32 px (h=8);window 64 px (h=16);window 128 px (h=32),1346,1
chobe_east,change_gradient,col,1,8.787418655097614,242.39714286234172,7.204867883154052e-103,2 patches 8 px,window 32 px (h=4);window 64 px (h=8);window 128 px (h=16);window 256 px (h=32),1347,1
chobe_east,change_gradient,col,2,5.862518089725037,206.94936530437263,1.7881346160211377e-87,,window 32 px (h=6);window 64 px (h=12);window 128 px (h=24);window 256 px (h=48),1347,1
chobe_east,change_gradient,col,3,4.393709327548807,106.85728166519657,5.270354368814138e-44,encoder patch 4 px,2 patches 8 px (h=2);window 32 px (h=8);window 64 px (h=16);window 128 px (h=32),1347,1
chobe_east,change_gradient,col,4,17.61304347826087,68.58869858588382,2.196212094911465e-27,,window 32 px (h=2);window 64 px (h=4);window 128 px (h=8);window 256 px (h=16);window 512 px (h=32),1347,1
chobe_east,change_gradient,col,5,3.516493055555556,62.171014658593556,1.3453614993259142e-24,,window 32 px (h=10);window 64 px (h=20);window 128 px (h=40),1347,1
chobe_east,change_gradient,col,6,5.854046242774567,57.943564054164,9.22141282928379e-23,,window 32 px (h=6);window 64 px (h=12);window 128 px (h=24);window 256 px (h=48),1347,1
chobe_east,change_gradient,col,7,13.152597402597403,50.902898672216416,1.0532211931678746e-19,,window 256 px (h=21);window 512 px (h=42);window 512 px (h=43),1347,1
chobe_east,change_gradient,col,8,10.577023498694517,48.49929739940611,1.165172856742043e-18,,window 256 px (h=27),1347,1
chobe_east,change_gradient,row,1,8.84061135371179,33.47731566833955,3.890734501970168e-12,2 patches 8 px,window 32 px (h=4);window 64 px (h=8);window 128 px (h=16);window 256 px (h=32),1346,1
chobe_east,change_gradient,row,2,10.62729658792651,29.236240961115673,2.703379018890925e-10,,window 128 px (h=13);window 256 px (h=26);window 256 px (h=27),1346,1
chobe_east,change_gradient,row,3,5.893740902474527,24.278777654735247,3.8450845773349874e-08,,window 32 px (h=6);window 64 px (h=12);window 128 px (h=24);window 256 px (h=47);window 256 px (h=48),1346,1
chobe_east,change_gradient,row,4,4.420305676855895,16.5958835019202,8.347269448731732e-05,encoder patch 4 px,2 patches 8 px (h=2);window 32 px (h=8);window 64 px (h=16);window 128 px (h=32),1346,1
chobe_east,change_gradient,row,5,13.232026143790849,13.840705485671158,0.001312511271840415,,window 256 px (h=21);window 512 px (h=42);window 512 px (h=43),1346,1
chobe_east,change_gradient,row,6,3.1242283950617287,12.73397022218475,0.003969648560599046,,window 128 px (h=45),1346,1
chobe_east,change_gradient,row,7,6.637704918032788,11.963273979296668,0.0085794843265256,,window 128 px (h=21);window 256 px (h=42);window 256 px (h=43),1346,1
chobe_east,change_gradient,row,8,7.568224299065421,11.008885049092761,0.02228163374167538,,window 256 px (h=37),1346,1
chobe_east,worldcover_boundary,col,1,8.301229508196721,8.48613192537713,0.27789922000996964,,window 128 px (h=17);window 256 px (h=34),1347,1
chobe_east,worldcover_boundary,col,2,16.670781893004115,8.374209530589035,0.3108097301534467,,window 256 px (h=17);window 512 px (h=34),1347,1
chobe_east,worldcover_boundary,col,3,29.786764705882355,7.531472951567752,0.721922291662994,,window 512 px (h=19),1347,1
chobe_east,worldcover_boundary,col,4,17.386266094420602,6.916820917186764,1.0,,window 32 px (h=2);window 64 px (h=4);window 128 px (h=8);window 256 px (h=16);window 512 px (h=32);window 512 px (h=33),1347,1
chobe_east,worldcover_boundary,col,5,5.358465608465608,5.803974709886015,1.0,,window 64 px (h=13);window 128 px (h=26),1347,1
chobe_east,worldcover_boundary,col,6,3.983284169124877,5.723246864286757,1.0,,window 32 px (h=9);window 64 px (h=18);window 128 px (h=35);window 128 px (h=36),1347,1
chobe_east,worldcover_boundary,col,7,6.119335347432024,5.213826599829842,1.0,,window 128 px (h=23);window 256 px (h=46),1347,1
chobe_east,worldcover_boundary,col,8,3.0367316341829085,5.084375044996809,1.0,,window 64 px (h=23);window 128 px (h=46);window 128 px (h=47),1347,1
chobe_east,worldcover_boundary,row,1,289.2142857142857,8.772067287729739,0.20863378736054516,,,1346,1
chobe_east,worldcover_boundary,row,2,3.5362445414847166,7.365347011486374,0.8517565765228735,,window 32 px (h=10);window 64 px (h=20);window 128 px (h=40),1346,1
chobe_east,worldcover_boundary,row,3,5.197689345314506,7.219059004539489,0.9859333782748989,,window 128 px (h=27),1346,1
chobe_east,worldcover_boundary,row,4,6.605220228384992,6.855513994995034,1.0,,window 128 px (h=21);window 256 px (h=42);window 256 px (h=43),1346,1
chobe_east,worldcover_boundary,row,5,3.291869918699187,6.43636748798781,1.0,,window 64 px (h=21);window 128 px (h=42);window 128 px (h=43),1346,1
chobe_east,worldcover_boundary,row,6,6.210122699386503,6.326785935086768,1.0,,window 128 px (h=23);window 256 px (h=45);window 256 px (h=46),1346,1
chobe_east,worldcover_boundary,row,7,5.639275766016713,5.817220893946767,1.0,,window 128 px (h=25),1346,1
chobe_east,worldcover_boundary,row,8,4.3725701943844495,5.801216986593292,1.0,encoder patch 4 px,2 patches 8 px (h=2);window 32 px (h=8);window 64 px (h=16);window 128 px (h=32),1346,1
