window,hypothesis,injected_row_fraction,p_comb,comb_whitened_power
chobe_east,window 128 px,0.02,0.309471391834768,1.1874453991139413
chobe_east,window 128 px,0.05,0.010504418090273943,2.781193516945525
chobe_east,window 128 px,0.1,9.438648374914095e-10,8.911515953885697
chobe_east,window 128 px,0.2,7.80105612046257e-33,27.35919892840703
chobe_east,window 128 px,0.4,3.517237321419463e-129,102.17995802005562
chobe_east,window 256 px,0.02,0.7611825051244416,0.5616603716404406
chobe_east,window 256 px,0.05,0.44786094036550295,0.9639360994889028
chobe_east,window 256 px,0.1,0.011385888216193548,2.7470745053109127
chobe_east,window 256 px,0.2,2.2799709122748027e-08,7.761587779315252
chobe_east,window 256 px,0.4,4.281985681379261e-27,22.835081630520616
sesheke,window 128 px,0.02,0.1275139995093096,1.6554536057096711
sesheke,window 128 px,0.05,0.0007930282484666198,3.835053972329978
sesheke,window 128 px,0.1,8.129072156023959e-11,9.789227951849593
sesheke,window 128 px,0.2,7.32529105553442e-39,32.09048513309694
sesheke,window 128 px,0.4,5.15665918950914e-162,127.52815849940212
sesheke,window 256 px,0.02,0.26117140835955294,1.2827940699842244
sesheke,window 256 px,0.05,0.04624401727123168,2.134119577195746
sesheke,window 256 px,0.1,0.00028859426950603563,4.232337764174331
sesheke,window 256 px,0.2,3.4284596753257853e-11,10.096950002949805
sesheke,window 256 px,0.4,1.4203717752482184e-32,27.15450537357751
savuti_north,window 128 px,0.02,0.019475691987285316,2.517052428036339
savuti_north,window 128 px,0.05,0.0033864528557789662,3.2513293922013844
savuti_north,window 128 px,0.1,7.638650497117442e-08,7.321356205559685
savuti_north,window 128 px,0.2,2.33990722926192e-33,27.77040672773069
savuti_north,window 128 px,0.4,1.350193948586302e-120,95.54674964827342
savuti_north,window 256 px,0.02,0.053944132320352466,2.06388371582502
savuti_north,window 256 px,0.05,0.0335112846989669,2.2788169137177587
savuti_north,window 256 px,0.1,0.00020167030332787945,4.371748926452997
savuti_north,window 256 px,0.2,1.7741419566640969e-09,8.684607941740149
savuti_north,window 256 px,0.4,2.1116064934875686e-29,24.65623017707072
kwando,window 128 px,0.02,0.1403743463721748,1.6076627393563683
kwando,window 128 px,0.05,0.005933076359224861,3.0204283727352266
kwando,window 128 px,0.1,4.5879618963449025e-08,7.507251644488778
kwando,window 128 px,0.2,3.6585201370657176e-28,23.678907131517207
kwando,window 128 px,0.4,1.1272104760908979e-76,61.54370865090785
kwando,window 256 px,0.02,0.6212603335740015,0.7351405457541755
kwando,window 256 px,0.05,0.6575612182309623,0.690216834579811
kwando,window 256 px,0.1,0.2624732495135415,1.280050074982468
kwando,window 256 px,0.2,0.002674013327876209,3.347580488771196
kwando,window 256 px,0.4,2.8700056932396077e-12,10.977738921909273
barotse,window 128 px,0.02,0.6541971057342235,0.6943657555675501
barotse,window 128 px,0.05,0.1763602515460306,1.491810988633553
barotse,window 128 px,0.1,0.0003063665252522077,4.20902269953957
barotse,window 128 px,0.2,3.9355150651798144e-19,16.510504574706705
barotse,window 128 px,0.4,6.52276055834195e-67,53.96365201465528
barotse,window 256 px,0.02,0.3265805466585613,1.1564017855711117
barotse,window 256 px,0.05,0.36920388200842047,1.0839240756968278
barotse,window 256 px,0.1,0.2938634234435959,1.216914555657935
barotse,window 256 px,0.2,0.0001947622886201625,4.3852707022166415
barotse,window 256 px,0.4,4.0041080722670715e-18,15.704542129274627
