scene,n_patches,n_errors,unstable_fraction,unstable_share_among_errors,unstable_share_among_correct,t2_unstable_share_topk_confidence,t2_unstable_share_topk_tile,t2_unstable_share_topk_boundary,t2_n_flagged_errors_confidence,t2_n_flagged_errors_tile,n_errors_stable,eaurc_all[baseline],eaurc_stable[baseline],eaurc_all[E_case],eaurc_stable[E_case],eaurc_all[tile-phase (aligned)],eaurc_stable[tile-phase (aligned)],eaurc_all[boundary],eaurc_stable[boundary],eaurc_all[E_dist],eaurc_stable[E_dist],eaurc_all[control],eaurc_stable[control]
barotse,1024,97,0.0029296875,0.0,0.003236245954692557,0.0,0.0,0.0,30,51,97,0.06374072895973824,0.06615397761429126,0.01882098459960902,0.019126683489345774,0.008062302076029178,0.008096204322127775,0.0030712994393955247,0.0030490766991873577,0.024260756342520333,0.024301984427436314,0.033738832630902514,0.03361148013103909
cuando_20,1024,49,0.015625,0.14285714285714285,0.009230769230769232,0.18181818181818182,0.16666666666666666,0.13157894736842105,22,30,42,0.002305352845290396,0.0020113096038701485,0.006294766038915097,0.004518290972805879,0.0012964121541724181,0.0011895445868326507,0.0032155763118874242,0.001753027775785037,0.0026931857860731704,0.001739533881331211,0.008048342160708453,0.00784791843321707
cuando_50,1024,168,0.0126953125,0.07738095238095238,0.0,0.02531645569620253,0.05825242718446602,0.08333333333333333,79,103,155,0.03928680150979784,0.03553809284228488,0.0651068492515779,0.05256652375830294,0.013311633047836485,0.012609400404802507,0.014737395802324221,0.012917438474423774,0.004545659659027115,0.004552699969181197,0.01724388103998276,0.0174436666302353
cuando_80,1024,61,0.0283203125,0.09836065573770492,0.023883696780893044,0.16666666666666666,0.038461538461538464,0.0,30,26,55,0.005351764143434398,0.004967443530495388,0.013692698038489699,0.013434270603482543,0.003189617672577911,0.002236828465602559,0.005138066862936575,0.0034751434824076676,0.0074092382730945715,0.0066975882106978385,0.007433358089793054,0.006451447468793345
delta,1024,29,0.0,0.0,0.0,0.0,0.0,0.0,6,16,29,0.022975242223047705,0.022975242223047705,0.009930001749540349,0.009930001749540349,0.00043636665073223295,0.00043636665073223295,3.9351230026785674e-06,3.9351230026785674e-06,0.0009788759944057367,0.0009788759944057367,5.2083935300180535e-05,5.2083935300180535e-05
kazungula,1024,18,0.01953125,0.2222222222222222,0.015904572564612324,0.3333333333333333,0.3333333333333333,0.375,9,6,14,0.0007264169942157101,0.00061105691061941,0.0006940255423347415,0.0006124285527504061,0.0004147948702188446,0.0003028014173117233,0.00033813646722221367,0.00025076121249082654,0.00348870537733273,0.0034067418808747625,0.001442972802468698,0.0008765199782394198
luangwa_conf,1024,52,0.087890625,0.21153846153846154,0.08127572016460906,0.3181818181818182,0.14814814814814814,0.15384615384615385,22,27,41,0.008947765780212034,0.007566279450713665,0.017581065260995503,0.016002741023154306,0.005815172808717865,0.004606745460476345,0.009700327308088338,0.006344305862931321,0.009462142714851587,0.008389344261066094,0.058351504843803734,0.04555222183143557
okavango_50,1024,96,0.01171875,0.041666666666666664,0.008620689655172414,0.07407407407407407,0.05555555555555555,0.08333333333333333,27,36,92,0.14060793115568837,0.14036536213402467,0.15666123305020827,0.1574008446236829,0.11287735177038484,0.11339424677542626,0.046067945506968175,0.045818811335654006,0.12927667311886668,0.12603903788123502,0.1183074307794549,0.11894717023581544
okavango_80,1024,76,0.0224609375,0.2894736842105263,0.0010548523206751054,0.08,0.15,0.20833333333333334,25,40,54,0.054294323224705475,0.028568593110207288,0.05489177012702543,0.03624636405755051,0.0032838875458047556,0.0018085362593303308,0.0023498843354374617,0.0015063801430169226,0.007618011382871863,0.004904638589232536,0.0008812205531424648,0.0006669708107399613
okavango_sep,1024,13,0.0,0.0,0.0,0.0,0.0,0.0,3,7,13,0.00042638786507953185,0.00042638786507953185,0.0001992291648424035,0.0001992291648424035,0.00020918489107126632,0.00020918489107126632,7.250767642966391e-06,7.250767642966391e-06,0.0006518117076520746,0.0006518117076520746,0.016175292939146668,0.016175292939146668
rovuma_20,1024,39,0.017578125,0.23076923076923078,0.009137055837563452,0.15384615384615385,0.2,0.25,13,15,30,0.004520496715400123,0.0032685895592127374,0.008750784453642498,0.003980772064251894,0.0013937425857267287,0.0009036747741622733,0.0015489155688460342,0.001105906607176284,0.00969363590167516,0.009032233422782079,0.0065760795094725105,0.005873485216320774
rovuma_50,1024,74,0.056640625,0.3108108108108108,0.03684210526315789,0.23529411764705882,0.18181818181818182,0.2571428571428571,34,33,51,0.0064165897421879945,0.002892896594732507,0.00642692667402093,0.0022700897055771413,0.005290072625922297,0.0022885821633305842,0.008654628962709944,0.006192666163969845,0.012506521857848202,0.008044976271412986,0.013245394159984148,0.006601541991928462
rovuma_80,1024,18,0.0107421875,0.3333333333333333,0.004970178926441352,0.14285714285714285,0.25,0.25,7,4,12,0.001439554279369221,0.0012790681291322294,0.0028646204501150945,0.002700237252721728,0.0008771299464480006,0.0005968634581940555,0.003421270442996357,0.002059847373306302,0.0012830469875402296,0.0006134020124157833,0.0004600503059693098,0.00035457644474777236
save_20,1024,25,0.009765625,0.4,0.0,0.0,0.11764705882352941,0.391304347826087,2,17,15,0.020482619588743443,0.002673995557645803,0.06163292053432043,0.018004097694209558,0.00015678252825284523,3.154178908365057e-05,1.0250532638099918e-05,4.44231806958446e-06,0.00015509026234752823,6.860626847711794e-05,0.0037154810891584012,0.00374916925279399
save_50,1024,76,0.1865234375,0.06578947368421052,0.1962025316455696,0.043478260869565216,0.045454545454545456,0.05555555555555555,23,22,71,0.01118717382458453,0.008953027139785545,0.038086253748072035,0.047639025522193804,0.008761932348810526,0.007773345998605338,0.044368354784706326,0.04853238491546305,0.013435147687203754,0.0103050534335498,0.06474167300570195,0.07056756105163806
save_80,1024,23,0.0556640625,0.7391304347826086,0.03996003996003996,0.5,0.5,0.6842105263157895,4,12,6,0.0066454262914877205,nan,0.028893022801569697,nan,0.0002978733502590854,nan,4.4484184364428905e-05,nan,0.0003835134579546837,nan,0.00021963344669607087,nan
shire_20,1024,303,0.0263671875,0.026402640264026403,0.026352288488210817,0.007142857142857143,0.03289473684210526,0.04285714285714286,140,152,295,0.10818478392009831,0.10835525548728561,0.11145275152484596,0.12067740446857192,0.12875886859110258,0.13249939095282198,0.17665178307296897,0.18004700984386995,0.06442293127273938,0.06343200516713053,0.2067727635200356,0.21307808904629885
shire_50,1024,123,0.0244140625,0.008130081300813009,0.026637069922308545,0.018867924528301886,0.0,0.0,53,69,122,0.0932219406538781,0.09550255545167909,0.09241752850266088,0.09335875343278839,0.05606853168256757,0.056258484853322445,0.02128239034949287,0.020135919061299697,0.05536321993925495,0.05501385352018844,0.05083021659867249,0.04804487124906111
shire_80,1024,188,0.013671875,0.0425531914893617,0.007177033492822967,0.03773584905660377,0.022727272727272728,0.0,53,88,180,0.2836444488725171,0.27699015984055414,0.27657677172263817,0.2724836741091111,0.17004819474305352,0.16246606172139944,0.06451626106618977,0.058388889967610096,0.19908774790262582,0.1952252883689042,0.1306234314978372,0.12345335239162492
shire_liwonde,1024,17,0.0,0.0,0.0,0.0,0.0,0.0,1,7,17,0.03331426532503726,0.03331426532503726,0.035530429224796996,0.035530429224796996,0.025056110885331898,0.025056110885331898,0.008855680872354155,0.008855680872354155,0.0011547421404747473,0.0011547421404747473,0.00041367199749317,0.00041367199749317
vicfalls_up,1024,23,0.0087890625,0.17391304347826086,0.004995004995004995,0.16666666666666666,0.1,0.0,12,10,19,0.0005288564506625891,0.00039090081762637417,0.00029154553706500227,9.615295427452413e-05,0.000521026560205438,0.00031275291029209053,0.0023681481640176532,5.940715850219312e-06,0.0009673460902841413,0.000917425331837643,0.0409740556568448,0.030712517012145793
zambezi_20,1024,51,0.0361328125,0.11764705882352941,0.03186022610483042,0.05263157894736842,0.05263157894736842,0.045454545454545456,19,19,45,0.011748518756192825,0.009834823290648938,0.010481532467936937,0.007295916908355981,0.004888944318080861,0.002358775017544286,0.006404305955069509,0.0020152182451439312,0.015489448939535695,0.015391079954080502,0.004625134013057841,0.001919968592000152
zambezi_50,1024,16,0.0087890625,0.125,0.006944444444444444,0.0,0.125,0.0,8,8,14,0.00017570252146786145,8.58522536377328e-05,0.00014790681432143367,6.590416496564712e-05,0.00017561638479782402,0.00012264266426264506,0.000267021373080074,0.0001755020699057353,0.003595916826476246,0.0026801790939667072,0.0003748394044104003,0.0002697830313439238
zambezi_80,1024,47,0.0,0.0,0.0,0.0,0.0,0.0,21,35,47,0.0024133453168951498,0.0024133453168951498,0.013675033544595677,0.013675033544595677,0.0003569706484781521,0.0003569706484781521,1.1482730701205214e-05,1.1482730701205214e-05,0.00739997193598237,0.00739997193598237,0.031504760138210706,0.031504760138210706
