scene,date_2021,eaurc_2021[E_case],eaurc_2021[E_dist],eaurc_2021[baseline],eaurc_2021[boundary],eaurc_2021[control],eaurc_2021[tile-phase (aligned)],eaurc_2024[E_case],eaurc_2024[E_dist],eaurc_2024[baseline],eaurc_2024[boundary],eaurc_2024[control],eaurc_2024[tile-phase (aligned)],n_errors_2021,n_errors_2024,water_fraction_pred_2021,water_fraction_ref_2021grid
barotse,2021-5-24,0.1193786927121578,0.07057575699471381,0.09985479004806196,0.015057937158487494,0.04424183053376805,0.02259275549384006,0.01882098459960902,0.024260756342520333,0.06374072895973824,0.0030712994393955247,0.033738832630902514,0.008062302076029178,160,97,0.16015625,0.00390625
cuando_20,2021-8-10,0.07444464652799468,0.05331842840762601,0.06473416927155248,0.04965037784075187,0.12918420931691363,0.03688231190200166,0.006294766038915097,0.0026931857860731704,0.002305352845290396,0.0032155763118874242,0.008048342160708453,0.0012964121541724181,201,49,0.2138671875,0.017578125
cuando_50,2021-6-7,0.05858801278740094,0.03493169555835839,0.13698783982070886,0.07179986775761882,0.11410195160724274,0.08481448351080578,0.0651068492515779,0.004545659659027115,0.03928680150979784,0.014737395802324221,0.01724388103998276,0.013311633047836485,282,168,0.275390625,0.0
cuando_80,2021-8-10,0.055543418842714326,0.0449351217365158,0.04086685746339175,0.012702048099447659,0.08916597798010419,0.023033930545297714,0.013692698038489699,0.0074092382730945715,0.005351764143434398,0.005138066862936575,0.007433358089793054,0.003189617672577911,155,61,0.1806640625,0.037109375
delta,2021-7-13,0.04924082482187897,0.012125093207687525,0.026180333136137407,0.00018642958361579556,0.014316636162518456,0.0010755896949011796,0.009930001749540349,0.0009788759944057367,0.022975242223047705,3.9351230026785674e-06,5.2083935300180535e-05,0.00043636665073223295,51,29,0.0498046875,0.0
kafue_20,2021-8-29,0.011024752854517235,0.01948511810963683,0.013384562895575209,0.005051072417343581,0.014069545319860126,0.0027575501635261597,0.02148003446375599,0.0377729586023257,0.013490831670502981,0.009804994732680592,0.02577632965711113,0.004892579927681797,65,77,0.142578125,0.1025390625
kafue_50,2021-7-20,0.055146083642519585,0.014961835214205469,0.047435284815948116,0.0025817201053054467,0.03684032561366595,0.003895909285380943,0.026312882032079224,0.007713701818540927,0.02296708498167975,0.0017360994418049438,0.008807346556610331,0.0015796367371150263,68,48,0.0791015625,0.0126953125
kafue_80,2021-7-27,0.02339364704194459,0.036180085132117276,0.0343342030452243,0.02510649292955617,0.008075943762043436,0.015068416967966252,0.0061292738060071345,0.013101361751979847,0.012058791409741282,0.0014017866873019813,0.0007046593069712585,0.0012824492546754601,97,38,0.1796875,0.0849609375
kazungula,2021-7-30,0.0003097788920529212,0.0011339192152582324,0.0005457493369042839,0.0003342447584059925,0.000722878135170444,0.0003484484128650907,0.0006940255423347415,0.00348870537733273,0.0007264169942157101,0.00033813646722221367,0.001442972802468698,0.0004147948702188446,19,18,0.3515625,0.3681640625
luangwa_conf,2021-7-29,0.0020348429600793414,0.002450945292663863,0.0016357556335720332,0.0015178600131174251,0.005927162624172208,0.0011997634021200998,0.017581065260995503,0.009462142714851587,0.008947765780212034,0.009700327308088338,0.058351504843803734,0.005815172808717865,21,52,0.326171875,0.3447265625
okavango_50,2021-8-5,0.16267401820139243,0.10938258303943281,0.12411044167763986,0.03953578728140604,0.039718973618289515,0.10322445186683483,0.15666123305020827,0.12927667311886668,0.14060793115568837,0.046067945506968175,0.1183074307794549,0.11287735177038484,110,96,0.2041015625,0.1005859375
okavango_80,2021-7-23,0.0900605490942572,0.04836756256074387,0.09378973046959402,0.0031775091602596877,0.010719616562079174,0.006876271045172414,0.05489177012702543,0.007618011382871863,0.054294323224705475,0.0023498843354374617,0.0008812205531424648,0.0032838875458047556,96,76,0.1123046875,0.0185546875
okavango_sep,2021-7-23,0.0014912351846303497,0.009754325322144396,0.020459004335474096,0.05122044244176619,0.2584602434613924,0.027839488349765983,0.0001992291648424035,0.0006518117076520746,0.00042638786507953185,7.250767642966391e-06,0.016175292939146668,0.00020918489107126632,188,13,0.18359375,0.0
rovuma_20,2021-6-17,0.008549312433098482,0.010673792008428405,0.00653329301219995,0.01000783280562764,0.011632551510566162,0.004089422234096391,0.008750784453642498,0.00969363590167516,0.004520496715400123,0.0015489155688460342,0.0065760795094725105,0.0013937425857267287,55,39,0.1796875,0.1416015625
rovuma_50,2021-7-28,0.01205710222629848,0.0294689119253949,0.018842818409447785,0.029847758624325045,0.026832516233559207,0.009757558808608124,0.00642692667402093,0.012506521857848202,0.0064165897421879945,0.008654628962709944,0.013245394159984148,0.005290072625922297,98,74,0.259765625,0.23046875
rovuma_80,2021-5-29,0.0009897370400961535,0.00781394118353323,0.0029752617291871246,0.0011558138407472573,0.0050565772284376555,0.0007339692617047596,0.0028646204501150945,0.0012830469875402296,0.001439554279369221,0.003421270442996357,0.0004600503059693098,0.0008771299464480006,32,18,0.1923828125,0.1650390625
save_20,2021-7-24,0.04194705004985995,0.0030389664398596397,0.02610041859473164,0.00019252294739440857,0.020585270085899998,0.0007069411316449674,0.06163292053432043,0.00015509026234752823,0.020482619588743443,1.0250532638099918e-05,0.0037154810891584012,0.00015678252825284523,42,25,0.041015625,0.0
