scene,patch_row,patch_col,in_top_tile,in_top_confidence,rank_tile,rank_confidence,n_disagreements,model_p_water,worldcover_water,ndwi_mean,ndwi_frac_gt0,jrc_seasonality_max_months,jrc_occurrence_max_pct,tile_phase_score,confidence_score,verdict,note
barotse,12,27,True,False,1,66,97,0.9921952486038208,False,-0.2572358313957443,0.125,3,20,0.3513307646982649,-4.845187664031982,,
barotse,19,26,False,True,62,1,97,0.5068244934082031,False,-0.3509370268087265,0.0,0,0,0.17636935423170852,-0.0272996723651886,,
barotse,28,31,False,True,46,2,97,0.5141799449920654,False,-0.2635701322560493,0.0,3,9,0.21929138064023654,-0.056735068559646606,,
barotse,11,13,True,False,2,48,97,0.9388489723205566,False,-0.36981899234667154,0.0,0,2,0.3409077100555431,-2.731307029724121,,
barotse,11,1,True,False,3,46,97,0.928388237953186,False,-0.3952915075612652,0.0,0,0,0.3398027592996256,-2.562190055847168,,
barotse,9,7,False,True,52,3,97,0.5194190144538879,False,-0.3829434796885452,0.0,0,5,0.20057291003213945,-0.07771524786949158,,
barotse,16,17,True,False,4,40,97,0.9023476243019104,False,-0.39207098407552116,0.0,0,0,0.33833973641550685,-2.223586320877075,,
barotse,23,25,False,True,34,4,97,0.5294367074966431,False,-0.37991272458943753,0.0,0,6,0.25027459254146694,-0.11788305640220642,,
barotse,10,7,False,True,35,5,97,0.5439026355743408,False,-0.461275050875179,0.0,0,0,0.24363704227438823,-0.17606404423713684,,
barotse,23,31,True,False,5,65,97,0.9909362196922302,False,-0.23169299501985618,0.0,2,5,0.3305745686529184,-4.694358825683594,,
barotse,16,30,False,True,44,6,97,0.5445766448974609,False,-0.43429384180909403,0.0,0,0,0.22398454736743995,-0.17878127098083496,,
barotse,11,14,True,False,6,31,97,0.8286870121955872,False,-0.38674332154657787,0.0,0,2,0.3268262129985138,-1.5763500928878784,,
barotse,28,6,False,True,57,7,97,0.5494338274002075,False,-0.2973911627943958,0.0,2,6,0.18775227376842002,-0.19838324189186096,,
barotse,26,8,True,False,7,44,97,0.9163423180580139,False,-0.17169497302686265,0.0,4,20,0.3258348447658034,-2.3936572074890137,,
barotse,22,11,True,False,8,67,97,0.9933564066886902,False,-0.327285525816172,0.0,3,7,0.3257998009483978,-5.007432460784912,,
barotse,15,15,False,True,48,8,97,0.5504395365715027,False,-0.4407256717337863,0.0,0,0,0.21166887862440503,-0.202446848154068,,
barotse,22,29,False,True,29,9,97,0.5555447936058044,False,-0.44115680628207654,0.0,2,6,0.25884629246191027,-0.2230999767780304,,
barotse,13,27,True,False,9,39,97,0.898101270198822,False,-0.34587339790972815,0.0,6,32,0.31739911332005993,-2.176302909851074,,
barotse,18,9,True,False,10,42,97,0.912746250629425,False,-0.3799669703520067,0.0,0,0,0.31335764784997344,-2.34763765335083,,
barotse,15,27,False,True,43,10,97,0.5586654543876648,False,-0.3905224072328969,0.0,0,0,0.22916302353071621,-0.23574769496917725,,
barotse,31,27,True,False,11,47,97,0.9307366013526917,False,-0.31345980859146083,0.0,1,1,0.30931037905057673,-2.598059892654419,,
barotse,19,28,False,True,53,11,97,0.562434732913971,False,-0.33602244531673975,0.0,0,0,0.1982015478002673,-0.25104930996894836,,
barotse,14,18,True,False,12,16,97,0.6475920081138611,False,-0.3096873920460339,0.0,0,0,0.306470275771889,-0.6084715127944946,,
barotse,4,31,False,True,41,12,97,0.5645015835762024,False,-0.45471880597966075,0.0,0,0,0.23340723382655953,-0.2594522535800934,,
