scene,patch_row,patch_col,in_top_tile,in_top_confidence,rank_tile,rank_confidence,n_disagreements,model_p_water,worldcover_water,ndwi_mean,ndwi_frac_gt0,jrc_seasonality_max_months,jrc_occurrence_max_pct,tile_phase_score,confidence_score,verdict,note
okavango_80,26,30,True,True,1,9,76,0.8936592936515808,False,-0.27316760774488386,0.0,5,27,0.3613586649126048,-2.128676176071167,,
okavango_80,19,23,False,True,36,1,76,0.5080961585044861,False,-0.29596572494487294,0.0,0,0,0.21090004342526256,-0.03238740563392639,,
okavango_80,28,23,False,True,13,2,76,0.7258306741714478,False,-0.3293792289258331,0.0,0,0,0.28974186929916,-0.9735709428787231,,
okavango_80,23,19,True,True,2,6,76,0.8792404532432556,False,-0.2868210005155494,0.0625,0,0,0.3448900846059113,-1.9852572679519653,,
okavango_80,4,9,True,True,7,3,76,0.7958851456642151,False,-0.21160108186966015,0.0,2,7,0.3166962027622755,-1.3607720136642456,,
okavango_80,15,15,True,False,3,19,76,0.9650632739067078,False,-0.3037481899138097,0.0,0,0,0.3329409439698107,-3.3186540603637695,,
okavango_80,28,31,False,True,18,4,76,0.8053561449050903,False,-0.2891590115287537,0.0,12,93,0.26762529143472635,-1.42011296749115,,
okavango_80,25,17,True,False,4,20,76,0.9662899971008301,False,-0.10826112253771292,0.25,3,22,0.33275736100967085,-3.355670213699341,,
okavango_80,10,11,True,True,5,10,76,0.8990533947944641,False,-0.2511161911861942,0.0625,0,4,0.32338820159201626,-2.186751365661621,,
okavango_80,25,31,False,True,15,5,76,0.8501896858215332,False,-0.1651067252950789,0.125,7,23,0.2877024145316124,-1.7360893487930298,,
okavango_80,26,16,True,False,6,13,76,0.9244105815887451,False,-0.26224601566821515,0.0,0,14,0.31692384546425073,-2.5038397312164307,,
okavango_80,9,12,False,True,32,7,76,0.884547770023346,False,-0.28679697357551526,0.0,0,0,0.22240959403887436,-2.036220073699951,,
okavango_80,22,15,True,False,8,14,76,0.9393128156661987,False,-0.23005600457283398,0.125,0,0,0.31652470912109487,-2.7394163608551025,,
okavango_80,29,22,False,True,14,8,76,0.8911722302436829,False,-0.14937016121669083,0.125,0,0,0.2891125933168738,-2.102771759033203,,
okavango_80,26,15,True,False,9,29,76,0.9972086548805237,False,-0.21901027835715853,0.0,0,0,0.30389396960180265,-5.878426551818848,,
okavango_80,22,16,True,False,10,23,76,0.978459358215332,False,-0.16539522772728718,0.25,0,0,0.2957414165501765,-3.8160359859466553,,
okavango_80,16,17,False,True,17,11,76,0.8996543288230896,False,-0.3455432881358139,0.0,0,0,0.27736907919015635,-2.193389892578125,,
okavango_80,3,27,True,False,11,36,76,0.9989253878593445,False,-0.16912227712522365,0.25,0,0,0.29415306695302945,-6.834735870361328,,
okavango_80,5,9,True,False,12,47,76,0.9999662637710571,False,-0.14930472320262445,0.25,0,0,0.29138325315139085,-10.298298835754395,,
okavango_80,23,14,False,True,64,12,76,0.9010176062583923,False,-0.11491363204883519,0.375,8,35,0.1580420738160081,-2.2085824012756348,,
