scene,patch_row,patch_col,in_top_tile,in_top_confidence,rank_tile,rank_confidence,n_disagreements,model_p_water,worldcover_water,ndwi_mean,ndwi_frac_gt0,jrc_seasonality_max_months,jrc_occurrence_max_pct,tile_phase_score,confidence_score,verdict,note
shire_80,4,23,False,True,26,1,188,0.5296528935432434,False,-0.2656895077866378,0.0625,0,8,0.2843512778081231,-0.11875107884407043,,
shire_80,1,22,True,False,1,26,188,0.9620704650878906,False,-0.3417718648954471,0.0,0,0,0.39233527989753425,-3.233358144760132,,
shire_80,26,9,True,False,2,29,188,0.9724761247634888,False,-0.3775826713284388,0.0,0,0,0.36250207266554724,-3.564791202545166,,
shire_80,27,31,False,True,50,2,188,0.5587942004203796,False,-0.2872290399837137,0.0,0,0,0.20518278926803224,-0.23626986145973206,,
shire_80,2,5,False,True,27,3,188,0.6049157977104187,False,-0.3273759957182536,0.0,3,37,0.28167930508912975,-0.42599037289619446,,
shire_80,11,21,True,False,3,30,188,0.9755640625953674,False,-0.33285085665081326,0.0,0,6,0.3487746942135235,-3.6869592666625977,,
shire_80,11,25,True,True,4,7,188,0.7161729335784912,False,-0.41158714105055394,0.0,0,3,0.34250360840685035,-0.9255564212799072,,
shire_80,13,18,False,True,21,4,188,0.6410136222839355,False,-0.42465571856586914,0.0,0,3,0.30762486729816385,-0.5797661542892456,,
shire_80,12,20,True,False,5,28,188,0.9699641466140747,False,-0.3662063075876866,0.0,0,4,0.33514159137011534,-3.4748694896698,,
shire_80,28,31,False,True,37,5,188,0.6542842984199524,False,-0.3058998742725369,0.0,0,1,0.24402772007756515,-0.6379251480102539,,
shire_80,1,5,False,True,31,6,188,0.6962607502937317,False,-0.3991790099543262,0.0,0,33,0.2598103932493518,-0.8295547962188721,,
shire_80,11,23,True,False,6,44,188,0.9897390007972717,False,-0.29352125916110283,0.0,0,4,0.33020267532792236,-4.569095134735107,,
shire_80,11,22,True,False,7,55,188,0.9972186088562012,False,-0.30848078799824535,0.0,0,6,0.33009238668441354,-5.882022380828857,,
shire_80,6,5,True,False,8,17,188,0.12003735452890396,True,-0.273017614146184,0.125,5,51,0.3298339512916699,-1.9920765161514282,,
shire_80,19,11,False,True,28,8,188,0.7703085541725159,False,-0.4046228208606402,0.0,0,55,0.27848676616758256,-1.2100541591644287,,
shire_80,26,7,True,False,9,19,188,0.9072911739349365,False,-0.28351926753692724,0.1875,0,1,0.3293580402080748,-2.2809994220733643,,
shire_80,12,18,False,True,15,9,188,0.7934725880622864,False,-0.2891820320019854,0.0,0,3,0.312165583643799,-1.345986008644104,,
shire_80,25,9,False,True,19,10,188,0.7946621179580688,False,-0.3718124895223147,0.0,0,0,0.30864346851281943,-1.3532600402832031,,
shire_80,11,24,True,False,10,31,188,0.9758371114730835,False,-0.37412982685079743,0.0,0,1,0.3290016801005248,-3.6984760761260986,,
shire_80,14,16,False,True,13,11,188,0.7952622771263123,False,-0.42303447972168184,0.0,0,2,0.32004021166250485,-1.3569422960281372,,
shire_80,12,19,True,False,11,72,188,0.9999668598175049,False,-0.22499004427471336,0.0,0,4,0.3251707543668124,-10.315512657165527,,
shire_80,27,15,True,True,12,12,188,0.8094174265861511,False,-0.48009680849301495,0.0,0,3,0.3212790203720205,-1.446229338645935,,
