part,unit,n_patches,n_errors,signal,aurc,eaurc,mean_value,gain_vs_confidence,gain_vs_tile-phase,gain_vs_boundary,gain_vs_control,spearman_vs_confidence,spearman_vs_tile-phase,spearman_vs_boundary,spearman_vs_control,head_acc,n_tiles_scored,W/L_vs_confidence,sign_p_vs_confidence,W/L_vs_tile-phase,sign_p_vs_tile-phase,W/L_vs_boundary,sign_p_vs_boundary,W/L_vs_control,sign_p_vs_control
A,barotse,1024,98,confidence (baseline),0.06848540720532928,0.0637056372259938,-7.135497093200684,0.0,-0.05564722328553389,-0.060571500940959554,-0.029238507562444997,,,,,,,,,,,,,,
A,barotse,1024,98,tile-phase (aligned),0.012838183919795387,0.008058413940459912,0.05301717505114337,0.05564722328553389,0.0,-0.004924277655425662,0.026408715723088894,,,,,,,,,,,,,,
A,barotse,1024,98,boundary indicator,0.007913906264369726,0.0031341362850342497,0.10791015625,0.060571500940959554,0.004924277655425662,0.0,0.031332993378514556,,,,,,,,,,,,,,
A,barotse,1024,98,control NDWI gradient,0.03924689964288428,0.034467129663548805,0.028786469926650262,0.029238507562444997,-0.026408715723088894,-0.031332993378514556,0.0,,,,,,,,,,,,,,
A,barotse,1024,98,constant score,0.095703125,0.09092335502066452,0.0,-0.02721771779467072,-0.08286494108020462,-0.08778921873563027,-0.05645622535711572,,,,,,,,,,,,,,
A,barotse,1024,98,control S2 patch variance,0.06190244471121821,0.05712267473188273,130.71506405119902,0.006582962494111069,-0.04906426079142282,-0.053988538446848484,-0.022655545068333928,,,,,,,,,,,,,,
A,barotse,1024,98,control NDWI level,0.09501571607597187,0.09023594609663639,-0.3297061751989084,-0.026530308870642588,-0.08217753215617649,-0.08710180981160213,-0.055768816433087585,,,,,,,,,,,,,,
A,barotse,1024,98,decoder cos-dist (K=8),0.10553002332051074,0.10075025334117527,0.5324146747589111,-0.037044616115181464,-0.09269183940071535,-0.09761611705614101,-0.06628312367762645,-0.15365026643301624,-0.06661242266289964,-0.025831507939346254,0.16833869403118518,,,,,,,,,,
A,barotse,1024,98,decoder cos-dist centred (K=8),0.06451732048594763,0.059737550506612155,0.5940725207328796,0.003968086719381647,-0.051679136566152244,-0.056603414221577907,-0.02527042084306335,0.17528002288820543,0.19325613779414919,0.11809728381374722,-0.002002818557327802,,,,,,,,,,
A,barotse,1024,98,decoder NLL (K=8),0.09859237020090166,0.09381260022156618,-1.3775956630706787,-0.030106962995572376,-0.08575418628110626,-0.09067846393653192,-0.05934547055801737,0.12466778574493953,0.13960311091838923,0.1251143292682927,0.11514336420856879,,,,,,,,,,
A,barotse,1024,98,"target crowding NLL, no decoder (K=8)",0.15651437351748643,0.15173460353815096,-1.1855134963989258,-0.08802896631215716,-0.14367618959769105,-0.1486004672531167,-0.11726747387460215,,,,,,,,,,,,,,
A,barotse,1024,98,decoder cos-dist (K=32),0.10544099436937912,0.10066122439004364,0.5318450927734375,-0.03695558716404984,-0.09260281044958374,-0.09752708810500939,-0.06619409472649485,-0.15964510988126743,-0.07159060734210715,-0.03658738868821972,0.16218976870395535,,,,,,,,,,
A,barotse,1024,98,decoder NLL (K=32),0.09727473264024891,0.09249496266091344,-1.3780579566955566,-0.028789325434919633,-0.08443654872045353,-0.08936082637587918,-0.05802783299736463,0.12401707004148486,0.13035229731421213,0.12090817448680351,0.11438449949932047,,,,,,,,,,
A,barotse,1024,98,decoder cos-dist token-mask (K=8),0.09988189922205168,0.0951021292427162,0.5348690748214722,-0.0313964920167224,-0.0870437153022563,-0.09196799295768195,-0.060634999579167397,-0.13740617847435804,-0.05050160709176739,-0.03300848025892282,0.15257976226664757,,,,,,,,,,
A,barotse,1024,98,decoder NLL token-mask (K=8),0.0983095899192199,0.09352981993988442,-1.3832087516784668,-0.029824182713890618,-0.08547140599942452,-0.09039568365485016,-0.059062690276335615,0.1374545812173664,0.13685290528216867,0.13037954411343963,0.1162074981224519,,,,,,,,,,
A,barotse,1024,98,target crowding NLL token-mask (K=8),0.1508653518548502,0.14608558187551474,-1.1856005191802979,-0.08237994464952093,-0.13802716793505482,-0.14295144559048048,-0.11161845221196592,,,,,,,,,,,,,,
A,barotse,1024,98,combination conf+decoder (prereg),0.06871277651872772,0.06393300653939224,0.49999999999999994,-0.00022736931339843724,-0.05587459259893233,-0.06079887025435799,-0.029465876875843434,,,,,,,,,,,,,,
A,cuando_20,1024,49,confidence (baseline),0.0034888486792538816,0.0023018940301927785,-11.007868766784668,0.0,-0.001014806102845183,0.0009136822816946458,0.005746448130515675,,,,,,,,,,,,,,
A,cuando_20,1024,49,tile-phase (aligned),0.0024740425764086986,0.0012870879273475955,0.044724094290610236,0.001014806102845183,0.0,0.0019284883845398287,0.006761254233360858,,,,,,,,,,,,,,
A,cuando_20,1024,49,boundary indicator,0.004402530960948527,0.0032155763118874242,0.089111328125,-0.0009136822816946458,-0.0019284883845398287,0.0,0.004832765848821029,,,,,,,,,,,,,,
A,cuando_20,1024,49,control NDWI gradient,0.009235296809769557,0.008048342160708453,0.027005727284564577,-0.005746448130515675,-0.006761254233360858,-0.004832765848821029,0.0,,,,,,,,,,,,,,
A,cuando_20,1024,49,constant score,0.0478515625,0.0466646078509389,0.0,-0.04436271382074612,-0.045377519923591306,-0.043449031539051476,-0.038616265690230446,,,,,,,,,,,,,,
A,cuando_20,1024,49,control S2 patch variance,0.01356968040577312,0.012382725756712017,81.56912360161513,-0.010080831726519239,-0.011095637829364421,-0.009167149444824593,-0.004334383596003563,,,,,,,,,,,,,,
A,cuando_20,1024,49,control NDWI level,0.0145981085701191,0.013411153921057996,-0.19716515467440648,-0.011109259890865218,-0.0121240659937104,-0.010195577609170572,-0.005362811760349542,,,,,,,,,,,,,,
A,cuando_20,1024,49,decoder cos-dist (K=8),0.052439059380151004,0.051252104731089904,0.5501857995986938,-0.048950210700897126,-0.04996501680374231,-0.04803652841920248,-0.04320376257038145,-0.0018337386453043416,0.025811424880194545,0.03390716642228738,0.040160105679135964,,,,,,,,,,
A,cuando_20,1024,49,decoder cos-dist centred (K=8),0.03207099314204216,0.030884038492981058,0.5770200490951538,-0.02858214446278828,-0.02959695056563346,-0.027668462181093634,-0.022835696332272604,0.10989217509477148,0.11065746593591302,0.07005885219226092,-0.046863779414920245,,,,,,,,,,
