part,unit,n_patches,n_errors,signal,aurc,eaurc,mean_value,gain_vs_confidence,gain_vs_tile-phase,gain_vs_boundary,gain_vs_control,spearman_vs_confidence,spearman_vs_tile-phase,spearman_vs_boundary,spearman_vs_control,head_acc,n_tiles_scored,W/L_vs_confidence,sign_p_vs_confidence,W/L_vs_tile-phase,sign_p_vs_tile-phase,W/L_vs_boundary,sign_p_vs_boundary,W/L_vs_control,sign_p_vs_control
A,barotse,1024,98,confidence (baseline),0.06848540720532928,0.0637056372259938,-7.135497093200684,0.0,-0.05564722328553389,-0.060571500940959554,-0.029238507562444997,,,,,,,,,,,,,,
A,barotse,1024,98,tile-phase (aligned),0.012838183919795387,0.008058413940459912,0.05301717505114337,0.05564722328553389,0.0,-0.004924277655425662,0.026408715723088894,,,,,,,,,,,,,,
A,barotse,1024,98,boundary indicator,0.007913906264369726,0.0031341362850342497,0.10791015625,0.060571500940959554,0.004924277655425662,0.0,0.031332993378514556,,,,,,,,,,,,,,
A,barotse,1024,98,control NDWI gradient,0.03924689964288428,0.034467129663548805,0.028786469926650262,0.029238507562444997,-0.026408715723088894,-0.031332993378514556,0.0,,,,,,,,,,,,,,
A,barotse,1024,98,constant score,0.095703125,0.09092335502066452,0.0,-0.02721771779467072,-0.08286494108020462,-0.08778921873563027,-0.05645622535711572,,,,,,,,,,,,,,
A,barotse,1024,98,control S2 patch variance,0.06190244471121821,0.05712267473188273,130.71506405119902,0.006582962494111069,-0.04906426079142282,-0.053988538446848484,-0.022655545068333928,,,,,,,,,,,,,,
A,barotse,1024,98,control NDWI level,0.09501571607597187,0.09023594609663639,-0.3297061751989084,-0.026530308870642588,-0.08217753215617649,-0.08710180981160213,-0.055768816433087585,,,,,,,,,,,,,,
A,barotse,1024,98,"predictor residual, whitened MSE (K=8)",0.058043273174174126,0.05326350319483865,0.4520014179943246,0.010442134031155154,-0.04520508925437874,-0.0501293669098044,-0.018796373531289844,-0.028399658465059718,0.07876798199341964,0.10065538722194405,0.6087080010371216,,,,,,,,,,
A,barotse,1024,98,"predictor residual, cosine (K=8)",0.07188386733782154,0.06710409735848606,0.2883232460299041,-0.003398460132492259,-0.05904568341802615,-0.0639699610734518,-0.032636967694937256,-0.04579821498819827,0.020779528914240755,0.065445895322223,0.5516344950289679,,,,,,,,,,
A,barotse,1024,98,mean-predictor residual (Mahalanobis top-d),0.0459960798703494,0.04121630989101392,0.8787597417831421,0.02248932733497988,-0.03315789595055401,-0.03808217360597967,-0.006749180227465117,0.024819978899935626,0.14998875706315715,0.11389620288248335,0.35067823072383947,,,,,,,,,,
A,barotse,1024,98,position-only residual (all patches hidden),0.058781073807713996,0.05400130382837852,0.8687635064125061,0.009704333397615283,-0.04594288988791861,-0.05086716754334427,-0.019534174164829714,-0.01408976915099063,0.08611518534081967,0.18209665125885127,0.4386584360024318,,,,,,,,,,
A,barotse,1024,98,combination conf+predictor (prereg),0.039572474069663716,0.03479270409032824,0.5,0.028912933135665564,-0.026734290149868327,-0.03165856780529399,-0.0003255744267794333,,,,,,,,,,,,,,
A,cuando_20,1024,49,confidence (baseline),0.0034888486792538816,0.0023018940301927785,-11.007868766784668,0.0,-0.001014806102845183,0.0009136822816946458,0.005746448130515675,,,,,,,,,,,,,,
A,cuando_20,1024,49,tile-phase (aligned),0.0024740425764086986,0.0012870879273475955,0.044724094290610236,0.001014806102845183,0.0,0.0019284883845398287,0.006761254233360858,,,,,,,,,,,,,,
A,cuando_20,1024,49,boundary indicator,0.004402530960948527,0.0032155763118874242,0.089111328125,-0.0009136822816946458,-0.0019284883845398287,0.0,0.004832765848821029,,,,,,,,,,,,,,
A,cuando_20,1024,49,control NDWI gradient,0.009235296809769557,0.008048342160708453,0.027005727284564577,-0.005746448130515675,-0.006761254233360858,-0.004832765848821029,0.0,,,,,,,,,,,,,,
A,cuando_20,1024,49,constant score,0.0478515625,0.0466646078509389,0.0,-0.04436271382074612,-0.045377519923591306,-0.043449031539051476,-0.038616265690230446,,,,,,,,,,,,,,
A,cuando_20,1024,49,control S2 patch variance,0.01356968040577312,0.012382725756712017,81.56912360161513,-0.010080831726519239,-0.011095637829364421,-0.009167149444824593,-0.004334383596003563,,,,,,,,,,,,,,
A,cuando_20,1024,49,control NDWI level,0.0145981085701191,0.013411153921057996,-0.19716515467440648,-0.011109259890865218,-0.0121240659937104,-0.010195577609170572,-0.005362811760349542,,,,,,,,,,,,,,
A,cuando_20,1024,49,"predictor residual, whitened MSE (K=8)",0.010375519143256514,0.00918856449419541,0.3619558570208028,-0.006886670464002632,-0.007901476566847815,-0.005972988182307986,-0.0011402223334869566,0.2830350676811387,0.40327179520420564,0.35516416252413985,0.5685506781524926,,,,,,,,,,
A,cuando_20,1024,49,"predictor residual, cosine (K=8)",0.0144687327100592,0.013281778060998096,0.22342934852349572,-0.010979884030805319,-0.011994690133650501,-0.010066201749110673,-0.005233435900289643,0.21271332522709388,0.3657663749016522,0.3661213767792003,0.5892060430226735,,,,,,,,,,
A,cuando_20,1024,49,mean-predictor residual (Mahalanobis top-d),0.014467696396538096,0.013280741747476992,0.8973153829574585,-0.010978847717284215,-0.011993653820129397,-0.010065165435589569,-0.005232399586768539,0.24438012972963308,0.16539621852871753,0.05195909850869036,0.038080497639653814,,,,,,,,,,
A,cuando_20,1024,49,position-only residual (all patches hidden),0.012452950758894162,0.01126599610983306,0.8386379480361938,-0.008964102079640282,-0.009978908182485464,-0.008050419797945636,-0.003217653949124606,0.187776703651384,0.15717014385594735,0.22139720871182314,0.19570010192403975,,,,,,,,,,
A,cuando_20,1024,49,combination conf+predictor (prereg),0.003953913707860526,0.002766959058799423,0.5,-0.0004650650286066446,-0.0014798711314518275,0.0004486172530880012,0.00528138310190903,,,,,,,,,,,,,,
A,cuando_50,1024,168,confidence (baseline),0.053649177945038526,0.03930779287575223,-7.855080604553223,0.0,-0.025962827685756706,-0.024570397073428007,-0.02206391183576947,,,,,,,,,,,,,,
A,cuando_50,1024,168,tile-phase (aligned),0.027686350259281824,0.013344965189995523,0.07388153277105558,0.025962827685756706,0.0,0.0013924306123286982,0.003898915849987236,,,,,,,,,,,,,,
A,cuando_50,1024,168,boundary indicator,0.029078780871610522,0.014737395802324221,0.169189453125,0.024570397073428007,-0.0013924306123286982,0.0,0.002506485237658538,,,,,,,,,,,,,,
