part,unit,n_patches,n_errors,signal,aurc,eaurc,mean_value,gain_vs_confidence,gain_vs_tile-phase,gain_vs_boundary,gain_vs_control,spearman_vs_confidence,spearman_vs_tile-phase,spearman_vs_boundary,spearman_vs_control,head_acc,n_tiles_scored,W/L_vs_confidence,sign_p_vs_confidence,W/L_vs_tile-phase,sign_p_vs_tile-phase,W/L_vs_boundary,sign_p_vs_boundary,W/L_vs_control,sign_p_vs_control
A,barotse,1024,98,confidence (baseline),0.06848540720532928,0.0637056372259938,-7.135497093200684,0.0,-0.05564722328553389,-0.060571500940959554,-0.029238507562444997,,,,,,,,,,,,,,
A,barotse,1024,98,tile-phase (aligned),0.012838183919795387,0.008058413940459912,0.05301717505114337,0.05564722328553389,0.0,-0.004924277655425662,0.026408715723088894,,,,,,,,,,,,,,
A,barotse,1024,98,boundary indicator,0.007913906264369726,0.0031341362850342497,0.10791015625,0.060571500940959554,0.004924277655425662,0.0,0.031332993378514556,,,,,,,,,,,,,,
A,barotse,1024,98,control NDWI gradient,0.03924689964288428,0.034467129663548805,0.028786469926650262,0.029238507562444997,-0.026408715723088894,-0.031332993378514556,0.0,,,,,,,,,,,,,,
A,barotse,1024,98,constant score,0.095703125,0.09092335502066452,0.0,-0.02721771779467072,-0.08286494108020462,-0.08778921873563027,-0.05645622535711572,,,,,,,,,,,,,,
A,barotse,1024,98,control S2 patch variance,0.06190244471121821,0.05712267473188273,130.71506405119902,0.006582962494111069,-0.04906426079142282,-0.053988538446848484,-0.022655545068333928,,,,,,,,,,,,,,
A,barotse,1024,98,control NDWI level,0.09501571607597187,0.09023594609663639,-0.3297061751989084,-0.026530308870642588,-0.08217753215617649,-0.08710180981160213,-0.055768816433087585,,,,,,,,,,,,,,
A,barotse,1024,98,discrete predictive entropy (k-means),0.09729037844373734,0.09251060846440186,1.5279754418440916,-0.028804971238408056,-0.08445219452394195,-0.0893764721793676,-0.05804347880085305,-0.08875597909663113,-0.06200889823689293,-0.06373215211715899,0.1685915595272155,,,,,,,,,,
A,barotse,1024,98,discrete target NLL (k-means),0.07524398902252594,0.07046421904319046,3.791078168870996,-0.006758581817196657,-0.06240580510273055,-0.0673300827581562,-0.035997089379641654,-0.0439781444460339,0.051572524765753525,0.06926282767684713,0.21885802607109645,,,,,,,,,,
A,barotse,1024,98,"gap-masked residual (3x3 hole, centre)",0.05475566611155802,0.049975896132222544,0.641067148259026,0.013729741093771258,-0.04191748219176263,-0.046841759847188295,-0.015508766468673739,-0.015668842983334524,0.0960552379121665,0.13820659511122235,0.43326218394606963,,,,,,,,,,
A,barotse,1024,98,residual along the decision direction,0.05115924476034191,0.04637947478100643,0.2992698651887622,0.017326162444987372,-0.03832106084054652,-0.04324533849597218,-0.011912345117457625,0.18798843072741578,0.2502743455403762,0.17740539616264928,0.2613343667298476,,,,,,,,,,
A,barotse,1024,98,whitened residual (exp33 form),0.05793536765529367,0.05315559767595819,0.4522952734550927,0.010550039550035611,-0.04509718373549828,-0.05002146139092394,-0.018688468012409386,-0.02793371361132966,0.08015248372791646,0.10141319022244473,0.6075719391495601,,,,,,,,,,
A,barotse,1024,98,combination conf+entropy (prereg),0.08037321832175609,0.07559344834242061,0.5,-0.01188781111642681,-0.06753503440196071,-0.07245931205738636,-0.04112631867887181,,,,,,,,,,,,,,
A,cuando_20,1024,49,confidence (baseline),0.0034888486792538816,0.0023018940301927785,-11.007868766784668,0.0,-0.001014806102845183,0.0009136822816946458,0.005746448130515675,,,,,,,,,,,,,,
A,cuando_20,1024,49,tile-phase (aligned),0.0024740425764086986,0.0012870879273475955,0.044724094290610236,0.001014806102845183,0.0,0.0019284883845398287,0.006761254233360858,,,,,,,,,,,,,,
A,cuando_20,1024,49,boundary indicator,0.004402530960948527,0.0032155763118874242,0.089111328125,-0.0009136822816946458,-0.0019284883845398287,0.0,0.004832765848821029,,,,,,,,,,,,,,
A,cuando_20,1024,49,control NDWI gradient,0.009235296809769557,0.008048342160708453,0.027005727284564577,-0.005746448130515675,-0.006761254233360858,-0.004832765848821029,0.0,,,,,,,,,,,,,,
A,cuando_20,1024,49,constant score,0.0478515625,0.0466646078509389,0.0,-0.04436271382074612,-0.045377519923591306,-0.043449031539051476,-0.038616265690230446,,,,,,,,,,,,,,
A,cuando_20,1024,49,control S2 patch variance,0.01356968040577312,0.012382725756712017,81.56912360161513,-0.010080831726519239,-0.011095637829364421,-0.009167149444824593,-0.004334383596003563,,,,,,,,,,,,,,
A,cuando_20,1024,49,control NDWI level,0.0145981085701191,0.013411153921057996,-0.19716515467440648,-0.011109259890865218,-0.0121240659937104,-0.010195577609170572,-0.005362811760349542,,,,,,,,,,,,,,
A,cuando_20,1024,49,discrete predictive entropy (k-means),0.044288973194754,0.0431020185456929,1.271492088965033,-0.04080012451550012,-0.041814930618345306,-0.039886442233805476,-0.035053676384984446,0.0009540738323438951,0.0456461671196624,0.05798251868607395,0.14300373050926257,,,,,,,,,,
A,cuando_20,1024,49,discrete target NLL (k-means),0.02579124253528998,0.024604287886228877,2.942454596269201,-0.0223023938560361,-0.023317199958881284,-0.021388711574341454,-0.016555945725520424,0.15015617176882912,0.18519906480223158,0.10233695506401544,0.2796104646484514,,,,,,,,,,
A,cuando_20,1024,49,"gap-masked residual (3x3 hole, centre)",0.008160371846812132,0.006973417197751029,0.5224378630227875,-0.004671523167558251,-0.0056863292704034335,-0.003757840885863605,0.0010749249629574244,0.30829964550103706,0.3546137503576282,0.3159093591302482,0.4745561833917458,,,,,,,,,,
A,cuando_20,1024,49,residual along the decision direction,0.020973473663640368,0.019786519014579264,0.29078308425596333,-0.017484624984386486,-0.01849943108723167,-0.01657094270269184,-0.01173817685387081,0.22249678134611256,0.18836717017738358,0.12814556362205848,0.07059573036621129,,,,,,,,,,
A,cuando_20,1024,49,whitened residual (exp33 form),0.010358173663732399,0.009171219014671297,0.36199476942420006,-0.006869324984478518,-0.007884131087323701,-0.0059556427027838725,-0.0011228768539628432,0.2826206995207782,0.4031366229168156,0.35566196981617904,0.5698157991202346,,,,,,,,,,
A,cuando_20,1024,49,combination conf+entropy (prereg),0.011614720666048689,0.010427766016987586,0.5,-0.008125871986794809,-0.009140678089639991,-0.007212189705100162,-0.002379423856279133,,,,,,,,,,,,,,
