part,scope,cue,n_windows,n_errors,n_with_cue,share_errors,share_correct,enrichment,boot_lo,boot_hi,precision
A,pooled,boundary,27648,1844,6766,0.85412147505423,0.2011703611843125,4.245762000057668,3.462786751448531,5.370398217287921,0.23278155483298849
A,Cuando,boundary,,,,0.9748201438848921,0.2712956335003579,,,,
A,Kafue,boundary,,,,0.975609756097561,0.24243466299862448,,,,
A,Luangwa,boundary,,,,0.8653846153846154,0.15329218106995884,,,,
A,Okavango,boundary,,,,0.8162162162162162,0.15587114651887773,,,,
A,Rovuma,boundary,,,,0.9694656488549618,0.25161509690581435,,,,
A,Save,boundary,,,,0.6774193548387096,0.08887381275440977,,,,
A,Shire,boundary,,,,0.7333333333333333,0.25620311598384304,,,,
A,Zambezi,boundary,,,,0.9821428571428571,0.1798780487804878,,,,
A,pooled,low_confidence,27648,1844,5535,0.5683297180043384,0.1738877693380871,3.2683708587884888,2.7340446925454507,3.961272582806274,0.18934056007226738
A,Cuando,low_confidence,,,,0.6690647482014388,0.15354330708661418,,,,
A,Kafue,low_confidence,,,,0.6829268292682927,0.17297111416781294,,,,
A,Luangwa,low_confidence,,,,0.7884615384615384,0.16872427983539096,,,,
A,Okavango,low_confidence,,,,0.43783783783783786,0.18496709386906823,,,,
A,Rovuma,low_confidence,,,,0.8778625954198473,0.17001020061203673,,,,
A,Save,low_confidence,,,,0.6774193548387096,0.18012211668928088,,,,
A,Shire,low_confidence,,,,0.36507936507936506,0.1702250432775534,,,,
A,Zambezi,low_confidence,,,,0.7107142857142857,0.1794425087108014,,,,
A,pooled,unstable,27648,1844,5535,0.7440347071583514,0.16133157649976748,4.611835595367307,3.870796983717609,5.401545485719567,0.24787714543812106
A,Cuando,unstable,,,,0.8237410071942446,0.1381531853972799,,,,
A,Kafue,unstable,,,,0.9390243902439024,0.15852819807427784,,,,
A,Luangwa,unstable,,,,0.8653846153846154,0.1646090534979424,,,,
A,Okavango,unstable,,,,0.7567567567567568,0.1645306546588154,,,,
A,Rovuma,unstable,,,,0.9465648854961832,0.16695001700102005,,,,
A,Save,unstable,,,,0.8870967741935484,0.17130257801899593,,,,
A,Shire,unstable,,,,0.49682539682539684,0.14627813040969417,,,,
A,Zambezi,unstable,,,,0.9178571428571428,0.1710220673635308,,,,
A,pooled,ndwi_ambiguous,27648,1844,1727,0.2017353579175705,0.05251123856766393,3.841755849228774,2.2671204825096454,6.877536425792254,0.2154024319629415
A,Cuando,ndwi_ambiguous,,,,0.13309352517985612,0.009663564781675018,,,,
A,Kafue,ndwi_ambiguous,,,,0.21951219512195122,0.07152682255845942,,,,
A,Luangwa,ndwi_ambiguous,,,,0.09615384615384616,0.09670781893004116,,,,
A,Okavango,ndwi_ambiguous,,,,0.22702702702702704,0.019743678559057846,,,,
A,Rovuma,ndwi_ambiguous,,,,0.33587786259541985,0.10540632437946276,,,,
A,Save,ndwi_ambiguous,,,,0.16129032258064516,0.013229308005427409,,,,
A,Shire,ndwi_ambiguous,,,,0.24603174603174602,0.02971725331794576,,,,
A,Zambezi,ndwi_ambiguous,,,,0.11785714285714285,0.07505807200929152,,,,
A,pooled,dihedral_disagree,27648,1844,5535,0.6523861171366594,0.16788094869012557,3.886004470589649,3.332900285319373,4.5946835306564395,0.21734417344173443
A,Cuando,dihedral_disagree,,,,0.8057553956834532,0.13994273443092342,,,,
A,Kafue,dihedral_disagree,,,,0.7804878048780488,0.1674690508940853,,,,
A,Luangwa,dihedral_disagree,,,,0.8076923076923077,0.16769547325102882,,,,
A,Okavango,dihedral_disagree,,,,0.5297297297297298,0.17907862833391064,,,,
A,Rovuma,dihedral_disagree,,,,0.9236641221374046,0.16797007820469229,,,,
A,Save,dihedral_disagree,,,,0.75,0.17706919945725916,,,,
A,Shire,dihedral_disagree,,,,0.44126984126984126,0.15637622619734565,,,,
A,Zambezi,dihedral_disagree,,,,0.7821428571428571,0.1765389082462253,,,,
B,pooled,boundary,81984,7248,21400,0.7504139072847682,0.21356508242346392,3.5137481219744653,3.241690242284884,3.8103229216890413,0.2541588785046729
B,pooled,low_confidence,81984,7248,16467,0.5889900662251656,0.16321451509312782,3.6086868002462675,3.3771356313918504,3.8530735990050298,0.2592457642557843
B,pooled,unstable,81984,7248,16467,0.5831953642384106,0.16377649325626203,3.560922282820413,3.331344511690767,3.8239202634209506,0.25669520859901623
B,pooled,ndwi_ambiguous,81984,7248,8526,0.4828918322295806,0.06725005352172982,7.18054197642458,6.161691241024011,8.49119313628876,0.41050903119868637
B,pooled,dihedral_disagree,81984,7248,16467,0.5790562913907285,0.16417790622992934,3.5270049709354105,3.286697076734942,3.789383483218724,0.25487338312989616
