part,unit,n_patches,n_errors,signal,aurc,eaurc,mean_value,head_acc,n_tiles_scored,gain_vs_confidence,gain_vs_tile-phase,gain_vs_boundary,gain_vs_control,W/L_vs_confidence,sign_p_vs_confidence,spearman_vs_confidence,W/L_vs_tile-phase,sign_p_vs_tile-phase,spearman_vs_tile-phase,W/L_vs_boundary,sign_p_vs_boundary,spearman_vs_boundary,W/L_vs_control,sign_p_vs_control,spearman_vs_control
B,test (pooled),171861,8119,,,,,0.9527583337697325,483,,,,,,,,,,,,,,,,
B,test (pooled),171861,8119,confidence (baseline),0.010747857695743834,0.009613833394991795,-6.414709447958139,,483,0.0,0.003071379402685835,0.007108319424141193,0.017458000102273125,,,,,,,,,,,,
B,test (pooled),171861,8119,tile-phase (aligned),0.01381923709842967,0.01268521279767763,0.03261959574741517,,483,-0.003071379402685835,0.0,0.004036940021455358,0.01438662069958729,,,,,,,,,,,,
B,test (pooled),171861,8119,boundary indicator,0.017856177119885026,0.016722152819132988,0.069816595969999,,483,-0.007108319424141193,-0.004036940021455358,0.0,0.010349680678131933,,,,,,,,,,,,
B,test (pooled),171861,8119,control NDWI gradient,0.02820585779801696,0.02707183349726492,0.03626096153917458,,483,-0.017458000102273125,-0.01438662069958729,-0.010349680678131933,0.0,,,,,,,,,,,,
B,test (pooled),171861,8119,constant score,0.047241666230267494,0.046107641929515455,0.0,,483,-0.036493808534523664,-0.03342242913183782,-0.029385489110382468,-0.019035808432250535,,,,,,,,,,,,
B,test (pooled),171861,8119,control S2 patch variance,0.032921755895295314,0.031787731594543275,88.82588112769643,,483,-0.02217389819955148,-0.019102518796865645,-0.015065578775410288,-0.004715898097278355,,,,,,,,,,,,
B,test (pooled),171861,8119,control NDWI level,0.012546889037730265,0.011412864736978227,-0.3149492697421822,,483,-0.0017990313419864318,0.0012723480606994034,0.005309288082154761,0.015658968760286694,,,,,,,,,,,,
B,test (pooled),171861,8119,contradiction (pixel-statistics neighbours),0.016070647416889232,0.014936623116137193,0.0830294904021273,,483,-0.005322789721145398,-0.002251410318459563,0.0017855297029957945,0.012135210381127727,215/267,0.020084878581287834,0.5097426313023514,247/228,0.4088891026870762,0.5159707844428236,286/176,3.5018886116356644e-07,0.5322602266361335,354/127,7.821907586788636e-26,0.3266950546708222
B,test (pooled),171861,8119,contradiction (OlmoEarth neighbours),0.018220706807277744,0.017086682506525706,0.10420448792919859,,483,-0.007472849111533911,-0.004401469708848076,-0.000364529687392718,0.009985150990739215,116/365,4.967465021622143e-31,0.6335658460328185,152/329,4.754101800650999e-16,0.5720023334503599,204/273,0.0018191630262488852,0.4324338948848325,296/186,6.18021123525321e-07,0.3657759583844233
B,test (pooled),171861,8119,combination conf+pixel contradiction (secondary),0.014965190095525967,0.013831165794773927,0.5,,483,-0.004217332399782132,-0.0011459529970962966,0.002890987024359061,0.013240667702490994,319/155,3.9512215210637504e-14,0.9700947525155128,346/132,3.596334583429913e-23,0.814609144542773,363/111,2.8031327028641597e-32,0.5459661215681567,425/56,2.934985054724592e-71,0.47132954066582383
B,test/tile2,225,10,confidence (baseline),0.0022380419580464547,0.0011368059206037467,-6.17895282904307,,,0.0,0.0011364575304210673,0.010761451066509858,0.045254652754787815,,,,,,,,,,,,
B,test/tile2,225,10,tile-phase (aligned),0.003374499488467522,0.002273263451024814,0.0442184662910222,,,-0.0011364575304210673,0.0,0.009624993536088792,0.044118195224366746,,,,,,,,,,,,
B,test/tile2,225,10,boundary indicator,0.012999493024556314,0.011898256987113606,0.08333333333333333,,,-0.010761451066509858,-0.009624993536088792,0.0,0.03449320168827795,,,,,,,,,,,,
B,test/tile2,225,10,control NDWI gradient,0.047492694712834266,0.04639145867539156,0.08436938679900864,,,-0.045254652754787815,-0.044118195224366746,-0.03449320168827795,0.0,,,,,,,,,,,,
B,test/tile2,225,10,constant score,0.04444444444444444,0.04334320840700173,0.0,,,-0.04220640248639799,-0.04106994495597692,-0.03144495141988812,0.0030482502683898266,,,,,,,,,,,,
B,test/tile2,225,10,control S2 patch variance,0.08508018246080234,0.08397894642335964,160.41519578903564,,,-0.08284214050275589,-0.08170568297233483,-0.07208068943624603,-0.03758748774796808,,,,,,,,,,,,
B,test/tile2,225,10,control NDWI level,0.0029355458524452996,0.0018343098150025916,-0.3394980739744127,,,-0.0006975038943988448,0.0004389536360222225,0.010063947172111013,0.044557148860388966,,,,,,,,,,,,
B,test/tile2,225,10,contradiction (pixel-statistics neighbours),0.0033560957081129614,0.0022548596706702534,0.060833333333333336,,,-0.0011180537500665067,1.8403780354560653e-05,0.009643397316443352,0.044136599004721305,,,0.6446722563185452,,,0.6460484263218491,,,0.5984973867065244,,,0.26745860472851407
B,test/tile2,225,10,contradiction (OlmoEarth neighbours),0.01387290615724533,0.012771670119802622,0.13319444444444445,,,-0.011634864199198874,-0.010498406668777807,-0.000873413132689016,0.033619788555588934,,,0.7186055496889393,,,0.6684425825550449,,,0.4603349185142333,,,-0.08559929785568313
B,test/tile2,225,10,combination conf+pixel contradiction (secondary),0.0023594025808088203,0.0012581665433661123,0.5,,,-0.00012136062276236559,0.0010150969076587017,0.010640090443747493,0.045133292132025445,,,0.9818302206674964,,,0.888820819853807,,,0.6015839108795729,,,0.1905973953322325
B,test/tile3,225,3,confidence (baseline),0.00021915495582074321,0.0001002829127334535,-7.785182130601671,,,0.0,-0.0001002829127334535,-0.0001002829127334535,0.002002299609917106,,,,,,,,,,,,
B,test/tile3,225,3,tile-phase (aligned),0.00011887204308728971,0.0,0.009568595875707615,,,0.0001002829127334535,0.0,0.0,0.0021025825226505595,,,,,,,,,,,,
B,test/tile3,225,3,boundary indicator,0.00011887204308728971,0.0,0.021111111111111112,,,0.0001002829127334535,0.0,0.0,0.0021025825226505595,,,,,,,,,,,,
B,test/tile3,225,3,control NDWI gradient,0.0022214545657378492,0.0021025825226505595,0.043603620248728214,,,-0.002002299609917106,-0.0021025825226505595,-0.0021025825226505595,0.0,,,,,,,,,,,,
B,test/tile3,225,3,constant score,0.013333333333333334,0.013214461290246044,0.0,,,-0.013114178377512591,-0.013214461290246044,-0.013214461290246044,-0.011111878767595486,,,,,,,,,,,,
B,test/tile3,225,3,control S2 patch variance,0.012209794099954978,0.012090922056867688,117.06402960156326,,,-0.011990639144134235,-0.012090922056867688,-0.012090922056867688,-0.009988339534217128,,,,,,,,,,,,
B,test/tile3,225,3,control NDWI level,0.00011887204308728971,0.0,-0.4905412883542865,,,0.0001002829127334535,0.0,0.0,0.0021025825226505595,,,,,,,,,,,,
B,test/tile3,225,3,contradiction (pixel-statistics neighbours),0.00011887204308728971,0.0,0.006666666666666667,,,0.0001002829127334535,0.0,0.0,0.0021025825226505595,,,0.3178154369250823,,,0.3207594799427136,,,0.7153424261814265,,,0.18938915436845677
B,test/tile3,225,3,contradiction (OlmoEarth neighbours),0.0001590026714532122,4.0130628365922484e-05,0.016944444444444446,,,6.015228436753102e-05,-4.0130628365922484e-05,-4.0130628365922484e-05,0.002062451894284637,,,0.46491206302700855,,,0.4202204999767401,,,0.34766212452691575,,,0.25675592084416315
B,test/tile3,225,3,combination conf+pixel contradiction (secondary),0.00015882230725280052,3.9950264165510805e-05,0.5,,,6.0332648567942696e-05,-3.9950264165510805e-05,-3.9950264165510805e-05,0.002062632258485049,,,0.9999599662874,,,0.893939106616098,,,0.37217778873962565,,,0.11640434049726071
B,test/tile6,225,4,confidence (baseline),0.0003594918112996899,0.00016107514778586644,-9.341740763187408,,,0.0,0.0005754333375421887,0.00038554662207391035,0.0005585602084801014,,,,,,,,,,,,
B,test/tile6,225,4,tile-phase (aligned),0.0009349251488418786,0.0007365084853280552,0.016623326041196075,,,-0.0005754333375421887,0.0,-0.00018988671546827838,-1.6873129062087338e-05,,,,,,,,,,,,
B,test/tile6,225,4,boundary indicator,0.0007450384333736003,0.0005466217698597768,0.035555555555555556,,,-0.00038554662207391035,0.00018988671546827838,0.0,0.00017301358640619104,,,,,,,,,,,,
B,test/tile6,225,4,control NDWI gradient,0.0009180520197797913,0.0007196353562659678,0.03739587372612696,,,-0.0005585602084801014,1.6873129062087338e-05,-0.00017301358640619104,0.0,,,,,,,,,,,,
B,test/tile6,225,4,constant score,0.017777777777777778,0.017579361114263954,0.0,,,-0.017418285966478087,-0.0168428526289359,-0.017032739344404177,-0.016859725757997986,,,,,,,,,,,,
B,test/tile6,225,4,control S2 patch variance,0.004670998613692279,0.004472581950178456,95.82317896536591,,,-0.0043115068023925895,-0.0037360734648504007,-0.003925960180318679,-0.003752946593912488,,,,,,,,,,,,
B,test/tile6,225,4,control NDWI level,0.00044086679068370345,0.00024245012716988,-0.4906528333344162,,,-8.137497938401356e-05,0.0004940583581581751,0.0003041716426898968,0.00047718522909608784,,,,,,,,,,,,
B,test/tile6,225,4,contradiction (pixel-statistics neighbours),0.0005130604149856087,0.0003146437514717852,0.020972222222222222,,,-0.00015356860368591878,0.00042186473385626995,0.00023197801838799158,0.0004049916047941826,,,0.485008977612493,,,0.4783912713565466,,,0.7532656952316051,,,0.4372602437515647
B,test/tile6,225,4,contradiction (OlmoEarth neighbours),0.0006578573890658803,0.00045944072555205684,0.02666666666666667,,,-0.0002983655777661904,0.00027706775977599834,8.718104430771996e-05,0.000260194630713911,,,0.4335920931124293,,,0.3865773760946301,,,0.5234327343033484,,,0.4382827300459593
B,test/tile6,225,4,combination conf+pixel contradiction (secondary),0.000339522473256348,0.00014110580974252454,0.5,,,1.9969338043341906e-05,0.0005954026755855306,0.00040551596011725226,0.0005785295465234433,,,0.9986056671965499,,,0.7730851101376494,,,0.44202991139564113,,,0.5781656016465201
B,test/tile7,225,10,confidence (baseline),0.005073500034765651,0.003972263997322943,-4.062518737581041,,,0.0,0.002160125680040024,-0.002559395482542491,0.027968281683865857,,,,,,,,,,,,
B,test/tile7,225,10,tile-phase (aligned),0.007233625714805675,0.006132389677362967,0.05949502355166866,,,-0.002160125680040024,0.0,-0.004719521162582515,0.025808156003825834,,,,,,,,,,,,
B,test/tile7,225,10,boundary indicator,0.00251410455222316,0.001412868514780452,0.12777777777777777,,,0.002559395482542491,0.004719521162582515,0.0,0.03052767716640835,,,,,,,,,,,,
B,test/tile7,225,10,control NDWI gradient,0.03304178171863151,0.0319405456811888,0.06294961215398057,,,-0.027968281683865857,-0.025808156003825834,-0.03052767716640835,0.0,,,,,,,,,,,,
