arm,split,eaurc control NDWI level,eaurc control S1 level,eaurc probe confidence,miou,pixel_acc,window_acc
v1 our S1 encode,bolivia,0.027212287185454723,0.1221216463546934,0.02137249200592064,0.7385888607613273,0.8759803520824913,0.8801229508196722
v1 our S1 encode,test,0.014374459216754627,0.09048525104158375,0.022069408703906702,0.7791464120569789,0.9046622703651956,0.9096925603429171
v1_2 our S1 encode,bolivia,0.036265887765326965,0.15646045342435266,0.024075564637537104,0.7003477903341706,0.8577619435821463,0.8618998829039812
v1_2 our S1 encode,test,0.014059831796665019,0.07669947129406073,0.019474945904080956,0.795304320364731,0.9116076148117751,0.9162785235471388
their embeddings olmoearth_base,test,,,0.020199028424633555,0.7891593566860378,0.9103476627960047,0.9154823299036944
their embeddings galileo_base,test,,,0.02017490875405495,0.7916417816732537,0.911441410140157,0.9167686555196367
their embeddings croma_base,test,,,0.02297996077075027,0.7871443420191907,0.9092299501384234,0.9151886020071406
their embeddings terramind_base,test,,,0.022749822439812283,0.7822163138905163,0.9076370486009167,0.9134515559982106
their embeddings clay_large,test,,,0.02488994153254207,0.7836061055362558,0.9081327188500281,0.9134853178254008
their embeddings satlas_base,test,,,0.03935699046957718,0.7265049910286989,0.8799747424599792,0.8871207069726613
their embeddings anysat,test,,,0.01989339080346869,0.7765392415710308,0.905422421377144,0.9120757615402145
their embeddings panopticon,test,,,0.02291798560647034,0.777060834461518,0.9053243430680015,0.9113076799716401
