task,model,classes,test_tiles,pixel_miou,window_acc,eaurc probe confidence,eaurc predictive entropy,eaurc control embedding distance,"eaurc boundary first, then confidence",capture5 confidence,capture5 boundary first,boundary_first_5pct_w,boundary_first_5pct_l,boundary_first_5pct_p
mados,olmoearth_base,15,1310,0.6682806466417183,0.9264094167625454,0.007793297491292222,0.007905534230931564,0.042297805193584,0.028168101777594642,0.291040288634997,0.27805171377029464,6,0,0.015625
mados,galileo_base,15,1310,0.658539815075179,0.9291087706876715,0.005080575691545624,0.00496218562741639,0.049548613937053926,0.025211427828940067,0.3714107365792759,0.30081716036772216,4,1,0.1875
mados,croma_base,15,1310,0.6146107210550447,0.9172493140985928,0.006179457287033157,0.005863743743910445,0.06340616773378178,0.03504667881845908,0.32192513368983955,0.23836898395721925,4,0,0.0625
mados,terramind_base,15,1310,0.6519817605799728,0.9385786352774582,0.004806534041894439,0.005020854187427177,0.03748069186958056,0.02112113215514803,0.39121037463976943,0.3173631123919308,7,0,0.0078125
mados,clay_large,15,1310,0.3927970788863703,0.8555181874502168,0.03526748761967062,0.03592021117938882,0.1503908373945192,0.07731419845246708,0.21500765696784074,0.19220381456216065,7,0,0.0078125
mados,anysat,15,1310,0.49920469850154764,0.8228161784228692,0.0525890604499577,0.05352924774091172,0.12415126258950229,0.11594072292664948,0.1446053946053946,0.12437562437562437,2,3,0.8125
pastis_sentinel2,olmoearth_base,19,1984,0.4982313812393665,0.8099437900915318,0.03863929176338316,0.04249154410675572,0.16122794436561125,0.06273726823437568,0.1565500705542235,0.14812014666861098,225,173,0.005242975133945531
pastis_sentinel2,galileo_base,19,1984,0.38380100016421315,0.7656539580235393,0.05389913261166085,0.05885287824111342,0.2023815475153073,0.07931010217025929,0.13373650911797544,0.12697491548358306,270,167,4.7681575977701797e-07
pastis_sentinel2,croma_base,19,1984,0.4424681175856959,0.782024167208125,0.04934489299830899,0.053999427588995036,0.1870568642346726,0.07662044718668666,0.13895890849437842,0.13203989215425915,173,170,0.45701220000080467
pastis_sentinel2,terramind_base,19,1984,0.4030272237436882,0.7723869369742585,0.054027885574749204,0.05941131532553666,0.18895936972051003,0.07918786338468319,0.13676335351367921,0.12965151580385742,204,158,0.008950451358664808
pastis_sentinel2,clay_large,19,1984,0.21508841995925684,0.6727091954875086,0.09376443943051743,0.09896549952833458,0.2812621631277902,0.11785154287024685,0.10367868468036347,0.0995119058044786,263,174,1.2041070267818798e-05
pastis_sentinel2,anysat,19,1984,0.4375876653971207,0.7792834435873173,0.05165488947547126,0.05607106743456985,0.1719053135453624,0.0781968370038866,0.13463533177251577,0.12930306999418098,224,176,0.00933076015867996
m_cashew_plant,olmoearth_base,7,50,0.2611742713871542,0.6527880859374999,0.13078398724443888,0.13349947196102116,0.26641036195073264,0.14396856093908686,0.08854012853506589,0.08862333413023199,34,6,4.182292286714073e-06
m_sa_crop_type,olmoearth_base,10,1000,0.2878136666867046,0.65996728515625,0.06718643256650826,0.07068304035501431,0.27606719238284405,0.0982351875227268,0.1069268955336616,0.10465473561169443,647,196,2.722987699608634e-57
pastis_sentinel1_sentinel2,olmoearth_base,19,1984,0.47582928391916574,0.8051600608758978,0.03944887168860667,0.043662059502448884,0.16454466784158261,0.0637063376929399,0.1546312149595461,0.14619845870620318,216,150,0.00032978644079179547
