task,event,capture5 boundary first,capture5 confidence,controls beating confidence,eaurc averaged confidence,"eaurc boundary first, then confidence",eaurc boundary indicator,eaurc control NDWI level,eaurc control S1 level,eaurc tile-phase,n_chips,n_chips_scored,n_errors,n_windows,primary control,primary sign_p per chip,s2_b02_p01,scorable,window_acc
A,EMSR162-1,1.0,1.0,,1.9379704340086294e-05,1.9379704340086294e-05,3.891191082712887e-05,3.888110286895223e-05,0.001101481268480225,1.9379704340086294e-05,2,0,1,322,control NDWI level,1.0,142.0,False,0.9968944099378882
A,EMSR162-2,0.0,0.0,,0.0004737650842916766,0.0004737650842916766,0.002096426806016524,0.0005700467959920032,0.00022355577710580506,0.0005527320907161857,3,0,1,476,control NDWI level,1.0,110.0,False,0.9978991596638656
A,EMSR162-3,1.0,1.0,,0.00015274964023698938,0.00015274964023698938,0.005082501057210816,0.0003673721172140304,0.006494621516280074,0.00019324930287254046,2,0,2,392,control NDWI level,1.0,92.0,False,0.9948979591836735
A,EMSR162-4,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,700,control NDWI level,1.0,140.0,False,1.0
A,EMSR187-1,0.7282608695652174,0.7010869565217391,"boundary first, then confidence",0.00031129002819269756,0.0002933709724050628,0.001417941908480942,0.002918016685530689,0.005227350251530037,0.0003477904984010599,217,12,184,41708,control NDWI level,0.003173828125,1.0,True,0.99558837633068
A,EMSR192-1,0.9518072289156626,0.9518072289156626,"boundary first, then confidence",0.00010295576175401202,6.788587967524186e-05,0.0007772092840437078,0.005058490622993514,0.006466275070075209,0.00012312042965233845,56,6,83,10848,control NDWI level,0.109375,1.0,True,0.992348820058997
A,EMSR192-10,0.8992248062015504,0.7984496124031008,"boundary first, then confidence",0.0006390966297786225,0.0005367298990290206,0.0014372036313890894,0.009006875336246582,0.013752299759932281,0.0006513460672148557,55,10,129,10220,control NDWI level,0.0546875,1.0,True,0.9873776908023484
A,EMSR192-11,0.8091603053435115,0.8091603053435115,"boundary first, then confidence",0.0004806555429089571,0.0004685138032917406,0.003288330345089376,0.015059711874039311,0.009923738450746325,0.0005044399123095119,52,9,131,9757,control NDWI level,0.001953125,1.0,True,0.9865737419288716
A,EMSR192-12,1.0,1.0,"tile-phase;boundary first, then confidence",6.636961230507256e-06,4.5803328912037555e-06,0.00011248887259256632,0.001064214359087941,0.0023289353683245933,5.796463772602173e-06,49,3,21,9422,control NDWI level,0.125,1.0,True,0.9977711738484398
A,EMSR192-13,0.7212121212121212,0.6424242424242425,"tile-phase;boundary first, then confidence",0.0014592431873449462,0.001147205243640884,0.0032583724909203424,0.010980330345994294,0.018337959370747697,0.0014400292806139006,47,11,165,9212,control NDWI level,0.00048828125,1.0,True,0.9820885801128962
