pair,testbed,n_windows,n_disagree,rate,per_group_median_rate,enrichment boundary,enrichment low_confidence,enrichment unstable,enrichment ndwi_ambiguous,share_a_right,share_b_right,share_neither,accuracy_a,accuracy_b,errors_phi,share_a_errors_corrected_by_b,broken_by_b,stability_across_draws_median_phi
geoid S2 head vs S1 head,GEOID-Flood pooled,870728,29392,0.03375566192886872,0.01355713363460297,10.091800894943313,3.0347560577659283,2.9335392470079302,6.560920169407447,,,,,,0.5846438319931127,,,
offsets 0 vs 1,bolivia,71373,2072,0.029030585795749093,0.025510204081632654,4.093997896116438,5.538446733310781,5.611798511125654,3.273060094886663,0.42712355212355213,0.5728764478764479,0.0,0.9113810544603702,0.9156123464055035,0.8166128355983394,0.18766798418972333,885,
offsets 0 vs 2,bolivia,71373,2458,0.03443879338125061,0.02631578947368421,4.220384486219945,5.429696703770429,5.774626979861315,3.412136439307496,0.38974776240846215,0.6102522375915378,0.0,0.9113810544603702,0.9189749625208412,0.7791518115897372,0.23715415019762845,958,0.5912265732319967
offsets 0 vs 3,bolivia,71373,2180,0.030543763047651072,0.025510204081632654,4.129756522514838,5.486875932337283,5.6589518642065535,3.2662361106576556,0.4073394495412844,0.5926605504587156,0.0,0.9113810544603702,0.917041458254522,0.8058223312746167,0.2042687747035573,888,
offsets 0 vs 1,test,149684,3402,0.022727880067341867,0.015306122448979591,5.2181750960525015,5.489039298068645,5.5127944224609005,3.835970630104143,0.5379188712522046,0.4620811287477954,0.0,0.9527872050452955,0.9510635739290773,0.7518181807107542,0.22244233762558369,1830,
offsets 0 vs 2,test,149684,3852,0.025734213409582856,0.015306122448979591,5.356832644128532,5.4975673699896435,5.59064596511405,3.915444008405264,0.4984423676012461,0.5015576323987538,0.0,0.9527872050452955,0.9528673739344219,0.713730263599205,0.273383330974954,1920,0.6933053271967434
offsets 0 vs 3,test,149684,3481,0.023255658587424174,0.015306122448979591,5.230732198608384,5.4921622112105135,5.526270033262776,3.87992103983042,0.5176673369721344,0.48233266302786554,0.0,0.9527872050452955,0.9519654739317496,0.7436614243527696,0.23758313287109098,1802,
backbones,bolivia,71373,2850,0.03993106636963557,0.02937624018635148,3.7216770834573425,5.432630403731761,4.903125224717356,4.2353064349678755,0.5533333333333333,0.44666666666666666,0.0,0.9174057416670169,0.9131464279209225,0.742827492346046,0.21594571670907547,1577,0.6378913717603039
backbones,test,149684,2971,0.019848480799551056,0.01020408163265306,5.307919682419225,5.424406705815443,5.361492838474195,4.456217540799361,0.47391450690003367,0.5260854930999663,0.0,0.9553726517196227,0.9564081665375057,0.7646864224933319,0.2339820359281437,1408,0.6537598583352909
sensors,bolivia,71373,7761,0.10873859862973394,0.0663265306122449,3.3132648452891362,4.158768825852926,3.7806149260915163,4.449261770053657,0.6733668341708543,0.32663316582914576,0.0,0.9174057416670169,0.8797024084737927,0.4147615459528165,0.4300254452926209,5226,0.7547326062003359
sensors,test,149684,12535,0.08374308543331284,0.03216005503324926,3.954723387727961,4.058451420512194,3.8531704830809774,4.567189356638898,0.8422018348623853,0.1577981651376147,0.0,0.9553726517196227,0.8980585767349883,0.429979202792044,0.2961077844311377,10557,0.855313635406844
finetune,bolivia,71373,5114,0.07165174505765486,0.038783841856467556,3.7642102496513927,5.270917050064097,4.526593535062915,8.27040317759489,0.24540477121626905,0.754595228783731,0.0,0.9174057416670169,0.9538901265184313,0.42816159529593845,0.6546225614927905,1255,
finetune,test,149684,4019,0.02684989711659229,0.01020408163265306,5.293750809464976,5.420886750992459,5.294875755688217,5.3983302975423255,0.29086837521771586,0.7091316247822842,0.0,0.9553726517196227,0.966602976938083,0.6495233749363705,0.42664670658682635,1169,
encoders olmoearth_base vs galileo_base,their test split,563969,16588,0.029412964187747907,0.007936507936507936,6.1767214756803,5.32534842860025,,4.109992874038598,0.47480106100795755,0.5251989389920424,0.0,0.9128817364074976,0.914364087387782,0.813681237199586,0.17731824472848653,7876,
encoders olmoearth_base vs croma_base,their test split,563969,17032,0.030200241502635783,0.01171875,6.075922941903729,5.291131003646435,,4.251438094578569,0.5044621888210428,0.49553781117895723,0.0,0.9128817364074976,0.9126122180474459,0.8103963127149822,0.17178213791419034,8592,
encoders olmoearth_base vs terramind_base,their test split,563969,15838,0.028083103858545417,0.0078125,6.619796628522403,5.363277170228708,,3.8849434287635716,0.5373784568758682,0.46262154312413184,0.0,0.9128817364074976,0.9107823302344632,0.825414369577224,0.1491288773101034,8511,
encoders olmoearth_base vs clay_large,their test split,563969,17363,0.030787153194590484,0.01171875,6.3290584848958975,5.360792622089369,,3.979695407563254,0.5333179750043195,0.46668202499568046,0.0,0.9128817364074976,0.9108302052063145,0.8085455944927823,0.16492306439794838,9260,
encoders olmoearth_base vs satlas_base,their test split,563969,39731,0.07044890765272559,0.02734375,7.097462837210987,4.6535034377466715,,3.8298975246164244,0.7101255946238454,0.28987440537615466,0.0,0.9128817364074976,0.883275499185239,0.6242712894661989,0.2344093462509159,28214,
encoders olmoearth_base vs anysat,their test split,563969,19505,0.0345852342947928,0.01171875,6.2081252470480965,5.374407129081973,,4.151474713869663,0.5491925147398103,0.4508074852601897,0.0,0.9128817364074976,0.9094790671118448,0.7865094706007251,0.17896686477244972,10712,
encoders olmoearth_base vs panopticon,their test split,563969,19060,0.03379618383279932,0.01171875,6.052242439539188,5.333078603541932,,3.913183822256143,0.5615424973767051,0.43845750262329486,0.0,0.9128817364074976,0.9087219332977522,0.7922733561679265,0.17009281120247496,10703,
