pair,testbed,n_disagree,groups_tested,resolution_share_right,resolution_rank_normalised,always_a,always_b,resolution_groups_w,resolution_groups_l,resolution_sign_p,capture_20,capture_50,share_errors_a_in_set,targeting_groups_w,targeting_groups_l,targeting_sign_p,flooded_all,flooded_both_confident,change_ratio,change_events_w,change_events_l,change_sign_p
geoid S2 head vs S1 head,GEOID-Flood pooled,29392,41,0.45454545454545453,0.4948965704953729,0.4016739248775177,0.5983260751224823,27,14,0.029791944009048166,0.21318093938360058,0.5657909700898442,0.5983260751224823,28,12,0.008294501687487355,0.26935900925421885,0.5163893921923901,1.9171045870050183,16,9,0.11476147174835205
offsets,bolivia,2458,280,0.5134255492270138,0.5512611879576892,0.38974776240846215,0.6102522375915378,148,116,0.028097921866744573,0.20666666666666667,0.5213333333333333,0.6102522375915378,117,101,0.15482936842052497,,,,,,
offsets,test,3852,397,0.582294911734164,0.5989096573208723,0.4984423676012461,0.5015576323987538,250,109,3.54175754554883e-14,0.244824016563147,0.5678053830227743,0.5015576323987538,208,107,6.6583855272578276e-09,,,,,,
backbones,bolivia,2850,279,0.5596491228070175,0.5607017543859649,0.5533333333333333,0.44666666666666666,151,92,9.295325474151578e-05,0.22780832678711704,0.565593087195601,0.44666666666666666,109,112,0.6060252871478825,,,,,,
backbones,test,2971,339,0.5772467182766745,0.5772467182766745,0.47391450690003367,0.5260854930999663,191,106,4.6420436442969917e-07,0.23032629558541268,0.5438259756877799,0.5260854930999663,166,103,7.350215099960269e-05,,,,,,
sensors,bolivia,7761,318,0.6821285916763303,0.6357428166473392,0.6733668341708543,0.32663316582914576,254,47,8.146807923903009e-36,0.32504930966469425,0.73767258382643,0.32663316582914576,192,83,2.0652251178705445e-11,,,,,,
sensors,test,12535,487,0.6980454726765057,0.6280813721579577,0.8422018348623853,0.1577981651376147,374,92,1.1308223590104518e-41,0.5283114256825076,0.9226491405460061,0.1577981651376147,297,163,2.124984392507946e-10,,,,,,
finetune,bolivia,5141,292,0.6134993191985995,0.6064967905076833,0.24742268041237114,0.7525773195876289,191,80,6.1119080982414666e-12,0.2132333936417679,0.5205479452054794,0.7525773195876289,153,80,9.97034589795342e-07,,,,,,
finetune,test,4068,344,0.5511307767944936,0.5641592920353983,0.2809734513274336,0.7190265486725663,202,105,1.6589767337574744e-08,0.2041025641025641,0.5008547008547009,0.7190265486725663,151,105,0.0024094567844961633,,,,,,
encoders olmoearth_base vs galileo_base,their test split,16588,1113,0.5406920665541355,0.5407523510971787,0.47480106100795755,0.5251989389920424,633,351,9.412018831462301e-20,0.21877869605142333,0.5215794306703397,0.5251989389920424,501,370,5.104451541866206e-06,,,,,,
encoders olmoearth_base vs croma_base,their test split,17034,1140,0.5511917341787014,0.5508982035928144,0.504579077139838,0.49542092286016204,693,354,2.8464222317325073e-26,0.22313070268989216,0.5344235098945372,0.49542092286016204,556,371,6.683149431788502e-10,,,,,,
encoders olmoearth_base vs terramind_base,their test split,15853,1096,0.5437456632813978,0.5442502996278307,0.5372484703210749,0.46275152967892513,644,346,9.38255188024442e-22,0.22723555070883314,0.5467557251908397,0.46275152967892513,500,358,7.030824290053323e-07,,,,,,
encoders olmoearth_base vs clay_large,their test split,17363,1160,0.5590047802799055,0.5605598110925532,0.5333179750043195,0.46668202499568046,708,344,6.061431376776082e-30,0.23374058990497346,0.5559669258299396,0.46668202499568046,580,375,1.721915885396069e-11,,,,,,
encoders olmoearth_base vs satlas_base,their test split,39731,1375,0.6161183962145428,0.5959326470514208,0.7101255946238454,0.28987440537615466,978,348,7.803949411174706e-70,0.32508465746288095,0.7151167838846922,0.28987440537615466,939,334,3.6828763313767165e-67,,,,,,
encoders olmoearth_base vs anysat,their test split,19505,1198,0.5468854139964112,0.548115867726224,0.5491925147398103,0.4508074852601897,728,375,5.5865068880838366e-27,0.23450471966336858,0.5530535653360628,0.4508074852601897,601,379,6.732044554901361e-13,,,,,,
encoders olmoearth_base vs panopticon,their test split,19060,1180,0.5614375655823715,0.5628016789087094,0.5615424973767051,0.43845750262329486,716,363,1.4774165364285501e-27,0.24099557257389015,0.570898647840134,0.43845750262329486,599,374,2.7402015669049954e-13,,,,,,
