event,n_residue,n_residue_observed,gsw_water_share,floodmask_share,gsw_sides_with_s1_sensor_only,month
EMSR162-1,2,2,1.0,0.0,0.6,2016-03
EMSR162-2,0,0,nan,nan,nan,2016-03
EMSR162-3,0,0,nan,nan,nan,2016-03
EMSR162-4,0,0,nan,nan,nan,2016-03
EMSR187-1,890,885,0.0022598870056497176,0.0,0.07158119658119658,2015-10
EMSR192-1,180,0,nan,0.005555555555555556,nan,"2015-11,2015-12"
EMSR192-10,67,0,nan,0.04477611940298507,nan,2015-11
EMSR192-11,263,0,nan,0.0038022813688212928,nan,2015-11
EMSR192-12,27,0,nan,0.0,nan,2015-11
EMSR192-13,746,0,nan,0.0013404825737265416,nan,2015-11
EMSR192-14,47,0,nan,0.0,nan,2015-11
EMSR192-15,395,0,nan,0.0,nan,2015-11
EMSR192-16,7,0,nan,0.2857142857142857,nan,2015-11
EMSR192-19,0,0,nan,nan,nan,2015-12
EMSR192-2,54,0,nan,0.0,nan,2015-12
EMSR192-20,0,0,nan,nan,nan,2015-12
EMSR192-21,0,0,nan,nan,nan,2015-12
EMSR192-22,0,0,nan,nan,nan,2015-12
EMSR192-24,0,0,nan,nan,nan,2015-11
EMSR192-29,1,0,nan,0.0,nan,2015-12
EMSR192-3,17,0,nan,0.0,nan,"2015-11,2015-12"
EMSR192-30,0,0,nan,nan,nan,2015-12
EMSR192-31,4,0,nan,0.0,nan,2015-12
EMSR192-32,0,0,nan,nan,nan,2015-12
EMSR192-33,0,0,nan,nan,nan,2015-12
EMSR192-4,51,0,nan,0.0,nan,2015-11
EMSR192-5,29,0,nan,0.0,nan,2015-11
EMSR192-6,34,0,nan,0.14705882352941177,nan,2015-11
EMSR192-7,49,0,nan,0.0,nan,"2015-11,2015-12"
EMSR192-8,4,0,nan,0.0,nan,2015-11
EMSR192-9,25,0,nan,0.0,nan,2015-11
EMSR199-9,184,178,0.09550561797752809,0.8967391304347826,0.5463917525773195,2016-09
EMSR215-1,19,19,0.05263157894736842,0.0,0.7358490566037735,2017-07
EMSR238-1,8,8,0.625,0.0,0.6666666666666666,2016-09
EMSR238-2,37,37,1.0,0.0,0.046511627906976744,2016-09
EMSR238-3,4,4,0.0,0.0,0.0,2016-09
EMSR238-4,1,1,0.0,0.0,nan,2016-09
EMSR258-14,0,0,nan,nan,1.0,2017-08
EMSR261-1,2179,1987,0.0025163563160543532,0.0,0.13189236876929863,2017-04
EMSR261-2,191,30,0.0,0.0,0.15,2017-06
EMSR261-3,2227,2220,0.002702702702702703,0.000898069151324652,0.07676261994159365,2017-03
EMSR273-1,14,14,1.0,0.5,0.3793103448275862,2017-03
EMSR273-2,17,17,0.29411764705882354,0.29411764705882354,0.76,2017-03
EMSR273-3,49,47,0.723404255319149,0.5102040816326531,0.6854460093896714,2017-03
EMSR273-4,50,50,0.32,0.0,0.8434782608695652,2017-03
EMSR273-5,13,13,0.38461538461538464,0.6923076923076923,0.7142857142857143,2017-03
EMSR275-1,982,982,0.07128309572301425,0.03665987780040733,0.3339253996447602,2017-07
EMSR275-2,935,935,0.053475935828877004,0.034224598930481284,0.25979557069846676,2017-07
EMSR275-3,87,87,0.034482758620689655,0.0,0.6127167630057804,2017-07
EMSR279-1,167,166,0.006024096385542169,0.0,0.3180428134556575,2017-10
EMSR279-10,227,227,0.03524229074889868,0.0,0.256797583081571,2017-04
EMSR279-11,222,219,0.684931506849315,0.0,0.970034202868957,2017-09
EMSR279-2,231,229,0.021834061135371178,0.004329004329004329,0.22137404580152673,2017-10
EMSR279-3,5442,5441,0.0003675794890645102,0.0011025358324145535,0.026100852272727272,2017-04
EMSR279-4,21,21,0.09523809523809523,0.0,0.7872340425531915,2017-08
