task,pair,n_windows,n_disagree,rate,tile_median_rate,boundary_enrichment,low_margin_enrichment,entropy_enrichment,share_a_right,share_b_right,errors_phi,accuracy_a,accuracy_b
mados,olmoearth_base vs galileo_base,22598,1713,0.07580316842198424,0.0,4.836658264689137,5.23067543043203,5.26378801100086,0.4296555750145943,0.4652656158785756,0.494028600202701,0.9264094167625454,0.9291087706876715
mados,olmoearth_base vs croma_base,22598,1520,0.06726258960969997,0.0,5.494513406156901,5.3596787213432355,5.353782743427105,0.5328947368421053,0.38092105263157894,0.5777329761052122,0.9264094167625454,0.9161872732100186
mados,olmoearth_base vs terramind_base,22598,1409,0.06235065050004425,0.0,5.135037823053887,4.936176633692935,4.918583120756716,0.376153300212917,0.5713271823988645,0.533533323742928,0.9264094167625454,0.9385786352774582
mados,olmoearth_base vs clay_large,22598,3439,0.1521816089919462,0.0,3.4697178392331516,4.069545039402548,4.102878028874238,0.6525152660657167,0.18668217505088688,0.37635287348752994,0.9264094167625454,0.8555181874502168
mados,olmoearth_base vs anysat,22598,3022,0.1337286485529693,0.0,6.22196123737422,5.981655096666995,5.90786796431359,0.8636664460622104,0.08901389808074123,0.48796344097147676,0.9264094167625454,0.8228161784228692
mados,draw 0 vs draw 1,22598,69,0.003053367554650854,0.0,4.9680573781455495,5.061559200179735,5.061559200179735,0.4782608695652174,0.4782608695652174,0.9785800363378846,0.9264094167625454,0.9264094167625454
pastis_sentinel2,olmoearth_base vs galileo_base,458638,62492,0.13625560899881825,0.12195121951219512,1.7928810626141756,4.7497063536562605,3.7787804419964535,0.5596396338731358,0.2348940664405044,0.6830990341554722,0.8099437900915318,0.7656953850313319
pastis_sentinel2,olmoearth_base vs croma_base,458638,61785,0.13471408823516587,0.1187214611872146,1.8392723262598705,4.939610346717291,3.903773401850342,0.5000890183701545,0.29332362223840736,0.6737412501868424,0.8099437900915318,0.7820895782730607
pastis_sentinel2,olmoearth_base vs terramind_base,458638,62665,0.13663281280661438,0.12195121951219512,1.7948637135156549,4.792159136103514,3.806166926943098,0.5328971515199873,0.2584217665363441,0.6778300206585016,0.8099437900915318,0.7724414461950384
pastis_sentinel2,olmoearth_base vs clay_large,458638,116397,0.2537883908441952,0.23949579831932774,1.7511976797853566,3.336197591470846,3.3543618627255354,0.6789436153852763,0.14028712080208253,0.501844032883741,0.8099437900915318,0.6732390251134882
pastis_sentinel2,olmoearth_base vs anysat,458638,63674,0.1388328049572866,0.1220472440944882,1.776537398929473,4.742811046989022,3.6814010185520707,0.5125482928667903,0.29172032540754467,0.6613194849310151,0.8099437900915318,0.7792856239561484
pastis_sentinel2,draw 0 vs draw 1,458638,773,0.0016854251065110174,0.0,1.7444157089319838,5.033972843713924,3.4749633750201743,0.351875808538163,0.4036222509702458,0.9958633579117773,0.8099437900915318,0.8100310048447795
pastis_sentinel2,S2 vs S1+S2,458638,27495,0.059949241013609864,0.05078125,1.7884595191632768,5.786416190982071,3.8341381562298937,0.43106019276232044,0.3513729769048918,0.8491942681641401,0.8099437900915318,0.8051666019823913
