card,source,grid,n_valid,n_errors,review_slots_at_budget,error_rate,has_second,attainable_capture_ceiling,package_capture_at_budget,package_share_of_ceiling
geoid_single_EMSR273-3,GEOID-Flood via exp60,14x14,196,28,10,0.14285714285714285,False,0.35714285714285715,0.17857142857142858,0.5
geoid_single_EMSR192-13,GEOID-Flood via exp60,14x14,196,15,10,0.07653061224489796,False,0.6666666666666666,0.2,0.30000000000000004
geoid_single_EMSR192-7,GEOID-Flood via exp60,14x14,196,34,10,0.17346938775510204,False,0.29411764705882354,0.11764705882352941,0.39999999999999997
geoid_single_EMSR261-1,GEOID-Flood via exp60,14x14,196,15,10,0.07653061224489796,False,0.6666666666666666,0.5333333333333333,0.8
geoid_single_EMSR192-6,GEOID-Flood via exp60,14x14,196,15,10,0.07653061224489796,False,0.6666666666666666,0.3333333333333333,0.5
geoid_single_EMSR192-10,GEOID-Flood via exp60,14x14,196,18,10,0.09183673469387756,False,0.5555555555555556,0.16666666666666666,0.3
geoid_single_EMSR279-3,GEOID-Flood via exp60,14x14,196,17,10,0.08673469387755102,False,0.5882352941176471,0.47058823529411764,0.7999999999999999
geoid_single_EMSR279-2,GEOID-Flood via exp60,14x14,196,26,10,0.1326530612244898,False,0.38461538461538464,0.15384615384615385,0.4
geoid_single_EMSR192-2,GEOID-Flood via exp60,14x14,196,29,10,0.14795918367346939,False,0.3448275862068966,0.13793103448275862,0.39999999999999997
geoid_single_EMSR273-4,GEOID-Flood via exp60,14x14,196,23,10,0.11734693877551021,False,0.43478260869565216,0.30434782608695654,0.7000000000000001
geoid_pair_0_EMSR279-11,GEOID-Flood via exp60,14x14,196,29,10,0.14795918367346939,True,0.3448275862068966,0.13793103448275862,0.39999999999999997
geoid_pair_0_EMSR279-1,GEOID-Flood via exp60,14x14,196,18,10,0.09183673469387756,True,0.5555555555555556,0.2222222222222222,0.39999999999999997
geoid_pair_0_EMSR192-9,GEOID-Flood via exp60,14x14,196,21,10,0.10714285714285714,True,0.47619047619047616,0.19047619047619047,0.4
geoid_pair_0_EMSR192-30,GEOID-Flood via exp60,14x14,196,17,10,0.08673469387755102,True,0.5882352941176471,0.4117647058823529,0.7
geoid_pair_0_EMSR192-11,GEOID-Flood via exp60,14x14,196,21,10,0.10714285714285714,True,0.47619047619047616,0.19047619047619047,0.4
geoid_pair_1_EMSR192-16,GEOID-Flood via exp60,14x14,196,30,10,0.15306122448979592,True,0.3333333333333333,0.16666666666666666,0.5
geoid_pair_1_EMSR199-9,GEOID-Flood via exp60,14x14,196,28,10,0.14285714285714285,True,0.35714285714285715,0.10714285714285714,0.3
geoid_pair_1_EMSR192-3,GEOID-Flood via exp60,14x14,196,17,10,0.08673469387755102,True,0.5882352941176471,0.29411764705882354,0.5
geoid_pair_1_EMSR261-2,GEOID-Flood via exp60,14x14,196,28,10,0.14285714285714285,True,0.35714285714285715,0.07142857142857142,0.19999999999999998
geoid_pair_1_EMSR238-2,GEOID-Flood via exp60,14x14,196,40,10,0.20408163265306123,True,0.25,0.125,0.5
sen1_bolivia_0226,Sen1Floods11 Bolivia hand labels via exp18,15x15,187,51,9,0.2727272727272727,False,0.17647058823529413,0.11764705882352941,0.6666666666666666
sen1_bolivia_0229,Sen1Floods11 Bolivia hand labels via exp18,15x15,225,24,11,0.10666666666666667,False,0.4583333333333333,0.25,0.5454545454545455
sen1_bolivia_0210,Sen1Floods11 Bolivia hand labels via exp18,15x15,225,64,11,0.28444444444444444,False,0.171875,0.125,0.7272727272727273
sen1_bolivia_0133,Sen1Floods11 Bolivia hand labels via exp18,15x15,225,16,11,0.07111111111111111,False,0.6875,0.375,0.5454545454545454
sen1_bolivia_0117,Sen1Floods11 Bolivia hand labels via exp18,15x15,225,30,11,0.13333333333333333,False,0.36666666666666664,0.23333333333333334,0.6363636363636365
sen1_bolivia_0062,Sen1Floods11 Bolivia hand labels via exp18,15x15,108,18,5,0.16666666666666666,False,0.2777777777777778,0.2222222222222222,0.7999999999999999
sen1_bolivia_0298,Sen1Floods11 Bolivia hand labels via exp18,15x15,158,28,8,0.17721518987341772,False,0.2857142857142857,0.10714285714285714,0.375
sen1_bolivia_0183,Sen1Floods11 Bolivia hand labels via exp18,15x15,225,16,11,0.07111111111111111,False,0.6875,0.375,0.5454545454545454
sen1_bolivia_0218,Sen1Floods11 Bolivia hand labels via exp18,15x15,225,60,11,0.26666666666666666,False,0.18333333333333332,0.11666666666666667,0.6363636363636365
sen1_bolivia_0184,Sen1Floods11 Bolivia hand labels via exp18,15x15,225,20,11,0.08888888888888889,False,0.55,0.15,0.2727272727272727
sen1_test_0162,Sen1Floods11 multi-region test split via exp18,15x15,225,17,11,0.07555555555555556,False,0.6470588235294118,0.29411764705882354,0.45454545454545453
sen1_test_0307,Sen1Floods11 multi-region test split via exp18,15x15,225,24,11,0.10666666666666667,False,0.4583333333333333,0.20833333333333334,0.4545454545454546
sen1_test_0060,Sen1Floods11 multi-region test split via exp18,15x15,225,17,11,0.07555555555555556,False,0.6470588235294118,0.5294117647058824,0.8181818181818181
sen1_test_0141,Sen1Floods11 multi-region test split via exp18,15x15,225,26,11,0.11555555555555555,False,0.4230769230769231,0.2692307692307692,0.6363636363636364
sen1_test_0326,Sen1Floods11 multi-region test split via exp18,15x15,225,18,11,0.08,False,0.6111111111111112,0.3333333333333333,0.5454545454545454
sen1_test_0572,Sen1Floods11 multi-region test split via exp18,15x15,201,16,10,0.07960199004975124,False,0.625,0.25,0.4
sen1_test_0562,Sen1Floods11 multi-region test split via exp18,15x15,225,27,11,0.12,False,0.4074074074074074,0.14814814814814814,0.36363636363636365
sen1_test_0718,Sen1Floods11 multi-region test split via exp18,15x15,225,30,11,0.13333333333333333,False,0.36666666666666664,0.23333333333333334,0.6363636363636365
sen1_test_0148,Sen1Floods11 multi-region test split via exp18,15x15,225,27,11,0.12,False,0.4074074074074074,0.25925925925925924,0.6363636363636364
sen1_test_0185,Sen1Floods11 multi-region test split via exp18,15x15,225,31,11,0.13777777777777778,False,0.3548387096774194,0.16129032258064516,0.45454545454545453
