fit,pair,testbed,held_out,baseline,gain,tiles_w,tiles_l,sign_p,train_fit_applied
ranker,v1 S2 head,bolivia,0.008373341219391487,0.010500746913433601,0.0021274056940421143,263,69,4.064985235419094e-28,
ranker,v1 S2 head,test,0.006892889732939661,0.009827431141912285,0.0029345414089726237,318,134,1.2613775763357595e-18,
side,offsets,bolivia,0.75793327908869,0.5134255492270138,0.24450772986167624,186,57,1.8800115248087374e-17,0.6354759967453214
side,offsets,test,0.6902907580477674,0.582294911734164,0.10799584631360337,230,107,9.067652503906316e-12,0.6806853582554517
side,backbones,bolivia,0.771578947368421,0.5596491228070175,0.21192982456140352,188,63,6.26194868198802e-16,0.6964912280701754
side,backbones,test,0.6539885560417368,0.5772467182766745,0.07674183776506227,167,91,1.2902069264483198e-06,0.6523056210030292
side,sensors,bolivia,0.7965468367478418,0.6821285916763303,0.11441824507151144,176,87,2.1591010062452697e-08,0.7252931323283082
side,sensors,test,0.8602313522138013,0.6980454726765057,0.16218587953729557,301,87,5.161324203587001e-29,0.8635819704826486
side,finetune,bolivia,0.7488665483934556,0.6108811354228267,0.13798541297062883,176,73,2.7255079788437138e-11,0.355016755371575
side,finetune,test,0.7282204020848846,0.5544800198560437,0.17374038222884092,204,97,3.3264850741684664e-10,0.5328865723504592
transfer,frozen rule -> finetune,bolivia,0.43820224719101125,0.6108811354228267,-0.17267888823181549,,,,
transfer,frozen rule -> finetune,test,0.49193348225366096,0.5544800198560437,-0.06254653760238271,,,,
