kind,arm,reference,n_windows,accuracy,eaurc margin,eaurc entropy,eaurc control NDWI level,eaurc cross-arm disagreement,"eaurc boundary first, then margin",lead over control,control p,lead boundary-first,capture5 margin,n_disagree,rate,boundary_enrichment,low_margin_enrichment,share_a_right,share_b_right,errors_phi
rank,s2,dfc,4320000,0.7163083333333333,0.036879085682992724,0.035402904902248816,0.194520132157006,0.09453580563735814,0.08218060176592387,0.15764104647401328,5.258688210515261e-218,0.04530151608293115,0.12817613018829127,,,,,,,
rank,s2,lc,3653901,0.6715088887192072,0.04660107579390478,0.04605239976966659,0.1907151200312593,0.12541608991059144,0.12316517155219754,0.14411404423735452,2.193070352361286e-87,0.07656409575829276,0.11726239175388287,,,,,,,
rank,s1,dfc,4320000,0.5692180555555555,0.07822071937870376,0.08556704209902652,0.2516633323531404,0.07608260633814554,0.19803394252728496,0.17344261297443667,5.092280247357234e-76,0.1198132231485812,0.08791855680185365,,,,,,,
rank,s1,lc,3653901,0.5742301173458175,0.07058610328092657,0.07843492260140708,0.26080576463945115,0.10679765315837905,0.20572659911966268,0.19021966135852458,2.8066910534684843e-40,0.1351404958387361,0.09042366851125619,,,,,,,
rank,s1s2,dfc,4320000,0.7250634259259259,0.03731349190298001,0.03681505984787498,0.19304627565522128,0.09777186901633025,0.07820941699013065,0.15573278375224128,1.5426334680739642e-178,0.04089592508715064,0.12762034341253792,,,,,,,
rank,s1s2,lc,3653901,0.661056224566566,0.04667095712430751,0.04630339899782124,0.20382093999256534,0.12362561398611414,0.12888936957410863,0.15714998286825782,4.1529025413459106e-82,0.08221841244980112,0.11272968920447618,,,,,,,
pair,sensors,dfc,4320000,,,,,,,,,,,1912533,0.4427159722222222,3.2951142272693223,4.65366865239912,0.5039259453300936,0.1716806977971099,0.3829182184535775
pair,s2 vs joint,dfc,4320000,,,,,,,,,,,650995,0.15069328703703705,2.6257664867188133,5.373899008776638,0.25528306669022033,0.31338182320908764,0.787352616823206
pair,s2 draw 0 vs 1,dfc,4320000,,,,,,,,,,,35330,0.008178240740740741,2.3203255453697094,5.170538332508719,0.2686951599207472,0.2853665440135862,0.9888492953709916
pair,s1 draw 0 vs 1,dfc,4320000,,,,,,,,,,,57743,0.013366435185185184,2.4024594326190027,5.285787657836137,0.19165959510243666,0.2665431307690976,0.9875101195112894
pair,s1s2 draw 0 vs 1,dfc,4320000,,,,,,,,,,,51410,0.011900462962962963,2.329679084987027,5.253067352539411,0.256876094145108,0.335946313946703,0.9822889479930134
