region,part,signal,n,error_rate,excess_aurc,capture_05,capture_10,capture_20
at,A,margin,37036,0.21468301112431148,0.033710047392541895,0.1407370142120488,0.2780782291535656,0.5205634511382216
at,A,one_minus_top1,37036,0.21468301112431148,0.03417423640621324,0.1417431769588731,0.27153817129920765,0.5135203119104516
at,A,entropy,37036,0.21468301112431148,0.03767525975491505,0.12677650609986166,0.25166645704942775,0.4824550371022513
at,A,boundary_first,37036,0.21468301112431148,0.040449486376830934,0.14186894730222613,0.27845554018362473,0.5156584077474532
at,A,ctl_pixel_variance,37036,0.21468301112431148,0.22208376378989325,0.05093698905798013,0.09722047541189788,0.1828700792353163
at,A,ctl_class_rarity,37036,0.21468301112431148,0.08644186892095601,0.09911631773398046,0.16260357663423738,0.26304806110174206
at,B,declared_changed,13402,0.7580211908670348,nan,nan,nan,nan
at,B,declared_same,22413,0.14335430330611698,nan,nan,nan,nan
dk,A,margin,54358,0.3050332977666581,0.09307957891703414,0.10457752849647187,0.2063204873047464,0.385199927628008
dk,A,one_minus_top1,54358,0.3050332977666581,0.09209862370134098,0.11253844762077077,0.21331644653519088,0.3903865870574754
dk,A,entropy,54358,0.3050332977666581,0.09766025270489936,0.1066280682709125,0.19968638803449731,0.3709667691936554
dk,A,boundary_first,54358,0.3050332977666581,0.10021680578516381,0.1080151981183282,0.21078342681382306,0.3950907665400157
dk,A,ctl_pixel_variance,54358,0.3050332977666581,0.22784098357085844,0.06887401242385863,0.1327422953983475,0.2480550027139497
dk,A,ctl_class_rarity,54358,0.3050332977666581,0.23753457930640762,0.06775803436113234,0.11708743450891723,0.16697075671996556
dk,B,declared_changed,30082,0.8434944485074131,nan,nan,nan,nan
dk,B,declared_same,23326,0.36551487610391836,nan,nan,nan,nan
si,A,margin,14880,0.1547715053763441,0.03170614619762529,0.20625271385149804,0.38254450716456795,0.6430742509769866
si,A,one_minus_top1,14880,0.1547715053763441,0.03117131763107353,0.2201476335214937,0.40078158923143725,0.6456795484151108
si,A,entropy,14880,0.1547715053763441,0.03204429187463972,0.21363438992618325,0.3799392097264438,0.6365610073816761
si,A,boundary_first,14880,0.1547715053763441,0.03468342255088506,0.20581849761181067,0.38514980460269216,0.606600086843248
si,A,ctl_pixel_variance,14880,0.1547715053763441,0.13987015143438125,0.06730351715154147,0.11723838471558837,0.22448979591836735
si,A,ctl_class_rarity,14880,0.1547715053763441,0.08385437297495668,0.14152272221810364,0.21405088305404663,0.5236427270413779
si,B,declared_changed,460,0.5891304347826087,nan,nan,nan,nan
si,B,declared_same,11709,0.05978307284994449,nan,nan,nan,nan
