task,family,source,geobench,n_units,n_classes,test_accuracy,train_accuracy,generalisation_gap,error_rate,margin_excess_aurc,best_control,control_excess_aurc,margin_lead,margin_capture_10,margin_auroc,entropy_excess_aurc,seconds
m_eurosat,classification,m_eurosat,True,1000,10,0.979,1.0,0.02100000000000002,0.021,0.0022874810367915282,ctl_class_rarity,0.021855738393952946,0.019568257357161417,0.7619047619047619,0.9157060168296124,0.0022544100038775173,12.0
m_brick_kiln,classification,m_brick_kiln,True,999,2,0.964964964964965,0.9692624311226183,0.004297466157653362,0.035035035035035036,0.0036536021327991837,ctl_class_rarity,0.0302607961809188,0.026607194048119617,0.6857142857142857,0.9099288678126852,0.0036536021327991837,3.8
m_forestnet,classification,m_forestnet,True,993,12,0.5105740181268882,0.7363861386138614,0.2258121204869732,0.48942598187311176,0.19778879892945564,ctl_class_rarity,0.31007014716641323,0.1122813482369576,0.16049382716049382,0.6876202303552731,0.19607110727573993,3.0
m_so2sat,classification,m_so2sat,True,986,17,0.6612576064908722,0.9253701480592237,0.2641125415683515,0.33874239350912777,0.10630600578350664,ctl_class_rarity,0.3341302440232587,0.22782423823975206,0.2125748502994012,0.7484616656258036,0.10349596535206627,8.2
awf_landsat,classification,awf,False,200,9,0.785,0.9849906191369606,0.1999906191369606,0.215,0.043191046403613376,ctl_class_rarity,0.21042833380591158,0.1672372874022982,0.23255813953488372,0.8244704488223967,0.042895241413707416,1.6
awf_sentinel1,classification,awf,False,200,9,0.72,0.9230769230769231,0.20307692307692315,0.28,0.0943461034499014,ctl_class_rarity,0.26308622744061017,0.16874012399070876,0.19642857142857142,0.7224702380952381,0.09116894289449644,1.2
awf_sentinel2,classification,awf,False,200,9,0.83,0.9793621013133208,0.14936210131332084,0.17,0.03816053771465171,ctl_embedding_distance,0.16067903435779154,0.12251849664313984,0.2647058823529412,0.8152019844082211,0.038853517227781464,0.4
nandi_landsat,classification,nandi,False,825,6,0.7236363636363636,0.9807524059492564,0.25711604231289276,0.27636363636363637,0.07874386270614489,ctl_class_rarity,0.1725660712026183,0.09382220849647341,0.2149122807017544,0.7662655382174028,0.07660308213229358,3.2
nandi_sentinel1,classification,nandi,False,825,6,0.3333333333333333,0.5997375328083989,0.2664041994750656,0.6666666666666666,0.29084605128873997,ctl_class_rarity,0.3076924108744067,0.016846359585666715,0.11454545454545455,0.6079603305785124,0.3065355483952892,2.2
nandi_sentinel2,classification,nandi,False,825,6,0.8109090909090909,0.9794400699912511,0.1685309790821602,0.1890909090909091,0.03702512070347863,ctl_class_rarity,0.13961598637558495,0.10259086567210632,0.2948717948717949,0.8440554214096815,0.035610246783915625,1.3
cropharvest_Togo_12_sentinel1,classification,cropharvest_togo,False,306,2,0.7222222222222222,0.8604651162790697,0.13824289405684753,0.2777777777777778,0.12289333350163818,ctl_class_rarity,0.13859001630048823,0.015696682798850045,0.1411764705882353,0.6764439712536598,0.12289333350163818,1.3
cropharvest_Togo_12_sentinel2,classification,cropharvest_togo,False,306,2,0.8300653594771242,0.9428294573643411,0.11276409788721686,0.16993464052287582,0.0529807751477505,ctl_class_rarity,0.1051026029035811,0.0521218277558306,0.28846153846153844,0.7864930345245306,0.0529807751477505,1.3
cropharvest_Togo_12_sentinel2_sentinel1,classification,cropharvest_togo,False,306,2,0.7810457516339869,0.9292635658914729,0.14821781425748592,0.21895424836601307,0.07663323399517323,ctl_class_rarity,0.11334061551431611,0.03670738151914288,0.208955223880597,0.7797414600636983,0.07663323399517323,1.3
cropharvest_Peoples_Republic_of_China_6,classification,cropharvest_china,False,4397,2,0.7350466226972936,0.8502867491699366,0.11524012647264303,0.2649533773027064,0.10481956091144913,ctl_embedding_distance,0.25957717177621636,0.15475761086476725,0.1905579399141631,0.7119648472357966,0.10481956091144913,1.9
cropharvest_Peoples_Republic_of_China_6_sentinel1,classification,cropharvest_china,False,4397,2,0.6436206504434842,0.6812556595230909,0.03763500907960671,0.3563793495565158,0.09297936414731788,ctl_class_rarity,0.31724554599119514,0.22426618184387725,0.14358647096362476,0.7745243662915116,0.09297936414731788,2.3
cropharvest_Peoples_Republic_of_China_6_sentinel1_sentinel2,classification,cropharvest_china,False,4397,2,0.7737093472822378,0.8173860549351042,0.04367670765286635,0.2262906527177621,0.08495967739262789,ctl_class_rarity,0.25805653635622294,0.17309685896359506,0.1708542713567839,0.7195477682356521,0.08495967739262789,1.8
breizhcrops,classification,breizhcrops,False,122614,9,0.7022444419071232,0.7613121675885961,0.059067725681472893,0.29775555809287685,0.07747942028992791,ctl_embedding_distance,0.24960921434310915,0.17212979405318124,0.19304828946287217,0.7728359749128918,0.0777981578569345,86.6
mados,segmentation,mados,False,22598,15,0.9264094167625454,0.9867799811142587,0.060370564351713285,0.07359058323745464,0.007793297491292222,ctl_class_rarity,0.024318290465639474,0.01652499297434725,0.4954900781719784,0.902927797734907,0.007905534230931564,21.5
sen1floods11,segmentation,sen1floods11,False,592385,2,0.9154823299036944,0.931782574413443,0.01630024450974865,0.0845176700963056,0.020199028952898546,ctl_embedding_distance,0.061954126599932546,0.041755097647034,0.45946431781412905,0.8426348676509956,0.020199030346809758,38.6
pastis_sentinel1,segmentation,pastis,False,458638,19,0.7156537399866562,0.7263861198226651,0.010732379836008943,0.28434626001334384,0.07145930285829868,ctl_class_rarity,0.19869268948608196,0.12723338662778327,0.22451154801705364,0.7929745257265837,0.07402995647236596,42.9
pastis_sentinel2,segmentation,pastis,False,458638,19,0.8099437900915318,0.8315731285309433,0.021629338439411505,0.1900562099084681,0.03863929176338316,ctl_class_rarity,0.15605563682726328,0.11741634506388013,0.2975667397065403,0.8314277187498259,0.04249154410675572,28.8
pastis_sentinel1_sentinel2,segmentation,pastis,False,458638,19,0.8051600608758978,0.8246639960788794,0.01950393520298166,0.19483993912410225,0.03944887168860667,ctl_class_rarity,0.1584555932538684,0.11900672156526174,0.2946923154396213,0.8322026566925532,0.043662059502448884,30.1
m_cashew_plant,segmentation,m_cashew_plant,True,204800,7,0.6527880859374999,0.6285787398726852,-0.02420934606481473,0.3472119140625,0.13078398724443888,ctl_class_rarity,0.2569793475779172,0.1261953603334783,0.17342389852198736,0.7108995319607951,0.13349947196102116,119.6
m_sa_crop_type,segmentation,m_sa_crop_type,True,4096000,10,0.65996728515625,0.6498366699218749,-0.010130615234375084,0.34003271484375,0.06718643256650826,ctl_class_rarity,0.18128755721425643,0.11410112464774817,0.2104842565987016,0.8251312965323572,0.07068304035501431,317.4
