task,family,source,n_units,n_classes,bank,test_accuracy,margin_eaurc,ensemble_eaurc,knn_eaurc,mahalanobis_eaurc,lead_ensemble,lead_knn,lead_mahalanobis,seconds
m_eurosat,classification,m_eurosat,1000,10,2000,0.979,0.0022874810367915282,0.002034316285121691,0.011382721370478776,0.012872771998108769,-0.0002531647516698372,0.009095240333687249,0.010585290961317242,14.5
m_brick_kiln,classification,m_brick_kiln,999,2,15063,0.964964964964965,0.0036536021327991837,0.004403070222892174,0.020375986348951807,0.02232749503526881,0.00074946809009299,0.016722384216152623,0.018673892902469628,18.7
m_forestnet,classification,m_forestnet,993,12,6464,0.5105740181268882,0.19778879892945564,0.20476750262052315,0.33622099381897563,0.3282040850945641,0.0069787036910675115,0.13843219488952,0.13041528616510847,11.8
m_so2sat,classification,m_so2sat,986,17,19992,0.6612576064908722,0.10630600578350664,0.11494489209783586,0.18790425881717104,0.2028942166653816,0.008638886314329214,0.0815982530336644,0.09658821088187496,29.7
awf_landsat,classification,awf,200,9,1066,0.785,0.043191046403613376,0.04014257434568966,0.17740994538744587,0.1560026321608325,-0.003048472057923718,0.1342188989838325,0.11281158575721911,1.9
awf_sentinel1,classification,awf,200,9,1066,0.72,0.0943461034499014,0.10647743287313145,0.1999039971330444,0.21152346099870856,0.012131329423230058,0.10555789368314301,0.11717735754880716,1.9
awf_sentinel2,classification,awf,200,9,1066,0.83,0.03816053771465171,0.05348892241162801,0.13739956172486203,0.1500015036457862,0.015328384696976304,0.09923902401021033,0.1118409659311345,2.0
nandi_landsat,classification,nandi,825,6,4572,0.7236363636363636,0.07874386270614489,0.08247692429242413,0.17006675694183582,0.18827986122585727,0.0037330615862792432,0.09132289423569093,0.10953599851971238,7.2
nandi_sentinel1,classification,nandi,825,6,4572,0.3333333333333333,0.29084605128873997,0.3225149598619156,0.37344064666996524,0.37084318610824174,0.031668908573175614,0.08259459538122527,0.07999713481950177,7.2
nandi_sentinel2,classification,nandi,825,6,4572,0.8109090909090909,0.03702512070347863,0.04348909533259712,0.18385245653403937,0.16283628071030484,0.006463974629118491,0.14682733583056073,0.1258111600068262,7.2
cropharvest_Togo_12_sentinel1,classification,cropharvest_togo,306,2,1032,0.7222222222222222,0.12289333350163818,0.14493478022046252,0.16127271562850481,0.16978678936392255,0.02204144671882434,0.03837938212686663,0.04689345586228437,1.5
cropharvest_Togo_12_sentinel2,classification,cropharvest_togo,306,2,1032,0.8300653594771242,0.0529807751477505,0.06816556072997818,0.13368942504853204,0.163124662372081,0.015184785582227675,0.08070864990078154,0.11014388722433051,1.5
cropharvest_Togo_12_sentinel2_sentinel1,classification,cropharvest_togo,306,2,1032,0.7810457516339869,0.07663323399517323,0.09902259467376763,0.17680928945058222,0.21852282302217627,0.0223893606785944,0.10017605545540899,0.14188958902700305,1.5
cropharvest_Peoples_Republic_of_China_6,classification,cropharvest_china,4397,2,3313,0.7350466226972936,0.10481956091144913,0.11896138772934849,0.1872658546478317,0.21491482358404035,0.014141826817899356,0.08244629373638256,0.11009526267259122,7.1
cropharvest_Peoples_Republic_of_China_6_sentinel1,classification,cropharvest_china,4397,2,3313,0.6436206504434842,0.09297936414731788,0.13604988237707222,0.4544758891187275,0.4797089791223623,0.04307051822975434,0.3614965249714096,0.38672961497504443,7.0
cropharvest_Peoples_Republic_of_China_6_sentinel1_sentinel2,classification,cropharvest_china,4397,2,3313,0.7737093472822378,0.08495967739262789,0.09632988345507534,0.1702977911127771,0.2734021630166372,0.011370206062447458,0.08533811372014921,0.18844248562400934,7.0
breizhcrops,classification,breizhcrops,122614,9,20000,0.7022444419071232,0.07747942028992791,0.08763065333576245,0.2387745689361008,0.2411724451240003,0.01015123304583454,0.1612951486461729,0.1636930248340724,641.5
mados,segmentation,mados,22598,15,20000,0.9264094167625454,0.007793297491292222,0.06577844071787806,0.020373764993174434,0.018938795506533577,0.057985143226585836,0.01258046750188221,0.011145498015241354,250.6
sen1floods11,segmentation,sen1floods11,592385,2,20000,0.9154823299036944,0.020199028952898546,0.07964621691128829,0.05091884099441875,0.05806847214636582,0.05944718795838974,0.030719812041520203,0.03786944319346727,674.4
pastis_sentinel1,segmentation,pastis,458638,19,20000,0.7156537399866562,0.07145930285829868,0.23459443973269603,0.21932664808539046,0.22337067918322315,0.16313513687439735,0.14786734522709177,0.15191137632492446,3617.7
pastis_sentinel2,segmentation,pastis,458638,19,20000,0.8099437900915318,0.03863929176338316,0.16913351849120706,0.13029638211869252,0.14584987420528783,0.1304942267278239,0.09165709035530936,0.10721058244190468,3363.9
pastis_sentinel1_sentinel2,segmentation,pastis,458638,19,20000,0.8051600608758978,0.03944887168860667,0.17304559698161082,0.15155928521929093,0.1560581175321594,0.13359672529300415,0.11211041353068427,0.11660924584355273,3183.7
m_cashew_plant,segmentation,m_cashew_plant,204800,7,20000,0.6527880859374999,0.13078398724443888,0.2748710558630093,0.27491693014722585,0.28068693118438914,0.14408706861857043,0.14413294290278697,0.14990294393995027,954.8
m_sa_crop_type,segmentation,m_sa_crop_type,4096000,10,20000,0.65996728515625,0.06718643256650826,0.2639613039749187,0.273849173632163,0.2864325081611791,0.19677487140841043,0.20666274106565474,0.21924607559467085,5592.9
