encoder,scored,wins,losses,p,share,median_lead,median_accuracy,source_wins,distinct_sources
anysat,24,23,1,1.4901161193847656e-06,0.9583333333333334,0.12905108325817313,0.7228661587445986,14,14
clay_large,24,24,0,5.960464477539063e-08,1.0,0.13036477287022852,0.6659464786596923,14,14
panopticon,24,24,0,5.960464477539063e-08,1.0,0.10924594866047924,0.7129411764705882,14,14
olmoearth_tiny,24,22,2,1.7940998077392578e-05,0.9166666666666666,0.13101752961448138,0.7588947009324539,14,14
olmoearth_nano,24,23,1,1.4901161193847656e-06,0.9583333333333334,0.1314197491088181,0.7493716520601776,14,14
olmoearth_large,24,24,0,5.960464477539063e-08,1.0,0.11340854383570417,0.7285649306345235,14,14
galileo_tiny,21,19,2,0.000110626220703125,0.9047619047619048,0.1269443465163842,0.7549019607843137,13,13
galileo_nano,21,21,0,4.76837158203125e-07,1.0,0.14050621143625924,0.6728923464693288,13,13
galileo_base,21,20,1,1.049041748046875e-05,0.9523809523809523,0.11336356712471377,0.7514793802519635,13,13
croma_base,21,21,0,4.76837158203125e-07,1.0,0.1164110354417975,0.7225380941551057,13,13
croma_large,21,21,0,4.76837158203125e-07,1.0,0.11524091050312618,0.7156862745098039,13,13
terramind_base,20,20,0,9.5367431640625e-07,1.0,0.11220824355725895,0.747164584884822,13,13
terramind_large,21,20,1,1.049041748046875e-05,0.9523809523809523,0.1113362523381139,0.7630202410734592,13,13
satlas_base,21,19,2,0.000110626220703125,0.9047619047619048,0.11501901114564919,0.66,14,14
copernicusfm,21,21,0,4.76837158203125e-07,1.0,0.12733759505300887,0.7147467065528805,13,13
