order,window_index,row,col,map_class,stratum,wrong,reference_class
0,427,3,43,6,0,1,7
1,667,5,27,7,0,1,1
2,555,4,43,5,0,1,1
3,304,2,48,6,0,1,1
4,14391,112,55,4,0,0,4
5,8952,69,120,7,0,0,7
6,8079,63,15,4,0,0,4
7,5433,42,57,4,0,1,7
8,9588,74,116,4,0,0,4
9,15394,120,34,4,0,0,4
10,10299,80,59,5,0,1,1
11,10245,80,5,7,0,0,7
12,5517,43,13,6,0,1,1
13,5983,46,95,4,0,0,4
14,15100,117,124,1,0,1,4
15,7603,59,51,4,0,1,7
16,15765,123,21,4,0,0,4
17,4021,31,53,5,0,1,1
18,10332,80,92,2,0,1,4
19,14151,110,71,5,0,1,4
20,16316,127,60,4,0,0,4
21,11725,91,77,4,0,0,4
22,823,6,55,7,0,0,7
23,12504,97,88,6,0,1,4
24,10808,84,56,5,0,1,1
25,14492,113,28,4,0,0,4
26,2083,16,35,1,0,0,1
27,13639,106,71,4,0,0,4
28,13480,105,40,6,0,1,4
29,11684,91,36,8,0,1,7
30,2858,22,42,1,0,0,1
31,54,0,54,2,0,1,1
32,10461,81,93,4,0,0,4
33,3995,31,27,6,0,1,1
34,13578,106,10,4,0,0,4
35,9276,72,60,7,0,1,1
36,176,1,48,6,0,1,1
37,144,1,16,1,0,1,4
38,11125,86,117,4,0,0,4
39,9047,70,87,4,0,0,4
40,1730,13,66,7,0,0,7
41,14208,111,0,4,0,0,4
42,8494,66,46,7,0,0,7
43,9616,75,16,4,0,0,4
44,10033,78,49,6,0,1,1
45,9446,73,102,1,0,1,4
46,7698,60,18,4,0,0,4
47,7856,61,48,4,0,1,7
48,9465,73,121,4,0,0,4
49,12419,97,3,7,0,1,6
50,1597,12,61,5,0,1,7
51,10898,85,18,6,0,1,7
52,5632,44,0,7,0,1,1
53,8726,68,22,7,0,1,4
54,7562,59,10,4,0,0,4
55,10531,82,35,5,0,1,7
56,5912,46,24,4,0,1,1
57,16095,125,95,7,0,1,6
58,10514,82,18,6,1,1,4
59,11441,89,49,7,1,0,7
60,969,7,73,7,1,0,7
61,10417,81,49,7,1,0,7
62,14710,114,118,1,1,1,4
63,4255,33,31,7,1,0,7
64,10122,79,10,1,1,1,4
65,10339,80,99,4,1,0,4
66,12394,96,106,6,1,0,6
67,8390,65,70,4,1,0,4
68,13909,108,85,4,1,0,4
69,7688,60,8,4,1,0,4
70,4302,33,78,6,1,1,4
71,7905,61,97,7,1,0,7
72,9717,75,117,5,1,1,4
73,16312,127,56,7,1,1,4
74,927,7,31,5,1,1,1
75,10961,85,81,4,1,0,4
76,4694,36,86,7,1,0,7
77,4262,33,38,7,1,0,7
78,9224,72,8,4,1,0,4
79,10291,80,51,6,1,1,7
80,15467,120,107,4,1,0,4
81,7493,58,69,7,1,0,7
82,15262,119,30,4,1,0,4
83,2480,19,48,7,1,0,7
84,8236,64,44,7,1,0,7
85,6793,53,9,4,1,0,4
86,8877,69,45,7,1,0,7
87,5594,43,90,4,1,0,4
88,12120,94,88,4,1,0,4
89,14892,116,44,4,1,0,4
90,12417,97,1,7,1,0,7
91,12582,98,38,4,1,0,4
92,15524,121,36,5,1,1,4
93,15638,122,22,4,1,0,4
94,14850,116,2,4,1,0,4
95,7718,60,38,7,1,0,7
96,15452,120,92,6,1,1,4
97,12566,98,22,6,1,1,4
98,5834,45,74,4,1,0,4
99,16186,126,58,4,1,0,4
