order,window_index,row,col,map_class,stratum,wrong,reference_class
0,13151,102,95,4,,0,4
1,4371,34,19,6,,1,1
2,10463,81,95,4,,0,4
3,13539,105,99,6,,0,6
4,11144,87,8,7,,0,7
5,11096,86,88,4,,0,4
6,10824,84,72,4,,0,4
7,15353,119,121,4,,0,4
8,14661,114,69,5,,1,4
9,5838,45,78,4,,0,4
10,4931,38,67,4,,0,4
11,6563,51,35,7,,0,7
12,16092,125,92,6,,0,6
13,10839,84,87,4,,0,4
14,13483,105,43,4,,0,4
15,8695,67,119,7,,0,7
16,9183,71,95,4,,0,4
17,6416,50,16,6,,1,7
18,12886,100,86,6,,1,4
19,9036,70,76,7,,0,7
20,1351,10,71,7,,0,7
21,679,5,39,7,,0,7
22,943,7,47,6,,1,7
23,15631,122,15,8,,1,4
24,12445,97,29,4,,0,4
25,3667,28,83,7,,0,7
26,10218,79,106,4,,0,4
27,11393,89,1,7,,0,7
28,14931,116,83,4,,0,4
29,4864,38,0,7,,0,7
30,8552,66,104,7,,0,7
31,12842,100,42,4,,0,4
32,1076,8,52,7,,0,7
33,5038,39,46,7,,0,7
34,12473,97,57,6,,1,4
35,10733,83,109,1,,1,4
36,10227,79,115,4,,0,4
37,13010,101,82,4,,0,4
38,13532,105,92,6,,1,4
39,11311,88,47,7,,0,7
40,14415,112,79,4,,0,4
41,539,4,27,7,,0,7
42,13345,104,33,4,,0,4
43,14226,111,18,4,,0,4
44,15075,117,99,6,,0,6
45,9234,72,18,6,,1,4
46,6721,52,65,4,,0,4
47,4634,36,26,6,,1,7
48,1916,14,124,7,,0,7
49,5387,42,11,4,,1,1
50,458,3,74,7,,0,7
51,1694,13,30,7,,0,7
52,12378,96,90,4,,0,4
53,16242,126,114,6,,0,6
54,14182,110,102,6,,0,6
55,5596,43,92,4,,0,4
56,8442,65,122,7,,0,7
57,8719,68,15,6,,1,4
58,10040,78,56,6,,1,7
59,8908,69,76,7,,0,7
60,4978,38,114,7,,0,7
61,3802,29,90,7,,0,7
62,11764,91,116,4,,0,4
63,14610,114,18,4,,0,4
64,8071,63,7,6,,1,4
65,2398,18,94,7,,0,7
66,5895,46,7,4,,0,4
67,9621,75,21,6,,1,4
68,12398,96,110,6,,0,6
69,5365,41,117,7,,0,7
70,15427,120,67,4,,0,4
71,1088,8,64,6,,1,7
72,236,1,108,7,,0,7
73,7350,57,54,5,,1,4
74,10523,82,27,7,,0,7
75,12008,93,104,4,,0,4
76,9235,72,19,6,,1,4
77,11453,89,61,6,,0,6
78,3507,27,51,7,,1,1
79,6570,51,42,6,,1,7
80,1847,14,55,7,,0,7
81,15181,118,77,4,,0,4
82,8036,62,100,7,,0,7
83,10640,83,16,1,,1,4
84,464,3,80,7,,0,7
85,7351,57,55,5,,1,4
86,705,5,65,6,,1,7
87,2241,17,65,7,,0,7
88,6933,54,21,4,,0,4
89,13741,107,45,4,,0,4
90,8229,64,37,7,,0,7
91,15361,120,1,4,,0,4
92,7645,59,93,7,,0,7
93,13665,106,97,6,,0,6
94,7401,57,105,7,,0,7
95,9166,71,78,7,,1,1
96,2122,16,74,7,,0,7
97,9944,77,88,4,,0,4
98,15067,117,91,4,,0,4
99,2769,21,81,7,,0,7
100,11659,91,11,7,,0,7
101,15832,123,88,4,,1,6
102,1205,9,53,7,,0,7
103,2344,18,40,1,,0,1
104,10100,78,116,4,,0,4
105,6109,47,93,7,,0,7
106,15841,123,97,7,,1,6
107,4042,31,74,4,,1,7
108,7131,55,91,7,,0,7
109,4076,31,108,7,,0,7
110,5227,40,107,7,,0,7
111,3605,28,21,7,,0,7
112,6650,51,122,7,,0,7
113,7802,60,122,7,,0,7
114,12260,95,100,6,,1,4
115,15505,121,17,5,,1,4
116,13460,105,20,4,,0,4
117,6714,52,58,4,,0,4
118,12388,96,100,6,,1,4
119,16152,126,24,4,,0,4
120,15827,123,83,4,,0,4
121,785,6,17,4,,0,4
122,13631,106,63,7,,0,7
123,3669,28,85,7,,0,7
124,13309,103,125,6,,1,4
125,13177,102,121,6,,1,4
126,13870,108,46,4,,0,4
127,3718,29,6,7,,0,7
128,11641,90,121,6,,0,6
129,4257,33,33,7,,0,7
130,8061,62,125,7,,0,7
131,11786,92,10,7,,1,6
132,14238,111,30,4,,0,4
133,257,2,1,4,,0,4
134,2946,23,2,7,,0,7
135,15106,118,2,4,,0,4
136,12519,97,103,6,,0,6
137,4259,33,35,7,,0,7
138,15174,118,70,4,,0,4
139,658,5,18,4,,0,4
140,134,1,6,4,,0,4
