order,window_index,row,col,map_class,lon,lat,stratum,wrong,reference_class
0,85,8,5,1,-77.299818,40.205443,0,,
1,31,3,1,1,-77.655359,40.813139,0,,
2,47,4,7,0,-77.122048,40.6916,0,,
3,21,2,1,1,-77.655359,40.934678,0,,
4,13,1,3,1,-77.477588,41.056217,0,,
5,5,0,5,1,-77.299818,41.177757,0,,
6,28,2,8,0,-77.033163,40.934678,0,,
7,87,8,7,1,-77.122048,40.205443,0,,
8,18,1,8,0,-77.033163,41.056217,0,,
9,56,5,6,0,-77.210933,40.570061,0,,
10,68,6,8,0,-77.033163,40.448522,0,,
11,42,4,2,0,-77.566474,40.6916,0,,
12,55,5,5,0,-77.299818,40.570061,0,,
13,58,5,8,0,-77.033163,40.570061,0,,
14,88,8,8,0,-77.033163,40.205443,0,,
15,78,7,8,0,-77.033163,40.326982,1,,
16,17,1,7,0,-77.122048,41.056217,1,,
17,57,5,7,0,-77.122048,40.570061,1,,
18,73,7,3,0,-77.477588,40.326982,1,,
19,53,5,3,0,-77.477588,40.570061,1,,
20,23,2,3,0,-77.477588,40.934678,1,,
21,82,8,2,0,-77.566474,40.205443,1,,
22,43,4,3,0,-77.477588,40.6916,1,,
23,35,3,5,0,-77.299818,40.813139,1,,
24,46,4,6,0,-77.210933,40.6916,1,,
25,83,8,3,0,-77.477588,40.205443,1,,
26,16,1,6,0,-77.210933,41.056217,1,,
27,84,8,4,0,-77.388703,40.205443,1,,
28,2,0,2,0,-77.566474,41.177757,1,,
29,24,2,4,0,-77.388703,40.934678,2,,
30,75,7,5,0,-77.299818,40.326982,2,,
31,7,0,7,0,-77.122048,41.177757,2,,
32,52,5,2,0,-77.566474,40.570061,2,,
33,1,0,1,0,-77.655359,41.177757,2,,
34,74,7,4,0,-77.388703,40.326982,2,,
35,36,3,6,0,-77.210933,40.813139,2,,
36,54,5,4,0,-77.388703,40.570061,2,,
37,67,6,7,0,-77.122048,40.448522,2,,
38,25,2,5,0,-77.299818,40.934678,2,,
39,34,3,4,0,-77.388703,40.813139,2,,
40,44,4,4,0,-77.388703,40.6916,2,,
41,86,8,6,0,-77.210933,40.205443,2,,
42,71,7,1,0,-77.655359,40.326982,2,,
43,64,6,4,0,-77.388703,40.448522,3,,
44,33,3,3,0,-77.477588,40.813139,3,,
45,72,7,2,0,-77.566474,40.326982,3,,
46,77,7,7,0,-77.122048,40.326982,3,,
47,6,0,6,0,-77.210933,41.177757,3,,
48,26,2,6,0,-77.210933,40.934678,3,,
49,8,0,8,0,-77.033163,41.177757,3,,
50,37,3,7,0,-77.122048,40.813139,3,,
51,81,8,1,0,-77.655359,40.205443,3,,
52,66,6,6,0,-77.210933,40.448522,3,,
53,3,0,3,0,-77.477588,41.177757,3,,
54,61,6,1,0,-77.655359,40.448522,3,,
55,65,6,5,0,-77.299818,40.448522,3,,
56,15,1,5,0,-77.299818,41.056217,3,,
57,76,7,6,0,-77.210933,40.326982,4,,
58,45,4,5,0,-77.299818,40.6916,4,,
59,14,1,4,0,-77.388703,41.056217,4,,
60,51,5,1,0,-77.655359,40.570061,4,,
61,38,3,8,0,-77.033163,40.813139,4,,
62,11,1,1,0,-77.655359,41.056217,4,,
63,32,3,2,0,-77.566474,40.813139,4,,
64,22,2,2,0,-77.566474,40.934678,4,,
65,63,6,3,0,-77.477588,40.448522,4,,
66,4,0,4,0,-77.388703,41.177757,4,,
67,48,4,8,0,-77.033163,40.6916,4,,
68,12,1,2,0,-77.566474,41.056217,4,,
69,62,6,2,0,-77.566474,40.448522,4,,
70,27,2,7,0,-77.122048,40.934678,4,,
71,41,4,1,0,-77.655359,40.6916,4,,
