order,window_index,row,col,map_class,lon,lat,stratum,wrong,reference_class
0,13088,102,32,4,36.79866760858918,-2.5638972513783793,,,
1,4453,34,101,4,36.82351885179638,-2.5393495840989373,,,
2,10440,81,72,2,36.8130629732996,-2.5563280241222572,,,
3,13475,105,35,4,36.79974443576312,-2.564983966411415,,,
4,11115,86,107,2,36.82564464188658,-2.5581576347860433,,,
5,11066,86,58,8,36.80802604715474,-2.5581274848950213,,,
6,10805,84,53,8,36.80622947246304,-2.5574011581252685,,,
7,15342,119,110,0,36.82670319286257,-2.570093039222256,,,
8,14627,114,35,4,36.799738868052096,-2.5682385164114896,,,
9,5922,46,34,5,36.79942120481484,-2.543647962030894,,,
10,5012,39,20,8,36.794391744393,-2.5411080099391405,,,
11,6651,51,123,2,36.83141891517528,-2.545510572180968,,,
12,16092,125,92,2,36.820227283474026,-2.5722516755715508,,,
13,10817,84,65,8,36.810544203443,-2.557408568195988,,,
14,13411,104,99,2,36.82275712580871,-2.564661930100858,,,
15,8728,68,24,8,36.795812126765284,-2.5515973379626455,,,
16,9182,71,94,2,36.8209794504929,-2.5527253311792415,,,
17,6502,50,102,2,36.82386871481438,-2.5451361555716243,,,
18,12816,100,16,4,36.792915893490616,-2.563164059308897,,,
19,9044,70,84,4,36.81738443864071,-2.552357576728339,,,
20,1359,10,79,2,36.81562312098018,-2.530657266668501,,,
21,682,5,42,0,36.80232268123818,-2.5288265763573365,,,
22,948,7,52,0,36.805916985160245,-2.529555931113175,,,
23,15627,122,11,4,36.79110443462355,-2.5711164618905813,,,
24,12365,96,77,4,36.814851594515424,-2.56175540830564,,,
25,3736,29,24,8,36.795836088388846,-2.5374943204395204,,,
26,10196,79,84,2,36.817378942752676,-2.555612165971598,,,
27,11367,88,103,2,36.82420516179988,-2.558878427976257,,,
28,14901,116,53,2,36.80620976078107,-2.5689729426088665,,,
29,4952,38,88,4,36.81884215727857,-2.5407881455196093,,,
30,8588,67,12,8,36.79149807533353,-2.5512282803084108,,,
31,12770,99,98,2,36.82240061737738,-2.5628532039244276,,,
32,1078,8,54,2,36.80663548272091,-2.5299187724159764,,,
33,5122,40,2,8,36.78791918883932,-2.5414584927623167,,,
34,12397,96,109,2,36.82635767692544,-2.561775091867244,,,
35,10708,83,84,2,36.81737649788033,-2.557058650022843,,,
36,10207,79,95,2,36.821334136440825,-2.5556189198282593,,,
37,12938,101,10,4,36.7907579221032,-2.563521932398837,,,
38,13465,105,25,4,36.79614883079,-2.5649777435835244,,,
39,11280,88,16,4,36.79292332379357,-2.558824678942987,,,
40,14374,112,38,4,36.80081879124977,-2.567517149807182,,,
41,541,4,29,6,36.79764912872381,-2.5284569916537083,,,
42,13275,103,91,2,36.819881209830946,-2.5642953836959888,,,
43,14174,110,94,2,36.820955620093585,-2.5668285837960054,,,
44,15058,117,82,2,36.81663652777109,-2.5693525271364024,,,
45,9238,72,22,4,36.795090548499786,-2.5530425609294816,,,
46,6815,53,31,8,36.798338243923965,-2.546177426613078,,,
47,4716,36,108,2,36.82603456111336,-2.5400770904612937,,,
48,1940,15,20,0,36.79440645437952,-2.532429237244444,,,
49,5464,42,88,4,36.818839728231104,-2.5422346313213366,,,
50,456,3,72,0,36.813110477975414,-2.528121660065626,,,
51,1711,13,47,0,36.80411557077968,-2.5317225801090992,,,
52,12302,96,14,4,36.792199255109686,-2.5617163531992784,,,
53,13563,105,123,2,36.83138613501149,-2.5650382900046584,,,
54,14132,110,52,2,36.80585390055516,-2.5668026127508794,,,
55,5677,44,45,5,36.80337753824515,-2.5429315042533567,,,
56,8486,66,38,8,36.80084715209184,-2.550882768960739,,,
57,8753,68,49,4,36.80480106037842,-2.5516127973850713,,,
58,10017,78,33,4,36.79904198013578,-2.5552190763299074,,,
59,8930,69,98,2,36.822418919500585,-2.5520045372104097,,,
60,5059,39,67,0,36.81129083185208,-2.5411369209994508,,,
61,3874,30,34,8,36.79943100452747,-2.5378620942649284,,,
62,11730,91,82,2,36.816652476560485,-2.559950386642725,,,
63,14574,113,110,4,36.82670686263305,-2.567923300052083,,,
64,8115,63,51,4,36.805523243338705,-2.549805940586877,,,
65,2436,19,4,0,36.78865120140717,-2.5338658349412544,,,
66,5978,46,90,2,36.81955641721984,-2.5436823394214443,,,
67,9609,75,9,8,36.79041446741878,-2.554119333287666,,,
68,12324,96,36,4,36.8001095564623,-2.5617300371684504,,,
69,5443,42,67,2,36.81128900364161,-2.542221779856382,,,
70,15409,120,49,2,36.804769035157754,-2.5704169296458024,,,
71,1088,8,64,0,36.81023101587546,-2.529924881031593,,,
72,239,1,111,4,36.8271343513232,-2.5274220928658906,,,
73,7437,58,13,8,36.791863181041165,-2.547974367500495,,,
74,10501,82,5,8,36.78897191300952,-2.5566481440737157,,,
75,11939,93,35,2,36.79975184835914,-2.560644566134389,,,
76,9239,72,23,4,36.795450105020684,-2.5530431810704894,,,
77,11427,89,35,2,36.799754316426124,-2.5591980993051333,,,
78,3572,27,116,4,36.82891648030666,-2.536827339259221,,,
79,6656,52,0,8,36.78719268700439,-2.545796618488982,,,
80,1869,14,77,2,36.814901586929444,-2.532102530610786,,,
81,15161,118,57,2,36.80764678180838,-2.5696986626037304,,,
82,8076,63,12,8,36.79150054353007,-2.5497818213413885,,,
83,10614,82,118,0,36.82960229744044,-2.556717873917806,,,
84,462,3,78,0,36.81526780323607,-2.5281253130167642,,,
85,7434,58,10,8,36.790784518583585,-2.547972507447078,,,
86,705,5,65,0,36.8105923896045,-2.5288406327885418,,,
87,2275,17,99,5,36.82281001630483,-2.5332007846134177,,,
88,7025,54,113,2,36.82782147045351,-2.5465893561342123,,,
89,13682,106,114,2,36.82814941100961,-2.565394393800941,,,
90,8275,64,83,2,36.81702853762551,-2.550187237180731,,,
91,15349,119,117,2,36.82922017704439,-2.5700973444167388,,,
92,7696,60,16,8,36.79294061204495,-2.548699456861607,,,
93,13595,106,27,4,36.796867331992864,-2.5653406049332133,,,
94,7472,58,48,8,36.8044476346374,-2.547996001134582,,,
95,9164,71,76,2,36.814507336851015,-2.5527142837651207,,,
96,2152,16,104,5,36.82460840943581,-2.5328421986804925,,,
97,9928,77,72,2,36.81306542230038,-2.5548815442369452,,,
98,15045,117,69,2,36.81196217398565,-2.569344483843264,,,
99,2820,22,4,0,36.78864935958612,-2.5349506773418438,,,
100,11633,90,113,2,36.827799599494554,-2.55960780398648,,,
