order,window_index,row,col,map_class,lon,lat,stratum,wrong,reference_class
0,218,13,10,0,-77.205378,40.213039,0,,
1,221,13,13,0,-77.038718,40.213039,0,,
2,25,1,9,0,-77.260931,41.124583,0,,
3,215,13,7,0,-77.372037,40.213039,0,,
4,232,14,8,0,-77.316484,40.137077,0,,
5,233,14,9,0,-77.260931,40.137077,0,,
6,234,14,10,1,-77.205378,40.137077,0,,
7,162,10,2,0,-77.649803,40.440925,0,,
8,205,12,13,0,-77.038718,40.289001,0,,
9,137,8,9,0,-77.260931,40.592849,0,,
10,77,4,13,1,-77.038718,40.896697,0,,
11,71,4,7,1,-77.372037,40.896697,0,,
12,42,2,10,0,-77.205378,41.048621,0,,
13,123,7,11,0,-77.149825,40.668811,0,,
14,155,9,11,0,-77.149825,40.516887,0,,
15,130,8,2,0,-77.649803,40.592849,0,,
16,70,4,6,1,-77.427591,40.896697,0,,
17,62,3,14,1,-76.983165,40.972659,0,,
18,172,10,12,0,-77.094271,40.440925,0,,
19,184,11,8,0,-77.316484,40.364963,0,,
20,51,3,3,0,-77.59425,40.972659,0,,
21,230,14,6,1,-77.427591,40.137077,0,,
22,228,14,4,0,-77.538697,40.137077,0,,
23,134,8,6,1,-77.427591,40.592849,0,,
24,219,13,11,1,-77.149825,40.213039,0,,
25,36,2,4,1,-77.538697,41.048621,0,,
26,220,13,12,1,-77.094271,40.213039,0,,
27,236,14,12,0,-77.094271,40.137077,0,,
28,106,6,10,1,-77.205378,40.744773,0,,
29,110,6,14,0,-76.983165,40.744773,0,,
30,125,7,13,0,-77.038718,40.668811,0,,
31,76,4,12,1,-77.094271,40.896697,0,,
32,26,1,10,0,-77.205378,41.124583,0,,
33,142,8,14,0,-76.983165,40.592849,0,,
34,22,1,6,0,-77.427591,41.124583,0,,
35,216,13,8,0,-77.316484,40.213039,1,,
36,164,10,4,0,-77.538697,40.440925,1,,
37,183,11,7,0,-77.372037,40.364963,1,,
38,122,7,10,0,-77.205378,40.668811,1,,
39,217,13,9,0,-77.260931,40.213039,1,,
40,212,13,4,0,-77.538697,40.213039,1,,
41,87,5,7,0,-77.372037,40.820735,1,,
42,148,9,4,0,-77.538697,40.516887,1,,
43,146,9,2,0,-77.649803,40.516887,1,,
44,178,11,2,0,-77.649803,40.364963,1,,
45,227,14,3,0,-77.59425,40.137077,1,,
46,213,13,5,0,-77.483144,40.213039,1,,
47,131,8,3,0,-77.59425,40.592849,1,,
48,82,5,2,0,-77.649803,40.820735,1,,
49,189,11,13,0,-77.038718,40.364963,1,,
50,23,1,7,0,-77.372037,41.124583,1,,
51,163,10,3,0,-77.59425,40.440925,1,,
52,58,3,10,0,-77.205378,40.972659,1,,
53,135,8,7,0,-77.372037,40.592849,1,,
54,141,8,13,0,-77.038718,40.592849,1,,
55,214,13,6,0,-77.427591,40.213039,1,,
56,105,6,9,0,-77.260931,40.744773,1,,
57,151,9,7,0,-77.372037,40.516887,1,,
58,55,3,7,0,-77.372037,40.972659,1,,
59,138,8,10,0,-77.205378,40.592849,1,,
60,89,5,9,0,-77.260931,40.820735,1,,
