order,window_index,row,col,map_class,stratum,wrong,reference_class
0,427,3,43,6,0,,
1,667,5,27,7,0,,
2,555,4,43,5,0,,
3,304,2,48,6,0,,
4,14391,112,55,4,0,,
5,8952,69,120,7,0,,
6,8079,63,15,4,0,,
7,5433,42,57,4,0,,
8,9588,74,116,4,0,,
9,15394,120,34,4,0,,
10,10299,80,59,5,0,,
11,10245,80,5,7,0,,
12,5517,43,13,6,0,,
13,5983,46,95,4,0,,
14,15100,117,124,1,0,,
15,7603,59,51,4,0,,
16,15765,123,21,4,0,,
17,4021,31,53,5,0,,
18,10332,80,92,2,0,,
19,14151,110,71,5,0,,
20,16316,127,60,4,0,,
21,11725,91,77,4,0,,
22,823,6,55,7,0,,
23,12504,97,88,6,0,,
24,10808,84,56,5,0,,
25,14492,113,28,4,0,,
26,2083,16,35,1,0,,
27,13639,106,71,4,0,,
28,13480,105,40,6,0,,
29,11684,91,36,8,0,,
30,2858,22,42,1,0,,
31,54,0,54,2,0,,
32,10461,81,93,4,0,,
33,3995,31,27,6,0,,
34,13578,106,10,4,0,,
35,9276,72,60,7,0,,
36,176,1,48,6,0,,
37,144,1,16,1,0,,
38,11125,86,117,4,0,,
39,9047,70,87,4,0,,
40,1730,13,66,7,0,,
41,14208,111,0,4,0,,
42,8494,66,46,7,0,,
43,9616,75,16,4,0,,
44,10033,78,49,6,0,,
45,9446,73,102,1,0,,
46,7698,60,18,4,0,,
47,7856,61,48,4,0,,
48,9465,73,121,4,0,,
49,12419,97,3,7,0,,
50,1597,12,61,5,0,,
51,10898,85,18,6,0,,
52,5632,44,0,7,0,,
53,8726,68,22,7,0,,
54,7562,59,10,4,0,,
55,10531,82,35,5,0,,
56,5912,46,24,4,0,,
57,16095,125,95,7,0,,
58,10514,82,18,6,1,,
59,11441,89,49,7,1,,
60,969,7,73,7,1,,
61,10417,81,49,7,1,,
62,14710,114,118,1,1,,
63,4255,33,31,7,1,,
64,10122,79,10,1,1,,
65,10339,80,99,4,1,,
66,12394,96,106,6,1,,
67,8390,65,70,4,1,,
68,13909,108,85,4,1,,
69,7688,60,8,4,1,,
70,4302,33,78,6,1,,
71,7905,61,97,7,1,,
72,9717,75,117,5,1,,
73,16312,127,56,7,1,,
74,927,7,31,5,1,,
75,10961,85,81,4,1,,
76,4694,36,86,7,1,,
77,4262,33,38,7,1,,
78,9224,72,8,4,1,,
79,10291,80,51,6,1,,
80,15467,120,107,4,1,,
81,7493,58,69,7,1,,
82,15262,119,30,4,1,,
83,2480,19,48,7,1,,
84,8236,64,44,7,1,,
85,6793,53,9,4,1,,
86,8877,69,45,7,1,,
87,5594,43,90,4,1,,
88,12120,94,88,4,1,,
89,14892,116,44,4,1,,
90,12417,97,1,7,1,,
91,12582,98,38,4,1,,
92,15524,121,36,5,1,,
93,15638,122,22,4,1,,
94,14850,116,2,4,1,,
95,7718,60,38,7,1,,
96,15452,120,92,6,1,,
97,12566,98,22,6,1,,
98,5834,45,74,4,1,,
99,16186,126,58,4,1,,
100,946,7,50,7,1,,
101,322,2,66,7,1,,
102,12514,97,98,4,1,,
103,1800,14,8,4,1,,
104,9548,74,76,7,1,,
105,13072,102,16,4,1,,
106,15623,122,7,4,1,,
107,13109,102,53,4,1,,
108,8757,68,53,7,1,,
109,8753,68,49,7,1,,
110,4731,36,123,7,1,,
111,6598,51,70,4,1,,
