rank,window_index,row,col,margin,predicted_class,class_name
1,11556,90,36,0.0,7,bare
2,8983,70,23,0.0,4,crops
3,7603,59,51,0.0,4,crops
4,5133,40,13,0.0,1,trees
5,449,3,65,0.0,6,built
6,14896,116,48,0.000122,5,shrub_and_scrub
7,10149,79,37,0.000122,6,built
8,7831,61,23,0.000122,5,shrub_and_scrub
9,12047,94,15,0.000244,7,bare
10,11606,90,86,0.000244,4,crops
11,9601,75,1,0.000244,5,shrub_and_scrub
12,6235,48,91,0.000244,7,bare
13,3804,29,92,0.000244,6,built
14,2831,22,15,0.000244,6,built
15,14215,111,7,0.000366,1,trees
16,15503,121,15,0.000488,4,crops
17,14211,111,3,0.000488,1,trees
18,10057,78,73,0.000488,6,built
19,7863,61,55,0.000488,5,shrub_and_scrub
20,6657,52,1,0.000488,4,crops
21,5256,41,8,0.000488,4,crops
22,4060,31,92,0.000488,8,snow_and_ice
23,3240,25,40,0.000488,6,built
24,2689,21,1,0.000488,4,crops
25,15123,118,19,0.00061,5,shrub_and_scrub
26,8465,66,17,0.00061,6,built
27,8463,66,15,0.00061,6,built
28,5508,43,4,0.00061,4,crops
29,15666,122,50,0.000732,1,trees
30,14087,110,7,0.000732,2,grass
31,11679,91,31,0.000732,7,bare
32,9108,71,20,0.000732,4,crops
33,8091,63,27,0.000732,5,shrub_and_scrub
34,7352,57,56,0.000732,5,shrub_and_scrub
35,4038,31,70,0.000732,6,built
36,3993,31,25,0.000732,7,bare
37,2819,22,3,0.000732,5,shrub_and_scrub
38,15148,118,44,0.000854,4,crops
39,14772,115,52,0.000854,5,shrub_and_scrub
40,8287,64,95,0.000854,7,bare
41,1194,9,42,0.000854,5,shrub_and_scrub
42,16047,125,47,0.000977,5,shrub_and_scrub
43,14810,115,90,0.000977,4,crops
44,11692,91,44,0.000977,6,built
45,10421,81,53,0.000977,6,built
46,9873,77,17,0.000977,6,built
47,7854,61,46,0.000977,4,crops
48,6930,54,18,0.000977,4,crops
49,5890,46,2,0.000977,6,built
50,5582,43,78,0.000977,5,shrub_and_scrub
51,5398,42,22,0.000977,6,built
52,5128,40,8,0.000977,1,trees
53,3803,29,91,0.000977,7,bare
54,2691,21,3,0.000977,5,shrub_and_scrub
55,2214,17,38,0.000977,5,shrub_and_scrub
56,8809,68,105,0.001099,6,built
57,11296,88,32,0.001221,7,bare
58,10951,85,71,0.001221,6,built
59,10119,79,7,0.001221,7,bare
60,9268,72,52,0.001221,6,built
61,7252,56,84,0.001221,7,bare
62,1963,15,43,0.001221,6,built
63,15894,124,22,0.001343,4,crops
64,7570,59,18,0.001343,5,shrub_and_scrub
65,15248,119,16,0.001465,4,crops
66,7699,60,19,0.001465,1,trees
67,7442,58,18,0.001465,4,crops
68,6234,48,90,0.001465,7,bare
69,5838,45,78,0.001465,4,crops
70,5651,44,19,0.001465,5,shrub_and_scrub
71,5340,41,92,0.001465,5,shrub_and_scrub
72,1411,11,3,0.001465,1,trees
73,535,4,23,0.001465,4,crops
74,16016,125,16,0.001587,5,shrub_and_scrub
75,14404,112,68,0.001587,1,trees
76,9867,77,11,0.001587,4,crops
77,6046,47,30,0.001587,6,built
78,15122,118,18,0.001709,5,shrub_and_scrub
79,11168,87,32,0.001709,8,snow_and_ice
80,10509,82,13,0.001709,5,shrub_and_scrub
81,9984,78,0,0.001709,7,bare
82,8215,64,23,0.001709,5,shrub_and_scrub
83,8127,63,63,0.001709,1,trees
84,8080,63,16,0.001709,6,built
85,7960,62,24,0.001709,6,built
86,4992,39,0,0.001709,7,bare
87,4043,31,75,0.001709,6,built
88,2348,18,44,0.001709,1,trees
89,15763,123,19,0.001831,5,shrub_and_scrub
90,2732,21,44,0.001831,7,bare
91,1057,8,33,0.001831,1,trees
92,831,6,63,0.001831,4,crops
93,11818,92,42,0.001953,6,built
94,8119,63,55,0.002075,5,shrub_and_scrub
95,7633,59,81,0.002075,1,trees
96,1302,10,22,0.002075,4,crops
97,16355,127,99,0.002197,6,built
98,14083,110,3,0.002197,2,grass
99,13953,109,1,0.002197,2,grass
100,11045,86,37,0.002197,7,bare
101,9534,74,62,0.002197,7,bare
102,8088,63,24,0.002197,6,built
103,5308,41,60,0.002197,7,bare
104,3508,27,52,0.002197,7,bare
105,2722,21,34,0.002197,7,bare
106,304,2,48,0.002197,6,built
107,14137,110,57,0.002319,4,crops
108,13698,107,2,0.002319,2,grass
109,11814,92,38,0.002319,7,bare
110,10278,80,38,0.002319,5,shrub_and_scrub
111,7306,57,10,0.002319,4,crops
112,1727,13,63,0.002319,5,shrub_and_scrub
113,683,5,43,0.002319,6,built
114,14392,112,56,0.002441,5,shrub_and_scrub
115,13829,108,5,0.002441,2,grass
116,13452,105,12,0.002441,4,crops
117,13002,101,74,0.002441,4,crops
118,12615,98,71,0.002441,1,trees
119,12451,97,35,0.002441,5,shrub_and_scrub
120,11445,89,53,0.002441,7,bare
121,10679,83,55,0.002441,4,crops
122,1448,11,40,0.002441,6,built
123,12840,100,40,0.002563,5,shrub_and_scrub
124,9875,77,19,0.002563,5,shrub_and_scrub
125,8202,64,10,0.002563,6,built
126,4815,37,79,0.002563,6,built
127,2698,21,10,0.002563,4,crops
128,2342,18,38,0.002563,4,crops
129,16036,125,36,0.002686,1,trees
130,7265,56,97,0.002686,7,bare
131,2702,21,14,0.002686,6,built
132,580,4,68,0.002686,6,built
133,173,1,45,0.002686,7,bare
134,12746,99,74,0.002808,4,crops
135,10917,85,37,0.002808,1,trees
136,6856,53,72,0.002808,1,trees
137,3999,31,31,0.002808,5,shrub_and_scrub
138,14901,116,53,0.00293,4,crops
139,14199,110,119,0.00293,5,shrub_and_scrub
140,11978,93,74,0.00293,7,bare
141,10910,85,30,0.00293,8,snow_and_ice
142,8625,67,49,0.00293,6,built
143,1062,8,38,0.00293,7,bare
144,16372,127,116,0.003052,6,built
145,10127,79,15,0.003052,5,shrub_and_scrub
146,1081,8,57,0.003052,6,built
147,14587,113,123,0.003174,5,shrub_and_scrub
148,12450,97,34,0.003174,5,shrub_and_scrub
149,12418,97,2,0.003174,6,built
150,8754,68,50,0.003174,6,built
151,7518,58,94,0.003174,7,bare
152,7223,56,55,0.003174,4,crops
153,4293,33,69,0.003174,4,crops
154,4245,33,21,0.003174,7,bare
155,2609,20,49,0.003296,5,shrub_and_scrub
156,16164,126,36,0.003418,1,trees
157,10643,83,19,0.003418,5,shrub_and_scrub
158,9481,74,9,0.003418,4,crops
159,8366,65,46,0.003418,5,shrub_and_scrub
160,7136,55,96,0.003418,7,bare
161,5726,44,94,0.003418,4,crops
162,185,1,57,0.003418,0,water
163,5762,45,2,0.00354,4,crops
164,8717,68,13,0.003662,6,built
165,7856,61,48,0.003662,4,crops
166,5839,45,79,0.003662,2,grass
167,5647,44,15,0.003662,6,built
168,15725,122,109,0.003784,6,built
169,6826,53,42,0.003784,6,built
170,6168,48,24,0.003784,1,trees
171,11557,90,37,0.003906,8,snow_and_ice
172,9269,72,53,0.003906,6,built
173,6063,47,47,0.003906,4,crops
174,5344,41,96,0.003906,7,bare
175,13908,108,84,0.00415,4,crops
176,13478,105,38,0.00415,6,built
177,10388,81,20,0.00415,1,trees
178,10282,80,42,0.00415,4,crops
179,5918,46,30,0.00415,6,built
180,3911,30,71,0.00415,6,built
181,1576,12,40,0.004272,1,trees
182,1186,9,34,0.004272,7,bare
183,13442,105,2,0.004395,4,crops
184,9746,76,18,0.004395,6,built
185,9419,73,75,0.004395,7,bare
186,4298,33,74,0.004395,4,crops
187,7685,60,5,0.004517,5,shrub_and_scrub
188,184,1,56,0.004517,1,trees
189,16247,126,119,0.004639,4,crops
190,10806,84,54,0.004639,4,crops
191,2959,23,15,0.004639,7,bare
192,1188,9,36,0.004639,5,shrub_and_scrub
193,16046,125,46,0.004761,4,crops
194,5391,42,15,0.004761,5,shrub_and_scrub
195,14340,112,4,0.004883,1,trees
196,10170,79,58,0.004883,7,bare
197,9494,74,22,0.004883,4,crops
198,9236,72,20,0.004883,4,crops
199,8967,70,7,0.004883,6,built
200,5202,40,82,0.004883,4,crops
201,1814,14,22,0.004883,4,crops
202,179,1,51,0.004883,1,trees
203,16145,126,17,0.005005,4,crops
