order,window_index,row,col,map_class,lon,lat,stratum,wrong,reference_class
0,40,0,40,6,36.80160662224979,-2.5270172648649183,0,,
1,14120,110,40,4,36.801539151753374,-2.5667951595712775,0,,
2,3180,24,108,2,36.8260418139085,-2.535737611947319,0,,
3,85,0,85,2,36.817786499325,-2.5270447064265293,0,,
4,15663,122,47,2,36.80404867113362,-2.5711389214906095,0,,
5,8022,62,86,2,36.818108439908876,-2.549465834287005,0,,
6,13471,105,31,4,36.79830619272368,-2.564981478497168,0,,
7,14621,114,29,2,36.79758149856949,-2.568234779189659,0,,
8,357,2,101,2,36.82353818171684,-2.5277776599992996,0,,
9,13340,104,28,8,36.79722813026595,-2.5646179954337684,0,,
10,15271,119,39,4,36.80117402190941,-2.5700490908731712,0,,
11,12335,96,47,4,36.80406472301747,-2.5617368607706235,0,,
12,10947,85,67,2,36.81126271326095,-2.5577714213151044,0,,
13,7548,58,124,2,36.831774243967516,-2.548042552104008,0,,
14,9158,71,70,4,36.812349971886945,-2.5527105940268995,0,,
15,503,3,119,8,36.83000960934548,-2.528150178541809,0,,
16,9796,76,68,4,36.8116277900592,-2.554517461478153,0,,
17,12865,100,65,2,36.81053437808754,-2.563194477504934,0,,
18,6707,52,51,5,36.80552998067147,-2.5458281405726466,0,,
19,907,7,11,0,36.79117540176394,-2.5295307766147603,0,,
20,5307,41,59,3,36.80841315750444,-2.541855253482934,0,,
21,8136,63,72,4,36.81307398285142,-2.5498188643628246,0,,
22,10829,84,77,2,36.81485894695377,-2.5574159637064766,0,,
23,9882,77,26,4,36.79652569272179,-2.554853120652681,0,,
24,11827,92,51,2,36.805505430693536,-2.560292866629089,0,,
25,4391,34,39,8,36.80122632641198,-2.539311638226053,0,,
26,2562,20,2,6,36.78793148833439,-2.534226214034107,0,,
27,1061,8,37,0,36.800523096370675,-2.529908364814117,0,,
28,4822,37,86,4,36.81812364704608,-2.540425302894692,0,,
29,8740,68,36,8,36.80012680808033,-2.5516047663540635,0,,
30,12288,96,0,4,36.78716544907919,-2.561707619696691,0,,
31,13959,109,7,2,36.789674278961286,-2.5664129737742774,0,,
32,7193,56,25,4,36.79617906885593,-2.5472585668414203,0,,
33,12839,100,39,2,36.80118576829785,-2.563178367537923,0,,
34,2782,21,94,2,36.82100980959332,-2.5346442332220063,0,,
35,12872,100,72,4,36.813051321553864,-2.563198803098861,0,,
36,3476,27,20,2,36.79439910569737,-2.536768623748372,0,,
37,4264,33,40,8,36.80158649210654,-2.5389506360467395,0,,
38,9932,77,76,2,36.814503668366896,-2.5548840057518025,0,,
39,8823,68,119,2,36.82997036387599,-2.551655748330102,0,,
40,13316,104,4,8,36.788598710197704,-2.5646030286867822,0,,
41,14244,111,36,5,36.8001002863266,-2.5671542886828873,0,,
42,12442,97,26,8,36.796513341279066,-2.562085439163964,0,,
43,11331,88,67,4,36.81126087304608,-2.55885627987067,0,,
44,7732,60,52,8,36.80588463969234,-2.548721702227151,0,,
45,10230,79,118,0,36.82960412071445,-2.55563300201986,0,,
46,2688,21,0,0,36.78721177512687,-2.5345865923710718,0,,
47,11848,92,72,2,36.813056231376564,-2.5603058436262165,0,,
48,11182,87,46,2,36.80371070556564,-2.558481681912069,0,,
49,11300,88,36,2,36.80011449249067,-2.5588371028253816,0,,
50,6096,47,80,4,36.815960214947154,-2.5440378444723364,0,,
51,1446,11,38,0,36.80088081903521,-2.530993829271128,0,,
52,16265,127,9,2,36.79038220082717,-2.5729232820058683,0,,
53,13254,103,70,2,36.81233035119194,-2.5642824269640916,0,,
54,14241,111,33,4,36.79902160183764,-2.567152421623522,0,,
55,13601,106,33,4,36.799024695582,-2.56534433915701,0,,
56,623,4,111,2,36.82713254614668,-2.528506963453497,0,,
57,2886,22,70,4,36.812379843532014,-2.5349912205072056,0,,
58,4044,31,76,3,36.81453171350099,-2.538249468512937,0,,
59,4301,33,77,3,36.81489005529742,-2.5389733206487644,0,,
60,13473,105,33,4,36.79902531406844,-2.5649827226571107,0,,
61,1022,7,126,5,36.83252411578632,-2.5296009063718428,0,,
62,1552,12,16,6,36.79297008905589,-2.5313419293116404,0,,
63,6473,50,73,2,36.81344147536023,-2.545118417271448,0,,
64,11540,90,20,4,36.79436031802783,-2.5595503977437972,0,,
65,1916,14,124,4,36.831800790059326,-2.5321310704879436,0,,
66,11830,92,54,4,36.80658411415354,-2.560294723218937,0,,
67,11828,92,52,4,36.80586499175966,-2.5602934855935984,0,,
68,4525,35,45,5,36.80338304187413,-2.539676944981658,0,,
69,9161,71,73,4,36.813428653977915,-2.552712439350184,0,,
70,4371,34,19,2,36.79403526068256,-2.5392993152975962,0,,
71,3609,28,25,8,36.7961962533315,-2.537133320632691,0,,
72,13378,104,66,2,36.8108914817624,-2.564641573339769,0,,
73,10342,80,102,2,36.82385047405578,-2.5559848339522526,0,,
74,422,3,38,0,36.80088569402095,-2.5281008920412114,0,,
75,2775,21,87,5,36.81849290817086,-2.5346399713322434,0,,
76,2470,19,38,0,36.800875938456144,-2.5338867663622335,0,,
77,10520,82,24,4,36.795803492656745,-2.556659958827114,0,,
78,4956,38,92,2,36.82028039327347,-2.5407905870003167,0,,
79,3353,26,25,2,36.79619747816652,-2.536410088695315,0,,
