rank,window_index,row,col,margin,predicted_class,class_name,boundary_neighbours
1,1821,14,29,0.108155,0,woodland_forest,4
2,1321,10,41,0.149261,6,montane_forest,3
3,3037,23,93,0.153341,2,shrubland_savanna,6
4,907,7,11,0.161787,0,woodland_forest,8
5,1797,14,5,0.176399,6,montane_forest,7
6,299,2,43,0.176925,6,montane_forest,0
7,2466,19,34,0.191095,0,woodland_forest,3
8,5979,46,91,0.2055,4,grassland_barren,6
9,2467,19,35,0.213706,6,montane_forest,7
10,296,2,40,0.216102,6,montane_forest,4
11,10700,83,76,0.232383,4,grassland_barren,6
12,14499,113,35,0.236931,4,grassland_barren,1
13,297,2,41,0.239646,6,montane_forest,3
14,1949,15,29,0.240391,0,woodland_forest,3
15,2077,16,29,0.240723,0,woodland_forest,5
16,166,1,38,0.247015,0,woodland_forest,6
17,14371,112,35,0.249191,4,grassland_barren,4
18,37,0,37,0.251224,6,montane_forest,4
19,3249,25,49,0.261954,2,shrubland_savanna,5
20,1086,8,62,0.268131,6,montane_forest,7
21,2205,17,29,0.270141,6,montane_forest,5
22,1796,14,4,0.272642,0,woodland_forest,4
23,9050,70,90,0.278451,4,grassland_barren,5
24,1320,10,40,0.289274,6,montane_forest,2
25,1713,13,49,0.289431,0,woodland_forest,2
26,2076,16,28,0.299857,6,montane_forest,4
27,168,1,40,0.300098,0,woodland_forest,8
28,10701,83,77,0.300144,4,grassland_barren,5
29,1948,15,28,0.310407,6,montane_forest,6
30,9167,71,79,0.310712,2,shrubland_savanna,1
31,1028,8,4,0.311225,0,woodland_forest,5
32,1085,8,61,0.313035,6,montane_forest,5
33,12865,100,65,0.313911,2,shrubland_savanna,5
34,14136,110,56,0.315314,4,grassland_barren,1
35,10623,82,127,0.316977,0,woodland_forest,3
36,556,4,44,0.320156,6,montane_forest,0
37,555,4,43,0.321296,6,montane_forest,2
38,14498,113,34,0.321718,4,grassland_barren,0
39,2338,18,34,0.322878,0,woodland_forest,1
40,1029,8,5,0.324711,0,woodland_forest,5
41,2463,19,31,0.326151,0,woodland_forest,3
42,294,2,38,0.328294,6,montane_forest,6
43,2206,17,30,0.329251,6,montane_forest,6
44,15515,121,27,0.330551,2,shrubland_savanna,5
45,12801,100,1,0.338527,3,herbaceous_wetland,8
46,1712,13,48,0.341098,6,montane_forest,7
47,14135,110,55,0.342411,2,shrubland_savanna,5
48,9178,71,90,0.344808,4,grassland_barren,4
49,5955,46,67,0.346887,4,grassland_barren,0
50,830,6,62,0.347496,6,montane_forest,6
51,906,7,10,0.348563,6,montane_forest,1
52,15266,119,34,0.348634,4,grassland_barren,5
53,12475,97,59,0.349533,2,shrubland_savanna,7
54,11331,88,67,0.351243,4,grassland_barren,1
55,10947,85,67,0.356518,2,shrubland_savanna,7
56,702,5,62,0.358559,6,montane_forest,6
57,2590,20,30,0.361351,0,woodland_forest,3
58,3731,29,19,0.369108,4,grassland_barren,5
59,900,7,4,0.372164,0,woodland_forest,3
60,2210,17,34,0.373514,0,woodland_forest,0
61,1693,13,29,0.37355,6,montane_forest,4
62,16007,125,7,0.374185,2,shrubland_savanna,5
63,12314,96,26,0.377338,5,agriculture_settlement,6
64,1530,11,122,0.378809,3,herbaceous_wetland,4
65,705,5,65,0.383933,0,woodland_forest,1
66,298,2,42,0.387873,6,montane_forest,1
67,14871,116,23,0.391206,2,shrubland_savanna,7
68,661,5,21,0.392134,6,montane_forest,3
69,12602,98,58,0.399771,4,grassland_barren,2
70,16041,125,41,0.401141,4,grassland_barren,7
71,6107,47,91,0.401608,4,grassland_barren,7
72,14508,113,44,0.401628,4,grassland_barren,3
73,808,6,40,0.401727,6,montane_forest,4
74,3038,23,94,0.403077,4,grassland_barren,3
75,16326,127,70,0.403592,0,woodland_forest,2
76,704,5,64,0.40432,6,montane_forest,8
77,11830,92,54,0.404511,4,grassland_barren,0
78,910,7,14,0.406246,6,montane_forest,3
79,11204,87,68,0.406409,4,grassland_barren,3
80,1130,8,106,0.415449,5,agriculture_settlement,2
81,12989,101,61,0.417078,2,shrubland_savanna,7
82,14744,115,24,0.417947,8,urban_dense_development,2
83,11332,88,68,0.421473,4,grassland_barren,4
84,2600,20,40,0.421613,6,montane_forest,6
85,662,5,22,0.422092,6,montane_forest,3
86,9049,70,89,0.422523,2,shrubland_savanna,5
87,11721,91,73,0.42537,4,grassland_barren,5
88,2335,18,31,0.425431,6,montane_forest,7
89,2595,20,35,0.426705,0,woodland_forest,5
90,14381,112,45,0.426912,4,grassland_barren,5
91,376,2,120,0.427041,4,grassland_barren,4
92,12971,101,43,0.430319,2,shrubland_savanna,4
93,11422,89,30,0.430954,4,grassland_barren,4
94,3596,28,12,0.43281,2,shrubland_savanna,3
95,1037,8,13,0.433194,0,woodland_forest,4
96,2594,20,34,0.433564,6,montane_forest,6
97,374,2,118,0.438773,4,grassland_barren,2
98,12086,94,54,0.43925,4,grassland_barren,2
99,2589,20,29,0.439837,6,montane_forest,6
100,6781,52,125,0.443015,2,shrubland_savanna,4
101,2911,22,95,0.443894,2,shrubland_savanna,2
102,2178,17,2,0.443934,0,woodland_forest,4
103,1062,8,38,0.444307,6,montane_forest,5
104,2339,18,35,0.444895,0,woodland_forest,1
105,7881,61,73,0.445616,4,grassland_barren,3
106,3603,28,19,0.446028,4,grassland_barren,7
107,2602,20,42,0.450647,0,woodland_forest,6
108,3291,25,91,0.453325,4,grassland_barren,4
109,11417,89,25,0.453909,2,shrubland_savanna,5
110,1806,14,14,0.454716,0,woodland_forest,2
111,12206,95,46,0.455426,4,grassland_barren,5
112,9168,71,80,0.457132,2,shrubland_savanna,2
113,10445,81,77,0.461116,2,shrubland_savanna,0
114,12564,98,20,0.462338,5,agriculture_settlement,8
115,5322,41,74,0.4706,4,grassland_barren,7
116,3277,25,77,0.470961,2,shrubland_savanna,7
117,5204,40,84,0.471141,4,grassland_barren,4
118,2638,20,78,0.471433,2,shrubland_savanna,7
119,10182,79,70,0.471825,2,shrubland_savanna,5
120,11460,89,68,0.474701,2,shrubland_savanna,5
121,6470,50,70,0.476137,2,shrubland_savanna,4
122,15394,120,34,0.47754,4,grassland_barren,2
123,13599,106,31,0.478714,4,grassland_barren,2
124,1438,11,30,0.481127,6,montane_forest,4
125,2588,20,28,0.481143,6,montane_forest,6
126,695,5,55,0.485931,0,woodland_forest,3
127,2078,16,30,0.487197,0,woodland_forest,3
128,1144,8,120,0.48865,2,shrubland_savanna,6
129,9179,71,91,0.49326,5,agriculture_settlement,8
130,14362,112,26,0.494276,8,urban_dense_development,2
131,14489,113,25,0.495053,4,grassland_barren,8
132,6344,49,72,0.495486,4,grassland_barren,6
133,1692,13,28,0.495623,6,montane_forest,3
134,10060,78,76,0.499369,2,shrubland_savanna,1
135,11438,89,46,0.500501,2,shrubland_savanna,4
136,5210,40,90,0.501709,2,shrubland_savanna,2
137,2302,17,126,0.504611,4,grassland_barren,1
138,11472,89,80,0.505091,2,shrubland_savanna,1
139,14481,113,17,0.505233,8,urban_dense_development,5
140,1680,13,16,0.507831,6,montane_forest,4
141,2928,22,112,0.508661,4,grassland_barren,4
142,14636,114,44,0.511316,4,grassland_barren,3
143,1807,14,15,0.512106,6,montane_forest,6
144,12949,101,21,0.51514,2,shrubland_savanna,6
145,4065,31,97,0.517485,2,shrubland_savanna,5
146,14082,110,2,0.517529,4,grassland_barren,2
147,10317,80,77,0.518247,2,shrubland_savanna,0
148,1799,14,7,0.518618,0,woodland_forest,4
149,15524,121,36,0.520392,4,grassland_barren,1
150,11335,88,71,0.522124,2,shrubland_savanna,3
151,2929,22,113,0.522762,2,shrubland_savanna,6
152,6070,47,54,0.525097,2,shrubland_savanna,6
153,2050,16,2,0.525379,0,woodland_forest,5
154,3036,23,92,0.529415,2,shrubland_savanna,4
155,16282,127,26,0.52944,4,grassland_barren,0
156,14361,112,25,0.52955,8,urban_dense_development,1
157,8260,64,68,0.530495,2,shrubland_savanna,8
158,1449,11,41,0.531594,6,montane_forest,5
159,11958,93,54,0.533779,4,grassland_barren,1
160,958,7,62,0.534021,0,woodland_forest,3
161,10948,85,68,0.535135,4,grassland_barren,6
162,12838,100,38,0.536757,4,grassland_barren,3
163,809,6,41,0.537348,0,woodland_forest,3
164,1035,8,11,0.537895,6,montane_forest,3
165,13340,104,28,0.538817,8,urban_dense_development,6
166,15376,120,16,0.53985,2,shrubland_savanna,2
167,16028,125,28,0.539888,4,grassland_barren,1
168,3164,24,92,0.540388,4,grassland_barren,4
169,11421,89,29,0.542685,4,grassland_barren,6
170,12731,99,59,0.547776,4,grassland_barren,0
171,909,7,13,0.54794,0,woodland_forest,6
172,13382,104,70,0.547947,2,shrubland_savanna,2
173,13574,106,6,0.548205,8,urban_dense_development,7
174,2601,20,41,0.549285,6,montane_forest,6
175,2511,19,79,0.550374,2,shrubland_savanna,6
176,11073,86,65,0.550623,4,grassland_barren,3
177,12754,99,82,0.550734,2,shrubland_savanna,2
178,2431,18,127,0.552761,4,grassland_barren,2
179,8525,66,77,0.553496,2,shrubland_savanna,2
180,1681,13,17,0.555349,0,woodland_forest,2
181,11072,86,64,0.558134,4,grassland_barren,2
182,1038,8,14,0.559217,0,woodland_forest,4
183,10310,80,70,0.559799,4,grassland_barren,6
184,12880,100,80,0.561108,4,grassland_barren,2
185,11284,88,20,0.56136,2,shrubland_savanna,7
186,10573,82,77,0.561685,2,shrubland_savanna,3
187,14370,112,34,0.562388,4,grassland_barren,2
188,4943,38,79,0.563193,2,shrubland_savanna,5
189,2592,20,32,0.563305,2,shrubland_savanna,4
190,8391,65,71,0.564429,4,grassland_barren,2
191,1541,12,5,0.565499,0,woodland_forest,4
192,12730,99,58,0.566011,4,grassland_barren,2
193,5956,46,68,0.566342,4,grassland_barren,2
194,4180,32,84,0.567963,8,urban_dense_development,7
195,4666,36,58,0.568026,3,herbaceous_wetland,8
196,10699,83,75,0.569187,4,grassland_barren,5
197,13184,103,0,0.57086,4,grassland_barren,1
198,15010,117,34,0.571611,4,grassland_barren,3
199,14357,112,21,0.573479,8,urban_dense_development,6
200,1808,14,16,0.573632,0,woodland_forest,3
201,2334,18,30,0.573825,0,woodland_forest,4
202,2618,20,58,0.574173,4,grassland_barren,7
203,12556,98,12,0.574256,8,urban_dense_development,7
204,14253,111,45,0.57505,4,grassland_barren,4
205,15651,122,35,0.575928,4,grassland_barren,2
206,167,1,39,0.577839,6,montane_forest,2
207,5180,40,60,0.578997,3,herbaceous_wetland,3
208,2562,20,2,0.579178,6,montane_forest,7
209,4927,38,63,0.580338,3,herbaceous_wetland,5
210,14763,115,43,0.580606,2,shrubland_savanna,5
211,1786,13,122,0.58118,8,urban_dense_development,8
212,380,2,124,0.583731,4,grassland_barren,5
213,12221,95,61,0.585138,4,grassland_barren,5
214,15516,121,28,0.587198,4,grassland_barren,7
215,2801,21,113,0.587507,2,shrubland_savanna,5
216,11573,90,53,0.588367,4,grassland_barren,0
217,11693,91,45,0.588645,4,grassland_barren,3
218,4568,35,88,0.588971,4,grassland_barren,8
219,10783,84,31,0.589078,2,shrubland_savanna,5
220,12828,100,28,0.589329,4,grassland_barren,3
221,3434,26,106,0.59338,2,shrubland_savanna,3
222,15633,122,17,0.593537,2,shrubland_savanna,4
223,3154,24,82,0.594004,5,agriculture_settlement,4
224,15011,117,35,0.594591,4,grassland_barren,3
225,13702,107,6,0.594648,2,shrubland_savanna,6
226,3026,23,82,0.597015,4,grassland_barren,8
227,13740,107,44,0.599651,2,shrubland_savanna,0
228,16280,127,24,0.600122,4,grassland_barren,2
229,10622,82,126,0.602238,2,shrubland_savanna,4
230,901,7,5,0.602805,0,woodland_forest,3
231,13472,105,32,0.604614,4,grassland_barren,0
232,13383,104,71,0.606017,4,grassland_barren,7
233,11701,91,53,0.606176,4,grassland_barren,0
234,12867,100,67,0.607126,4,grassland_barren,2
235,13955,109,3,0.608074,4,grassland_barren,4
236,6084,47,68,0.608937,4,grassland_barren,3
237,424,3,40,0.609408,0,woodland_forest,3
238,13319,104,7,0.609696,4,grassland_barren,1
239,2384,18,80,0.609757,2,shrubland_savanna,6
240,8650,67,74,0.611833,4,grassland_barren,2
241,5688,44,56,0.611893,5,agriculture_settlement,8
242,295,2,39,0.612104,6,montane_forest,5
243,15108,118,4,0.612714,4,grassland_barren,6
244,1658,12,122,0.613588,5,agriculture_settlement,7
245,14372,112,36,0.614079,5,agriculture_settlement,6
246,9439,73,95,0.615379,2,shrubland_savanna,1
247,11702,91,54,0.615523,4,grassland_barren,0
248,10537,82,41,0.616472,2,shrubland_savanna,8
249,1820,14,28,0.616613,6,montane_forest,5
250,13597,106,29,0.617126,8,urban_dense_development,6
251,967,7,71,0.61733,2,shrubland_savanna,6
252,5536,43,32,0.61747,5,agriculture_settlement,2
253,15251,119,19,0.617729,2,shrubland_savanna,5
254,937,7,41,0.618553,6,montane_forest,4
255,15514,121,26,0.619499,4,grassland_barren,3
256,12347,96,59,0.62102,4,grassland_barren,5
257,807,6,39,0.622502,6,montane_forest,5
258,12348,96,60,0.623507,2,shrubland_savanna,4
259,1529,11,121,0.623957,3,herbaceous_wetland,1
260,8268,64,76,0.624779,2,shrubland_savanna,1
261,9305,72,89,0.625118,4,grassland_barren,6
262,2220,17,44,0.625296,0,woodland_forest,4
263,2778,21,90,0.625701,0,woodland_forest,7
264,2395,18,91,0.62645,3,herbaceous_wetland,7
265,6780,52,124,0.628007,2,shrubland_savanna,4
266,9158,71,70,0.628504,4,grassland_barren,6
267,3983,31,15,0.629712,4,grassland_barren,3
268,5649,44,17,0.629878,0,woodland_forest,5
269,14870,116,22,0.631434,4,grassland_barren,2
270,126,0,126,0.632136,0,woodland_forest,2
271,13250,103,66,0.632484,2,shrubland_savanna,5
272,15652,122,36,0.632729,2,shrubland_savanna,6
273,1787,13,123,0.634834,2,shrubland_savanna,5
274,533,4,21,0.636815,6,montane_forest,0
275,13487,105,47,0.636947,2,shrubland_savanna,1
276,13064,102,8,0.638769,4,grassland_barren,1
277,12080,94,48,0.63965,2,shrubland_savanna,5
278,2204,17,28,0.640076,6,montane_forest,5
279,1669,13,5,0.640408,0,woodland_forest,3
280,934,7,38,0.640568,0,woodland_forest,4
281,2207,17,31,0.642024,2,shrubland_savanna,8
282,4110,32,14,0.642933,4,grassland_barren,2
283,12993,101,65,0.643561,2,shrubland_savanna,6
284,165,1,37,0.64403,0,woodland_forest,3
285,1070,8,46,0.644283,0,woodland_forest,2
286,6198,48,54,0.644434,8,urban_dense_development,6
287,13254,103,70,0.644999,2,shrubland_savanna,3
288,15267,119,35,0.645277,4,grassland_barren,3
289,829,6,61,0.645943,0,woodland_forest,6
290,908,7,12,0.646128,6,montane_forest,3
291,9541,74,69,0.646712,4,grassland_barren,2
292,14880,116,32,0.646836,2,shrubland_savanna,6
293,2671,20,111,0.647401,2,shrubland_savanna,2
294,1425,11,17,0.647568,6,montane_forest,4
295,2369,18,65,0.649186,2,shrubland_savanna,5
296,9793,76,65,0.651002,4,grassland_barren,2
297,12222,95,62,0.651112,4,grassland_barren,4
298,171,1,43,0.652185,6,montane_forest,0
299,12616,98,72,0.652965,4,grassland_barren,3
300,2877,22,61,0.653655,2,shrubland_savanna,7
301,6455,50,55,0.655206,8,urban_dense_development,5
302,388,3,4,0.655742,6,montane_forest,2
303,577,4,65,0.655893,0,woodland_forest,1
304,7194,56,26,0.656862,8,urban_dense_development,3
305,6831,53,47,0.657775,5,agriculture_settlement,3
306,6911,53,127,0.658265,2,shrubland_savanna,2
307,1553,12,17,0.658924,0,woodland_forest,4
308,1193,9,41,0.660965,6,montane_forest,3
309,3377,26,49,0.663117,2,shrubland_savanna,4
310,427,3,43,0.663586,6,montane_forest,1
311,14340,112,4,0.664145,2,shrubland_savanna,1
312,12349,96,61,0.664925,2,shrubland_savanna,4
313,15779,123,35,0.665047,4,grassland_barren,3
314,1804,14,12,0.665688,6,montane_forest,6
315,1819,14,27,0.668393,0,woodland_forest,3
316,12843,100,43,0.668846,4,grassland_barren,2
317,7039,54,127,0.670274,2,shrubland_savanna,0
318,12218,95,58,0.671725,2,shrubland_savanna,5
319,12864,100,64,0.67213,4,grassland_barren,2
320,1089,8,65,0.673209,0,woodland_forest,0
321,2240,17,64,0.673578,4,grassland_barren,5
322,5851,45,91,0.673684,2,shrubland_savanna,4
323,5905,46,17,0.674283,3,herbaceous_wetland,5
324,14900,116,52,0.674482,2,shrubland_savanna,0
325,921,7,25,0.675447,6,montane_forest,2
326,758,5,118,0.67558,4,grassland_barren,1
327,14229,111,21,0.675793,4,grassland_barren,2
328,425,3,41,0.675928,0,woodland_forest,4
329,2079,16,31,0.676197,0,woodland_forest,2
330,1668,13,4,0.677023,0,woodland_forest,4
331,13100,102,44,0.67917,2,shrubland_savanna,2
332,15381,120,21,0.680007,2,shrubland_savanna,7
333,11953,93,49,0.680444,2,shrubland_savanna,6
334,1402,10,122,0.681128,3,herbaceous_wetland,3
335,2305,18,1,0.682617,6,montane_forest,4
336,7209,56,41,0.682703,4,grassland_barren,4
337,14162,110,82,0.682926,4,grassland_barren,5
338,10315,80,75,0.683203,4,grassland_barren,6
339,12866,100,66,0.684313,2,shrubland_savanna,5
340,3283,25,83,0.684675,5,agriculture_settlement,6
341,5435,42,59,0.68517,3,herbaceous_wetland,4
342,121,0,121,0.685556,2,shrubland_savanna,2
343,426,3,42,0.687184,6,montane_forest,3
344,2535,19,103,0.687495,5,agriculture_settlement,5
345,12603,98,59,0.68767,4,grassland_barren,1
346,2368,18,64,0.687784,2,shrubland_savanna,4
347,10536,82,40,0.688724,4,grassland_barren,1
348,2513,19,81,0.689421,0,woodland_forest,6
349,172,1,44,0.689971,6,montane_forest,0
350,2462,19,30,0.692076,0,woodland_forest,3
351,6050,47,34,0.693136,8,urban_dense_development,3
352,14725,115,5,0.693445,4,grassland_barren,6
353,12109,94,77,0.694301,4,grassland_barren,1
354,3597,28,13,0.694579,2,shrubland_savanna,0
355,2645,20,85,0.69482,5,agriculture_settlement,4
356,11565,90,45,0.696711,2,shrubland_savanna,5
357,8822,68,118,0.697273,2,shrubland_savanna,2
358,8262,64,70,0.698337,2,shrubland_savanna,6
359,14520,113,56,0.698417,4,grassland_barren,5
360,942,7,46,0.698515,0,woodland_forest,5
361,2185,17,9,0.698845,0,woodland_forest,3
362,13266,103,82,0.699234,2,shrubland_savanna,3
363,8013,62,77,0.700446,2,shrubland_savanna,3
364,1670,13,6,0.702785,0,woodland_forest,4
365,3246,25,46,0.703243,4,grassland_barren,4
366,15260,119,28,0.703594,2,shrubland_savanna,2
367,5338,41,90,0.703625,2,shrubland_savanna,3
368,3986,31,18,0.703918,4,grassland_barren,2
369,2544,19,112,0.704955,4,grassland_barren,5
370,630,4,118,0.704956,4,grassland_barren,2
371,13652,106,84,0.70524,4,grassland_barren,6
372,8009,62,73,0.705699,2,shrubland_savanna,6
373,1034,8,10,0.705968,6,montane_forest,3
374,12839,100,39,0.707344,2,shrubland_savanna,5
375,5698,44,66,0.70751,2,shrubland_savanna,6
376,11808,92,32,0.707887,2,shrubland_savanna,0
377,2716,21,28,0.708051,6,montane_forest,6
378,534,4,22,0.709984,6,montane_forest,0
379,12992,101,64,0.712522,4,grassland_barren,2
380,14081,110,1,0.713218,4,grassland_barren,2
381,10301,80,61,0.713942,8,urban_dense_development,2
382,12930,101,2,0.714683,4,grassland_barren,2
383,1735,13,71,0.71484,4,grassland_barren,4
384,15506,121,18,0.71501,4,grassland_barren,6
385,6045,47,29,0.716505,5,agriculture_settlement,4
386,1840,14,48,0.716589,0,woodland_forest,1
387,1798,14,6,0.716793,6,montane_forest,7
388,3325,25,125,0.717597,2,shrubland_savanna,5
389,11588,90,68,0.717656,4,grassland_barren,5
390,12013,93,109,0.717841,4,grassland_barren,4
391,12185,95,25,0.718975,2,shrubland_savanna,8
392,3466,27,10,0.719156,2,shrubland_savanna,6
393,9778,76,50,0.719436,8,urban_dense_development,1
394,13077,102,21,0.721069,4,grassland_barren,5
395,14466,113,2,0.722305,2,shrubland_savanna,3
396,290,2,34,0.722352,0,woodland_forest,3
397,12673,99,1,0.723013,8,urban_dense_development,8
398,12081,94,49,0.723278,4,grassland_barren,3
399,2058,16,10,0.723599,6,montane_forest,5
400,1143,8,119,0.723869,4,grassland_barren,5
401,683,5,43,0.724407,6,montane_forest,5
402,12219,95,59,0.724465,2,shrubland_savanna,2
403,2082,16,34,0.726175,0,woodland_forest,0
404,772,6,4,0.726241,0,woodland_forest,3
405,13600,106,32,0.726576,4,grassland_barren,1
406,1691,13,27,0.727394,0,woodland_forest,5
407,496,3,112,0.728013,2,shrubland_savanna,4
408,4116,32,20,0.728171,4,grassland_barren,5
409,1687,13,23,0.728589,6,montane_forest,5
410,11722,91,74,0.72886,4,grassland_barren,3
411,6044,47,28,0.729414,2,shrubland_savanna,6
412,1566,12,30,0.729609,0,woodland_forest,4
413,5194,40,74,0.73096,2,shrubland_savanna,5
414,11338,88,74,0.733546,2,shrubland_savanna,3
415,1649,12,113,0.734007,0,woodland_forest,5
416,2510,19,78,0.734705,4,grassland_barren,3
417,12207,95,47,0.735287,2,shrubland_savanna,4
418,14353,112,17,0.735687,4,grassland_barren,8
419,4391,34,39,0.735813,8,urban_dense_development,3
420,7081,55,41,0.737655,8,urban_dense_development,5
421,12313,96,25,0.73769,5,agriculture_settlement,6
422,14234,111,26,0.737731,8,urban_dense_development,2
423,12700,99,28,0.741174,4,grassland_barren,1
424,10658,83,34,0.741669,4,grassland_barren,2
425,11444,89,52,0.745473,4,grassland_barren,0
426,5308,41,60,0.745772,5,agriculture_settlement,6
427,6046,47,30,0.746175,5,agriculture_settlement,4
428,2591,20,31,0.747173,2,shrubland_savanna,5
429,15760,123,16,0.747757,2,shrubland_savanna,4
430,1550,12,14,0.748227,0,woodland_forest,3
431,12674,99,2,0.750185,5,agriculture_settlement,6
432,423,3,39,0.751865,0,woodland_forest,3
433,1678,13,14,0.75248,0,woodland_forest,3
434,12091,94,59,0.753465,2,shrubland_savanna,3
435,15119,118,15,0.753545,5,agriculture_settlement,8
436,2746,21,58,0.753653,2,shrubland_savanna,4
437,16042,125,42,0.753713,2,shrubland_savanna,1
438,3712,29,0,0.755598,0,woodland_forest,5
439,3405,26,77,0.755797,3,herbaceous_wetland,5
440,2775,21,87,0.757087,5,agriculture_settlement,5
441,5686,44,54,0.757277,2,shrubland_savanna,6
442,1016,7,120,0.757464,5,agriculture_settlement,6
443,11586,90,66,0.758478,4,grassland_barren,2
444,5572,43,68,0.758707,2,shrubland_savanna,4
445,2819,22,3,0.759278,0,woodland_forest,1
446,15645,122,29,0.75948,2,shrubland_savanna,4
447,9164,71,76,0.760091,2,shrubland_savanna,1
448,8926,69,94,0.760768,0,woodland_forest,4
449,4925,38,61,0.761756,3,herbaceous_wetland,4
450,5307,41,59,0.762457,3,herbaceous_wetland,2
451,14108,110,28,0.764084,4,grassland_barren,8
